Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
Twitter,James E. Hansen Retiring From NASA to Fight Global Warming,02 April 2013,http://www.nytimes.com/2013/04/02/science/james-e-hansen-retiring-from-nasa-to-fight-global-warming.html?partner=rss&emc=rss#.UVoojtdOnRc.twitter   http://news.yahoo.com/nasa-climate-scientist-james-hansen-quits-fight-global-163758533.html   http://www.giss.nasa.gov/research/news/20130402/,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,2013 New Zeeland Drought,25 July 2013,http://www.3news.co.nz/nznews/study-2013-drought-worst-in-70-years-2013072605#axzz3OWQ5g0hK   http://www.weatherwatch.co.nz/content/2013-drought-was-worst-1945-study   http://www.mpi.govt.nz/Default.aspx?TabId=126&id=1899,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study: Species disappearing far faster than before,29 May 2014,http://news.yahoo.com/study-species-disappearing-far-faster-180111653.html   http://www.denverpost.com/nationworld/ci_25858471/study-species-disappearing-far-faster-than-before,related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Viral tweet: ""Deep breathing benefits: only if CO2 gets higher""",15 May 2013,https://twitter.com/normalbreathing/status/334388315191140353   http://www.normalbreathing.com/CO2-deep-breathing-myth.php,not related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Supreme Court limits EPA global warming rules,23 June 2014,http://seattletimes.com/html/nationworld/2023909812_apxsupremecourtgreenhousegases.html   http://www.huffingtonpost.com/2014/06/23/supreme-court-global-warming_n_5521744.html,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,States Against EPA Rule on Carbon Pollution Would Gain,24-29 July 2014,http://www.nytimes.com/2014/07/24/us/states-against-epa-rule-on-carbon-pollution-would-gain-study-finds.html?partner=rss&emc=rss&_r=0,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,President Obama Speech on Climate Change at Georgetown,25 June 2013,http://www.whitehouse.gov/the-press-office/2013/06/25/remarks-president-climate-change   http://www.actonclimate.com/page/about/   http://news.yahoo.com/power-plant-limits-center-obama-climate-plan-100209230.html?utm_source=twitterfeed&utm_medium=twitter,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study: Climate Change link to violence,01 August 2013,http://news.nationalgeographic.com/news/2013/08/130801-global-warming-violence-climate-change-science-environment/   http://edition.cnn.com/2013/08/01/us/climate-change-violence/index.html,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Associated Press publishes photos targeting US coal exports,28 July 2014,http://www.huffingtonpost.com/2014/07/28/export-pollution-dirty-coal_n_5626093.html   http://news.yahoo.com/ap-photos-coal-exporting-town-fights-rising-seas-090234839.html,weakly related to climate change,yes (related to climate change),media,publication/studies/research  [media],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Activists targeting Canada's Harper arrested in UK,13 June 2013,http://www.theguardian.com/environment/2013/jun/13/tar-sands-activists-commons-protest-canada   http://seattletimes.com/html/nationworld/2021180257_apeubritaincanadaharper.html,not related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
