Timestamp, Tweet-ID, Included(Y/N)
"Fri Jun 08 06:22:06 +0000 2012","210980000776728576",Y
"Fri Jun 08 07:42:10 +0000 2012","211000150196367360",Y
"Fri Jun 08 10:23:20 +0000 2012","211040709124440064",Y
"Fri Jun 08 12:01:32 +0000 2012","211065421984571393",Y
"Fri Jun 08 12:40:41 +0000 2012","211075274413056000",Y
"Fri Jun 08 13:32:33 +0000 2012","211088327057735682",Y
"Fri Jun 08 14:02:28 +0000 2012","211095855862775808",Y
"Fri Jun 08 14:15:43 +0000 2012","211099190321876992",Y
"Fri Jun 08 15:05:28 +0000 2012","211111710294163457",Y
"Fri Jun 08 16:17:50 +0000 2012","211129921983098881",Y
"Fri Jun 08 16:38:49 +0000 2012","211135202611830784",Y
"Fri Jun 08 17:24:14 +0000 2012","211146632094429185",Y
"Fri Jun 08 17:39:59 +0000 2012","211150595715907584",Y
"Fri Jun 08 18:06:19 +0000 2012","211157222699433985",Y
"Fri Jun 08 18:14:05 +0000 2012","211159177257693184",Y
"Fri Jun 08 18:27:30 +0000 2012","211162553659830272",Y
"Fri Jun 08 19:41:17 +0000 2012","211181121831051265",Y
"Fri Jun 08 22:03:42 +0000 2012","211216962162933761",Y
"Fri Jun 08 22:39:15 +0000 2012","211225908630134784",Y
"Fri Jun 08 22:52:07 +0000 2012","211229146611843072",Y
"Fri Jun 08 23:05:56 +0000 2012","211232623706640384",Y
"Sat Jun 09 00:41:35 +0000 2012","211256694804721665",Y
"Sat Jun 09 01:36:37 +0000 2012","211270544396529665",Y
"Sat Jun 09 02:22:02 +0000 2012","211281973870727170",Y
"Sat Jun 09 02:32:51 +0000 2012","211284696003395585",Y
"Sat Jun 09 04:00:27 +0000 2012","211306741265207296",Y
"Sat Jun 09 04:15:18 +0000 2012","211310478390075394",Y
"Sat Jun 09 05:19:51 +0000 2012","211326722921082881",Y
"Sat Jun 09 05:48:42 +0000 2012","211333983269695488",Y
"Sat Jun 09 08:52:31 +0000 2012","211380242227539968",Y
"Sat Jun 09 11:18:34 +0000 2012","211416996942843907",Y
"Sat Jun 09 12:40:27 +0000 2012","211437603529039872",Y
"Sat Jun 09 12:49:32 +0000 2012","211439889416331267",Y
"Sat Jun 09 13:08:47 +0000 2012","211444733845835777",Y
"Sat Jun 09 14:03:25 +0000 2012","211458482774360067",Y
"Sat Jun 09 16:09:20 +0000 2012","211490170753654784",Y
"Sat Jun 09 16:11:30 +0000 2012","211490716004777984",Y
"Sat Jun 09 16:40:18 +0000 2012","211497963766296576",Y
"Sat Jun 09 16:45:09 +0000 2012","211499184321343488",Y
"Sat Jun 09 17:32:21 +0000 2012","211511062573490177",Y
"Sat Jun 09 18:18:34 +0000 2012","211522689175793664",Y
"Sat Jun 09 18:46:37 +0000 2012","211529752392118273",Y
"Sat Jun 09 19:12:02 +0000 2012","211536148697325569",Y
"Sat Jun 09 19:16:53 +0000 2012","211537369264947200",Y
"Sat Jun 09 19:37:12 +0000 2012","211542482096369664",Y
"Sat Jun 09 19:49:51 +0000 2012","211545661387194369",Y
"Sat Jun 09 19:55:22 +0000 2012","211547049722781697",Y
"Sat Jun 09 20:19:41 +0000 2012","211553173389840388",Y
"Sat Jun 09 20:20:34 +0000 2012","211553395675373568",Y
"Sat Jun 09 20:36:22 +0000 2012","211557371875565568",Y
"Sat Jun 09 20:36:29 +0000 2012","211557401231495171",Y
"Sat Jun 09 20:36:38 +0000 2012","211557439001206785",Y
"Sat Jun 09 20:51:19 +0000 2012","211561134187225089",Y
"Sat Jun 09 21:05:53 +0000 2012","211564800017301504",Y
"Sat Jun 09 21:10:33 +0000 2012","211565974422425600",Y
"Sat Jun 09 21:32:38 +0000 2012","211571531841675265",Y
"Sat Jun 09 21:48:43 +0000 2012","211575579345031170",Y
"Sat Jun 09 21:53:39 +0000 2012","211576820884193280",Y
"Sat Jun 09 22:23:04 +0000 2012","211584223834939392",Y
"Sat Jun 09 22:23:31 +0000 2012","211584337072766976",Y
