Timestamp, Tweet-ID, Included(Y/N)
"Sun Sep 16 06:07:51 +0000 2012","247215201198436352",Y
"Sun Sep 16 06:08:01 +0000 2012","247215243137257472",Y
"Sun Sep 16 06:10:16 +0000 2012","247215809372516353",Y
"Sun Sep 16 06:39:34 +0000 2012","247223182979911681",Y
"Sun Sep 16 06:41:20 +0000 2012","247223627584520192",Y
"Sun Sep 16 06:48:31 +0000 2012","247225435321159680",Y
"Sun Sep 16 07:30:46 +0000 2012","247236067890176000",Y
"Sun Sep 16 08:55:50 +0000 2012","247257475592646656",Y
"Sun Sep 16 11:19:46 +0000 2012","247293697593597952",Y
"Sun Sep 16 12:11:25 +0000 2012","247306695771033600",Y
"Sun Sep 16 12:30:08 +0000 2012","247311405961842688",Y
"Sun Sep 16 12:54:04 +0000 2012","247317428978188288",Y
"Sun Sep 16 14:23:36 +0000 2012","247339960770916352",Y
"Sun Sep 16 15:10:00 +0000 2012","247351637742604291",Y
"Sun Sep 16 15:44:33 +0000 2012","247360332505444352",Y
"Sun Sep 16 16:10:51 +0000 2012","247366951121346560",Y
"Sun Sep 16 16:12:54 +0000 2012","247367467016536065",Y
"Sun Sep 16 16:27:19 +0000 2012","247371095102062592",Y
"Sun Sep 16 16:32:46 +0000 2012","247372466635288576",Y
"Sun Sep 16 17:20:07 +0000 2012","247384382636187649",Y
"Sun Sep 16 17:28:35 +0000 2012","247386513376165890",Y
"Sun Sep 16 17:30:38 +0000 2012","247387029250404355",Y
"Sun Sep 16 17:30:39 +0000 2012","247387033461460992",Y
"Sun Sep 16 17:48:17 +0000 2012","247391471018323968",Y
"Sun Sep 16 18:03:36 +0000 2012","247395325600485377",Y
"Sun Sep 16 19:25:48 +0000 2012","247416011916185600",Y
"Sun Sep 16 20:05:49 +0000 2012","247426082427518977",Y
"Sun Sep 16 20:33:42 +0000 2012","247433099489710080",Y
"Sun Sep 16 21:01:35 +0000 2012","247440116551909376",Y
"Sun Sep 16 21:11:34 +0000 2012","247442628956790784",Y
"Sun Sep 16 21:55:44 +0000 2012","247453739684864002",Y
"Sun Sep 16 22:24:13 +0000 2012","247460911932129280",Y
"Sun Sep 16 23:15:27 +0000 2012","247473805205843968",Y
"Sun Sep 16 23:48:02 +0000 2012","247482005099515904",Y
"Mon Sep 17 00:11:09 +0000 2012","247487822599184386",N
"Mon Sep 17 00:19:21 +0000 2012","247489886192541696",N
"Mon Sep 17 01:20:37 +0000 2012","247505304428875776",N
"Mon Sep 17 02:34:32 +0000 2012","247523906162921473",N
"Mon Sep 17 03:10:32 +0000 2012","247532965859581953",N
"Mon Sep 17 03:10:32 +0000 2012","247532965876355072",N
"Mon Sep 17 03:19:03 +0000 2012","247535109144719360",N
"Mon Sep 17 04:00:30 +0000 2012","247545540399738880",N
"Mon Sep 17 04:01:27 +0000 2012","247545779462500352",N
"Mon Sep 17 04:18:02 +0000 2012","247549952820133888",N
"Mon Sep 17 04:25:41 +0000 2012","247551877984694272",N
"Mon Sep 17 04:35:03 +0000 2012","247554235179360256",N
"Mon Sep 17 05:27:44 +0000 2012","247567493391060992",N
"Mon Sep 17 05:33:11 +0000 2012","247568864907501568",N
"Mon Sep 17 06:13:02 +0000 2012","247578893521915904",N
"Mon Sep 17 06:35:25 +0000 2012","247584526463795200",N
"Mon Sep 17 06:46:58 +0000 2012","247587433124859904",N
"Mon Sep 17 07:53:41 +0000 2012","247604222906998784",N
"Mon Sep 17 08:22:51 +0000 2012","247611562943205376",N
"Mon Sep 17 08:24:48 +0000 2012","247612053651607552",N
"Mon Sep 17 11:33:02 +0000 2012","247659424146132992",N
"Mon Sep 17 12:59:26 +0000 2012","247681167401308160",N
"Mon Sep 17 13:05:02 +0000 2012","247682576679063554",N
"Mon Sep 17 13:29:59 +0000 2012","247688855568912384",N
"Mon Sep 17 13:36:03 +0000 2012","247690382316556288",N
"Mon Sep 17 13:43:48 +0000 2012","247692332659535872",N
"Mon Sep 17 14:33:44 +0000 2012","247704898802700290",N
"Mon Sep 17 14:45:37 +0000 2012","247707889333043200",N
"Mon Sep 17 15:03:03 +0000 2012","247712276549890048",N
"Mon Sep 17 15:46:22 +0000 2012","247723177545986050",N
"Mon Sep 17 16:12:06 +0000 2012","247729653568114688",N
"Mon Sep 17 16:54:13 +0000 2012","247740252582723584",N
"Mon Sep 17 18:27:48 +0000 2012","247763803578699776",N
"Mon Sep 17 19:18:33 +0000 2012","247776575242792960",N
"Mon Sep 17 19:19:32 +0000 2012","247776822689943552",N
"Mon Sep 17 19:36:48 +0000 2012","247781168001478656",N
"Mon Sep 17 21:19:48 +0000 2012","247807088825352192",N
"Mon Sep 17 21:24:50 +0000 2012","247808355488391168",N
"Mon Sep 17 21:30:56 +0000 2012","247809890582659074",N
"Mon Sep 17 21:41:03 +0000 2012","247812436533575681",N
"Mon Sep 17 23:17:02 +0000 2012","247836591555502080",N
"Tue Sep 18 00:11:27 +0000 2012","247850285937074176",N
"Tue Sep 18 00:21:32 +0000 2012","247852823482597377",N
"Tue Sep 18 00:50:55 +0000 2012","247860218048942080",N
"Tue Sep 18 01:20:47 +0000 2012","247867734241726465",N
"Tue Sep 18 01:38:55 +0000 2012","247872297644482561",N
"Tue Sep 18 02:02:55 +0000 2012","247878337438031874",N
"Tue Sep 18 02:16:31 +0000 2012","247881759990112256",N
"Tue Sep 18 02:23:53 +0000 2012","247883613876678656",N
"Tue Sep 18 02:25:32 +0000 2012","247884029112770561",N
"Tue Sep 18 02:57:49 +0000 2012","247892153483812866",N
"Tue Sep 18 03:06:20 +0000 2012","247894296760549378",N
"Tue Sep 18 05:25:59 +0000 2012","247929440842174464",N
"Tue Sep 18 06:55:08 +0000 2012","247951876182663169",N
"Tue Sep 18 07:05:09 +0000 2012","247954396955168769",N
"Tue Sep 18 07:22:17 +0000 2012","247958708720644096",N
"Tue Sep 18 08:34:11 +0000 2012","247976802914545664",N
"Tue Sep 18 09:59:39 +0000 2012","247998311305449472",N
"Tue Sep 18 16:19:04 +0000 2012","248093794648600576",N
"Tue Sep 18 16:26:10 +0000 2012","248095581434683393",N
"Tue Sep 18 16:26:45 +0000 2012","248095728218550272",N
"Tue Sep 18 16:36:28 +0000 2012","248098173497798658",N
"Tue Sep 18 17:22:40 +0000 2012","248109800125247488",N
"Tue Sep 18 18:28:58 +0000 2012","248126485058166784",N
"Tue Sep 18 18:31:40 +0000 2012","248127164552212481",N
"Tue Sep 18 19:08:10 +0000 2012","248136350061182976",N
"Tue Sep 18 19:30:02 +0000 2012","248141852992229376",N
"Tue Sep 18 19:34:47 +0000 2012","248143048343699457",N
