Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"242883454050648064","#earthquake M 3.3, Virgin Islands region: September 01, 2012 06:10:29 GMT http://t.co/wi04LJ1D",Not labeled,Not labeled,Not related
"242887379944366080","@EarthquakeTest update your #earthquake s more",Not labeled,Not labeled,Not related
"242919634125328384","RT @RedazioneWebAL: #Terremoto, Costi (Pd): tanto fatto, tanto da fare, l'importante per chi abita nel cratere è non sentirsi mai ostac ...",Not labeled,Not labeled,Not related
"242920737223106561","#Earthquake M 2.6, Southern Alaska http://t.co/sdi09taS",Not labeled,Not labeled,Not related
"242936558158757889","５年６ヶ月長期保存可能なえいようかん5本。http://t.co/ZlSVctfi #eqjp #quake #saigai #earthquake #jishin #地震 #災害",Not labeled,Not labeled,Not applicable
"242945299084103681","#earthquake sige najud ug linug diri ui.. =.=",Not labeled,Not labeled,Not applicable
"242950005076393985","@MRmusica pasenla super bien :) Mil besos desd #CostaRIca :DDDD",Not labeled,Not labeled,Not related
"242951548576088065","RT @TerreInMoto: I Negozi di Mirandola 3 Mesi Dopo il #Terremoto - http://t.co/8SVkDdHm",Not labeled,Not labeled,Not related
"242979541373562880","#earthquake Philippines (the): NDRRMC Update re Effects of Earthquake in Maramag, Bukidnon http://t.co/YYG65owX #crisismanagement",Not labeled,Not labeled,Not related
"242997841134505985","【#USGS #Breaking】 M 1.1, 28km SSW of Fairbanks, Alaska http://t.co/hSyciQFM #PastHour #11 #earthquake #tsunami #prayfromjapan",Not labeled,Not labeled,Not applicable
"243025091531780098","#earthquake: M 1.6, Greater Los Angeles area, California http://t.co/4cX0Qy05",Not labeled,Not labeled,Not related
"243025959731740675","#Temblor♨ M 4.2, 72km ESE of Karpathos, Greece http://t.co/KMRZ07mN #Earthquake #Sismo",Not labeled,Not labeled,Not related
"243038253253550080","非常食として米国沿岸警備隊の承認を受け、国連や米国国防省をはじめ、IBM、ゼロックス社など、また日本でも官庁や数多くの企業、学校などが備蓄用品として採用しています。 http://t.co/B0HzzZtc #saigai #earthquake #jishin #地震 #災害",Not labeled,Not labeled,Not applicable
"243048072119209984","Roaming local prices – those for #mobile users – didn’t experience great fluctuations with arrival of #Movistar &amp; Claro… #CostaRica…",Not labeled,Not labeled,Not related
