Timestamp, Tweet-ID, Included(Y/N)
"Sat Nov 17 07:02:34 +0000 2012","269697018765651968",Y
"Sat Nov 17 07:57:33 +0000 2012","269710855782932480",Y
"Sat Nov 17 09:48:02 +0000 2012","269738659811569664",Y
"Sat Nov 17 10:09:43 +0000 2012","269744116605284353",Y
"Sat Nov 17 10:43:33 +0000 2012","269752631046574081",Y
"Sat Nov 17 13:00:41 +0000 2012","269787141771501569",Y
"Sat Nov 17 13:05:18 +0000 2012","269788303614676993",Y
"Sat Nov 17 13:09:58 +0000 2012","269789478024011777",Y
"Sat Nov 17 13:13:02 +0000 2012","269790249759145984",Y
"Sat Nov 17 14:03:52 +0000 2012","269803042398928896",Y
"Sat Nov 17 15:25:02 +0000 2012","269823468663623680",Y
"Sat Nov 17 17:01:43 +0000 2012","269847799825321985",Y
"Sat Nov 17 17:25:38 +0000 2012","269853810258747392",Y
"Sat Nov 17 17:25:51 +0000 2012","269853873173327873",Y
"Sat Nov 17 17:36:54 +0000 2012","269856653971685377",Y
"Sat Nov 17 19:38:22 +0000 2012","269887222076030976",Y
"Sat Nov 17 19:38:25 +0000 2012","269887234675732480",Y
"Sat Nov 17 19:41:58 +0000 2012","269888128041508864",Y
"Sat Nov 17 19:53:30 +0000 2012","269891030516629505",Y
"Sat Nov 17 20:03:02 +0000 2012","269893429629177857",Y
"Sat Nov 17 21:05:28 +0000 2012","269909141496147968",Y
"Sat Nov 17 21:16:53 +0000 2012","269912014606970880",Y
"Sat Nov 17 22:15:23 +0000 2012","269926736618201089",Y
"Sat Nov 17 23:01:02 +0000 2012","269938224829456384",Y
"Sat Nov 17 23:03:02 +0000 2012","269938728120745984",Y
"Sat Nov 17 23:28:56 +0000 2012","269945246094340096",Y
"Sun Nov 18 00:00:36 +0000 2012","269953215267745793",Y
"Sun Nov 18 02:12:31 +0000 2012","269986413167136769",Y
"Sun Nov 18 02:52:18 +0000 2012","269996424970768386",Y
"Sun Nov 18 03:55:03 +0000 2012","270012216533733376",Y
"Sun Nov 18 04:36:16 +0000 2012","270022589030748160",Y
"Sun Nov 18 05:38:54 +0000 2012","270038351237750784",Y
"Sun Nov 18 07:09:58 +0000 2012","270061268914798593",Y
"Sun Nov 18 09:55:02 +0000 2012","270102809280643073",Y
"Sun Nov 18 12:48:44 +0000 2012","270146522354704384",Y
"Sun Nov 18 16:00:24 +0000 2012","270194756825538560",Y
"Sun Nov 18 17:40:14 +0000 2012","270219880719065088",Y
"Sun Nov 18 18:40:26 +0000 2012","270235030557716480",Y
"Sun Nov 18 18:45:19 +0000 2012","270236259467792384",Y
"Sun Nov 18 20:21:17 +0000 2012","270260410274435073",Y
"Sun Nov 18 21:48:33 +0000 2012","270282371662753793",Y
"Sun Nov 18 22:02:00 +0000 2012","270285756470276096",Y
"Sun Nov 18 22:30:19 +0000 2012","270292882571800577",Y
"Sun Nov 18 22:41:03 +0000 2012","270295583703564289",Y
"Mon Nov 19 01:29:03 +0000 2012","270337862296297473",Y
"Mon Nov 19 01:59:20 +0000 2012","270345483342446592",Y
"Mon Nov 19 02:13:20 +0000 2012","270349006574587905",Y
"Mon Nov 19 04:10:28 +0000 2012","270378484122136577",Y
"Mon Nov 19 04:39:23 +0000 2012","270385761227010049",Y
"Mon Nov 19 05:58:25 +0000 2012","270405650641739776",Y
"Mon Nov 19 07:41:10 +0000 2012","270431508496531456",Y
"Mon Nov 19 11:36:07 +0000 2012","270490635612610560",Y
"Mon Nov 19 12:35:16 +0000 2012","270505521201692673",Y
"Mon Nov 19 12:44:15 +0000 2012","270507781952512000",Y
"Mon Nov 19 13:11:10 +0000 2012","270514555749285888",Y
"Mon Nov 19 13:16:38 +0000 2012","270515923067228161",Y
"Mon Nov 19 13:54:13 +0000 2012","270525389619744768",Y
"Mon Nov 19 14:16:04 +0000 2012","270530888339685377",Y
"Mon Nov 19 14:26:56 +0000 2012","270533623042670593",Y
"Mon Nov 19 15:49:21 +0000 2012","270554363859202048",Y
"Mon Nov 19 15:54:07 +0000 2012","270555563425951744",Y
"Mon Nov 19 16:40:27 +0000 2012","270567223595253760",Y
"Mon Nov 19 16:40:38 +0000 2012","270567269757755392",Y
"Mon Nov 19 16:47:46 +0000 2012","270569064915681281",Y
"Mon Nov 19 16:48:06 +0000 2012","270569148776607744",Y
"Mon Nov 19 16:49:09 +0000 2012","270569413042921473",Y
"Mon Nov 19 16:51:23 +0000 2012","270569975092236289",Y
"Mon Nov 19 17:07:24 +0000 2012","270574005789007873",Y
"Mon Nov 19 18:27:17 +0000 2012","270594109104848896",Y
"Mon Nov 19 18:50:06 +0000 2012","270599851107024896",Y
"Mon Nov 19 19:03:19 +0000 2012","270603177202700288",Y
"Mon Nov 19 20:17:41 +0000 2012","270621892153597952",Y
