Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"265785591206133761","Con todo mi #guatemala",Not labeled,Not labeled,Not related
"265800397120212992","RT @Telediariogt: DEPORTES: arrancó segundo tiempo de juego en Mundial Futsal #Tailandia2012: #Rusia 6-0 #Guatemala. @MLorenzo_td",Not labeled,Not labeled,Not related
"265818847867707392","#Guatemala : La plus ancienne tombe #Maya a été découverte http://t.co/LhOS8uD8",Not labeled,Not labeled,Not related
"265845007729192960","La agrupación guatemalteca el @Tambordlatribu anunció presentaciones en Estados Unidos y México #Guatemala",Not labeled,Not labeled,Not related
"265889370882580480","Se pudrió todo @cobreloa @hmarambi Palos es baja contra #sanmarcos y @Juegoypasion dice que Contreras se lesionó y jugará Acevedo. #cobreloa",Not labeled,Not labeled,Not related
"265911617491959808","RT @FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative
"265912993198514178","@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative
"265920492626653184","Latino América en marcas, #Diseño de la marca país #Guatemala http://t.co/JmigZy2T #martesdemarcas",Not labeled,Not labeled,Not related
"266005733445869569","RT @NANOMCDGREAT: Estamos #2 en lo más solicitado en #Guatemala con “EnMiSeFijo” de @NANOMCDGREAT por #RadioManati1015Fm pídelo vía msj  ...",Not labeled,Not labeled,Not related
"266048855085305857","RT @CNNEE: El presidente de #Guatemala @OttoPerezMolina es, hasta ahora, el único mandatario latinoamericano que felicitó a #Obama en Tw ...",Not labeled,Not labeled,Not related
"266140274156240896","Posibles fechas de #MägodeOz: 8 de Febrero en #Guatemala. 14 de Marzo en #Chile (mismo día que Turisas...). 23 de Marzo en #Argentina.",Not labeled,Not labeled,Not related
"266217826849783808","buenos dias con ese #temblorgt",Outsiders,Not applicable,Related - but not informative
"266219231916478464","RT @tcsnoticias: Sismo fue sensible en la capital de Guatemala",Media,Infrastructure and utilities,Related and informative
"266219357745582080","Fuerte sismo sacude Guatemala, México y buena parte de Centroamèrica.",Outsiders,Other Useful Information,Related and informative
"266219601002647552","Nada mejor que empezar el dia con un #temblor #sismo ...",Not labeled,Not labeled,Not related
"266219655549575169","Ooh @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/fosO1UT6",NGOs,Other Useful Information,Related and informative
"266219773006843906","RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9",Media,Other Useful Information,Related and informative
"266219814945714177","Preliminar 6.35  del #sismo que se sintio hace unos momentos en el DF m",Not applicable,Other Useful Information,Related and informative
"266219869471649793","RT @prensa_libre: RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). ht ...",Media,Other Useful Information,Related and informative
"266220087562878977","RT @axl90: La Tierra está surfeando #TemblorGt",Not labeled,Not labeled,Not related
"266220104319127553","RT @amigosderafa: #sismo #Xalapa #Veracruz con precaución y tranquilidad por favor",Not applicable,Not applicable,Related - but not informative
"266220150485835776","@NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter. http://t.co/YSzDJzN8 QUE GRUESO!",NGOs,Other Useful Information,Related and informative
"266220251119767552","@AugustoMejiaL: “@ReporteNi: #Temblor M 7.5, 49km SW of Champerico, Guatemala http://t.co/NROIHfx1” // Se sintio feo loco /:",Eyewitness,Infrastructure and utilities,Related and informative
