Timestamp, Tweet-ID, Included(Y/N)
"Sun May 20 06:01:34 +0000 2012","204089463968763905",Y
"Sun May 20 06:01:56 +0000 2012","204089556226678784",Y
"Sun May 20 06:02:02 +0000 2012","204089581405093889",Y
"Sun May 20 06:06:23 +0000 2012","204090676097454080",Y
"Sun May 20 06:07:05 +0000 2012","204090852249841664",Y
"Sun May 20 06:07:50 +0000 2012","204091041022873600",Y
"Sun May 20 06:07:50 +0000 2012","204091041022869505",Y
"Sun May 20 06:08:19 +0000 2012","204091162657689600",Y
"Sun May 20 06:08:51 +0000 2012","204091296858636288",Y
"Sun May 20 06:09:07 +0000 2012","204091363984293889",Y
"Sun May 20 06:09:54 +0000 2012","204091561083023360",Y
"Sun May 20 06:10:06 +0000 2012","204091611427254273",Y
"Sun May 20 06:10:46 +0000 2012","204091779220377600",Y
"Sun May 20 06:10:55 +0000 2012","204091816960720896",Y
"Sun May 20 06:11:27 +0000 2012","204091951178465280",Y
"Sun May 20 06:11:53 +0000 2012","204092060221980672",Y
"Sun May 20 06:12:41 +0000 2012","204092261561139200",Y
"Sun May 20 06:13:51 +0000 2012","204092555141451776",Y
"Sun May 20 06:13:56 +0000 2012","204092576142327809",Y
"Sun May 20 06:14:17 +0000 2012","204092664184963073",Y
"Sun May 20 06:14:52 +0000 2012","204092811019173888",Y
"Sun May 20 06:15:29 +0000 2012","204092966200029186",Y
"Sun May 20 06:16:26 +0000 2012","204093205250195457",Y
"Sun May 20 06:17:47 +0000 2012","204093544988811264",Y
"Sun May 20 06:18:17 +0000 2012","204093670847291392",Y
"Sun May 20 06:19:37 +0000 2012","204094006400004096",Y
"Sun May 20 06:21:32 +0000 2012","204094488744955905",Y
"Sun May 20 06:21:38 +0000 2012","204094513885622272",Y
"Sun May 20 06:21:44 +0000 2012","204094539055632386",Y
"Sun May 20 06:22:24 +0000 2012","204094706827792385",Y
"Sun May 20 06:23:00 +0000 2012","204094857814343680",Y
"Sun May 20 06:23:20 +0000 2012","204094941700440064",Y
"Sun May 20 06:24:05 +0000 2012","204095130448314368",Y
"Sun May 20 06:24:56 +0000 2012","204095344374579200",Y
"Sun May 20 06:24:58 +0000 2012","204095352754798592",Y
"Sun May 20 06:24:59 +0000 2012","204095356949110784",Y
"Sun May 20 06:25:57 +0000 2012","204095600235528192",Y
"Sun May 20 06:26:02 +0000 2012","204095621177688064",Y
"Sun May 20 06:26:04 +0000 2012","204095629574672385",Y
"Sun May 20 06:26:07 +0000 2012","204095642165972992",Y
"Sun May 20 06:27:13 +0000 2012","204095918964879360",Y
