Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"203440928084602880","E #Navelli... a che punto siamo? Dov'è il piano di #ricostruzione? #laquila #sisma #terremoto http://t.co/z7ZO4wQ8",Outsiders,Other Useful Information,Related - but not informative
"203843778409283584","RT @andmarini: #Modena Strage di Brindisi, alle 18 presidio al Sacrario. A mezzanotte minuto di silenzio al... http://t.co/boE09BWv @gaz ...",Not labeled,Not labeled,Not related
"204030290715348993","#Terremoto ! in alto si sente parecchio",Outsiders,Sympathy and support,Related - but not informative
"204030617850089472","Inequivocabilmente questa era una scossa di #terremoto",Eyewitness,Sympathy and support,Related - but not informative
"204030861119729664","#terremoto #busto #arsizio ore 04.7",Eyewitness,Not applicable,Related - but not informative
"204032853439283201","“@perugini: 44.956°N, 11.241°E - 4.2 Magnitudo - Nord ITalia #terremoto http://t.co/Er9s2Pu2”questo e'quello dell'1:13",Eyewitness,Other Useful Information,Related and informative
"204033939772407808","RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative
"204033969124155392","RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative
"204034501796569090","RT @silla995: Fokka la bindella il #terremoto",Eyewitness,Not applicable,Related - but not informative
"204034510176780288","RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative
"204034518577975299","RT @pciuccarelli: #terremoto #map http://t.co/DMeBnXEE",Media,Caution and advice,Related and informative
"204034585670062080","RT @USGSted: Strong earthquake, NORTHERN ITALY, May-20 02:03 UTC, 261 #terremoto tweets/min,  http://t.co/0FKAcV05",Media,Caution and advice,Related and informative
"204034644398702592","Oddio #terremoto.  L'ho sentito solo io alle 4 del mattino?",Eyewitness,Sympathy and support,Related - but not informative
"204035357413605377","10 secondi di forti scosse di terremoto a Vignola di Modena alle 04.00",Eyewitness,Affected individuals,Related and informative
"204035848147177475","#terremoto i hate dancing at 4 am, so I never go to clubs. Then you wake up and your bed, doors and whole building are dancing with you. O.o",Eyewitness,Affected individuals,Related - but not informative
"204036393436061696","ilpost Il terremoto in provincia di Modena: Secondo l’agenzia di stampa Reuters, la scossa sarebbe stata di magn... http://t.co/4dBk6gPX",Media,Other Useful Information,Related and informative
"204036527653785600","RT @Corriereit: #Terremoto avvertito nel Nord sull'asse Emilia-Veneto @Corriereit",Media,Other Useful Information,Related and informative
"204036984811945984","Arriva prima su #twitter che da altri parti la notizia del #terremoto. Che scorlo cio'!!",Outsiders,Other Useful Information,Related - but not informative
"204037194535542784","grazie a twitter non mi sento più sola #terremoto ma sto ancora tremando di paura :/",Eyewitness,Sympathy and support,Related - but not informative
"204037236482772992","【#USGS #alert】 5.9 - NORTHERN ITALY: Date: Sun, 20 May 2012 02:03:53 UTC Lat/Lon:... http://t.co/2xI9nHkc #earthquake #tsunami #zuto",Not labeled,Not labeled,Not related
"204037731389669376","@Selenelios #umorismomacabroscadente #terremoto io ho sgridato il cane che dorme sotto il letto..",Not labeled,Not labeled,Not related
"204038352146673664","RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ...",Media,Caution and advice,Related and informative
"204038377316683776","RT @Zebbolo: Magnitudo 5.9 gradi Richter, epicentro a 40km a nord di Bologna. #terremoto",Media,Other Useful Information,Related and informative
"204038679298183168","@diedigi @stefanobandera i 3 fanatici del #terremoto :) #vogliodormire",Outsiders,Not applicable,Related - but not informative
"204038981292265472","RT @lucad1: #terremoto visto da twitter #norditalia http://t.co/nZTw0OT7",Media,Other Useful Information,Related and informative
"204039077794824192","#terremoto emiliano. Piadina con la scossadella.",Not labeled,Not labeled,Not related
"204039362973925376","RT @ilpost: C’è stato un terremoto nel nord Italia, avvertito a Milano, Bologna, Torino e Verona: magnitudo 6.3:  http://t.co/CetVJuv0",Media,Other Useful Information,Related and informative
"204039388164927488","Pensavo di aver mangiato pesante... Invece no #terremoto",Eyewitness,Other Useful Information,Related - but not informative
"204039597850759169","RT @ElDatoDelDia: #Terremoto de 6.3 azotó el noroeste de Bologna, Italia http://t.co/jv6aRTf3",Media,Other Useful Information,Related and informative
"204039669187477504","RT @gluca: enorme scossa di #terremoto ORA #modena #sanfelice. pare che le case siano ok, interni case distrutti. gente in strada. http: ...",Eyewitness,Infrastructure and utilities,Related and informative
"204039702746116096","RT @kekkoz: Record di ascolti per la lezione su Estimo e Teorie della Valutazione che stanno dando su Raidue. #terremoto",Not labeled,Not labeled,Not related
"204039874679025664","RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ...",Media,Other Useful Information,Related and informative
"204040742920912897","#terremoto e' per caso caduto il governo? #sischerza",Not labeled,Not labeled,Not related
"204040986203144192","#terremoto #venezia Non ho più avvertito scosse",Eyewitness,Caution and advice,Related - but not informative
"204041334317793280","RT @andreabossi: #terremoto ecco la mappa http://t.co/8F9eJW6n",Outsiders,Other Useful Information,Related and informative
"204042043129991169","#terremoto cmq qui a #vicenza ne ho sentite altre 2 piccole. Ora dormo ciao @webeconoscenza @lumaca81 @kiavianello @andreacasadeiVE @robitu",Outsiders,Other Useful Information,Related and informative
"204044161253519360","RT @lucauxx: #terremoto: quando ti svegli alle quattro di notte perché trema il letto, prometti solennemente a te stesso che non li sche ...",Eyewitness,Sympathy and support,Related - but not informative
"204044551357345793","RT @TheUnspecialOne: La stabilità del letto Ikea durante il #terremoto: mi sono svegliato in bagno.",Not labeled,Not labeled,Not related
"204044601668022272","epicentro #terremoto http://t.co/UqmE4FD0",Media,Other Useful Information,Related and informative
"204044790420094976","Arrivato a casa, mi corico, accendo il decoder vado su #skytg24 per avere aggiornamenti sul #terremoto e il decoder si aggiorna i canali mah",Outsiders,Other Useful Information,Related - but not informative
"204045272773427201","Terremoto mi vuoi lasciar dormire sì o no? #terremoto",Eyewitness,Sympathy and support,Related - but not informative
"204045440541396992","RT @Zebbolo: Sembra ci siano seri danni a Finale Emilia e Poggio Renatico #terremoto",Media,Caution and advice,Related and informative
"204045478281744384","RT @LucaLombroso: Cosa fare (e non fare) in caso di #terremoto, ma molto va fatto prima:es, cosa banale, da anni non ho quadri sul letto ...",Outsiders,Caution and advice,Related and informative
"204045604119261184","Ou ora basta. Me la caco. #terremoto",Not labeled,Not labeled,Not related
"204045671223930880","Mobbasta #terremoto #bologna. Altra scossa.",Eyewitness,Other Useful Information,Related and informative
"204046325518577664","5.9-magnitude earthquake strikes near Bologna, Italy   Full Article: http://t.co/HLVjrFuY   A 5.9-magnitude earthquake struck near Bologna…",Media,Other Useful Information,Related and informative
