Timestamp, Tweet-ID, Included(Y/N)
"Wed Aug 01 11:00:01 +0000 2012","230618885534138368",Y
"Wed Aug 01 12:02:53 +0000 2012","230634706436227073",Y
"Wed Aug 01 15:50:55 +0000 2012","230692092911964161",Y
"Thu Aug 02 04:28:53 +0000 2012","230882841498628096",Y
"Sun Aug 05 08:47:03 +0000 2012","232034974851805187",Y
"Sun Aug 05 10:36:04 +0000 2012","232062409806864384",Y
"Sun Aug 05 12:57:55 +0000 2012","232098107490439169",Y
"Sun Aug 05 12:57:56 +0000 2012","232098111722504192",Y
"Sun Aug 05 12:58:40 +0000 2012","232098296242524162",Y
"Sun Aug 05 13:00:29 +0000 2012","232098753442631680",Y
"Sun Aug 05 13:00:39 +0000 2012","232098795364683778",Y
"Sun Aug 05 13:02:22 +0000 2012","232099227373821952",Y
"Sun Aug 05 13:02:56 +0000 2012","232099369975955456",Y
"Sun Aug 05 13:06:49 +0000 2012","232100347282329600",Y
"Sun Aug 05 13:18:40 +0000 2012","232103329428295681",Y
"Sun Aug 05 13:27:44 +0000 2012","232105611121262592",Y
"Sun Aug 05 13:29:39 +0000 2012","232106093449453568",Y
"Sun Aug 05 14:11:41 +0000 2012","232116671517691904",Y
"Sun Aug 05 14:12:33 +0000 2012","232116889613127680",Y
"Sun Aug 05 14:17:28 +0000 2012","232118126941200384",Y
"Sun Aug 05 17:22:00 +0000 2012","232164566270877696",Y
"Sun Aug 05 17:23:32 +0000 2012","232164952125865984",Y
"Sun Aug 05 17:24:31 +0000 2012","232165199614992384",Y
"Sun Aug 05 17:46:26 +0000 2012","232170715095396352",Y
"Sun Aug 05 18:00:58 +0000 2012","232174372520095744",Y
"Sun Aug 05 20:38:51 +0000 2012","232214105191243778",Y
"Sun Aug 05 20:46:12 +0000 2012","232215954879307776",Y
"Sun Aug 05 22:40:57 +0000 2012","232244832637169668",Y
"Mon Aug 06 02:47:59 +0000 2012","232307000606879745",Y
"Mon Aug 06 02:53:14 +0000 2012","232308321812631553",Y
"Mon Aug 06 09:24:21 +0000 2012","232406749548789760",Y
