Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"230634706436227073","Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national",Media,Affected individuals,Related and informative
"230692092911964161","RT @gmanews: Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/I4Fjtg95",Media,Affected individuals,Related and informative
"230882841498628096","Philippine flood fatalities hit 23 http://t.co/1aukg7RA",Media,Other Useful Information,Related and informative
"232034974851805187","4 Luzon dams release water; flood warning up: MANILA, Philippines - Four dams in Luzon opened their gates Sunday... http://t.co/kmWDCBFw",Media,Caution and advice,Related and informative
"232098107490439169","RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.",Media,Caution and advice,Related and informative
"232098111722504192","@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.",Media,Caution and advice,Related and informative
"232098296242524162","RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.",Media,Caution and advice,Related and informative
"232099369975955456","RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.",Media,Caution and advice,Related and informative
"232105611121262592","RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.",Media,Caution and advice,Related and informative
"232118126941200384","RT @ANCALERTS: PAGASA 10pm advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying a ...",Media,Caution and advice,Related and informative
"232165199614992384","RT @ANCALERTS: UP Manila admin &amp; officials will monitor rain&amp;flood situation til 4am. Announcements will be made at the latest 5 ...",Media,Caution and advice,Related and informative
"232214105191243778","RT @ANCALERTS: PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying ar ...",Government,Caution and advice,Related and informative
"232244832637169668","RT @PHLNewsOnline: [ANC]  PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods... h ...",Media,Caution and advice,Related and informative
"232406757945786368","RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...",Media,Caution and advice,Related and informative
"232422541103357952","RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...",Media,Caution and advice,Related and informative
"232464438018596864","“@ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.”",Media,Caution and advice,Related and informative
"232465335587074048","RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Media,Caution and advice,Related and informative
"232467948634255360","RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Media,Caution and advice,Related and informative
"232474613387513857","‎​PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.",Government,Caution and advice,Related and informative
"232500475491131395","If floods end up banging up my Manila badly, considering running charity shirt drive. @rutrivera @aurockslikewhoa game?",NGOs,Donations and volunteering,Related and informative
"232501100446613504","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative
"232501180109058048","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative
"232502207713533952","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...",Media,Caution and advice,Related and informative
"232502601978101760","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods ... http://t.co/j9ubEbKE",Media,Caution and advice,Related and informative
"232502610396073986","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers. #TVDPHFamily",Government,Caution and advice,Related and informative
"232509631631618048","RT @KakanTuring: http://t.co/EvvpuBse The Great Manila Flood of '72, as recalled by a US Peace Corps volunteer",Eyewitness,Donations and volunteering,Related and informative
"232600203444760577","it's already Aug 7, around 6 am Manila time.. Rains flood our country.. it's @DavidArchie's day also, BEGIN is out now!",Eyewitness,Caution and advice,Related and informative
"232619669197053953","RT @ABSCBNNews: FLOOD ALERT: San Marcelino Taft Ayala, Manila, as of 6:37am not passable to all types of vehicles | via @MMDA",Media,Caution and advice,Related and informative
"232628821180952576","RT @Karen_DaviLa: @MMDA Chair was right, we can't control weather, so we need to make Metro Manila flood resilient. Must spend on anti ...",Government,Sympathy and support,Related - but not informative
"232629404185010178","RT @jascurtissmith: Don't gising me uuuuuuuuuuuup!!! #PinoyConyoLyrics parin. hope everyone in Manila is safe, heard the flood is gettin ...",Outsiders,Sympathy and support,Related - but not informative
"232631115448479744","Surviving in the manila flood #morefuninthephilippines http://t.co/P0DjcF5j",Eyewitness,Not applicable,Related - but not informative
"232690720740343808","Praying for Philippine, may God see you through and help those affected by the floods. Amen",Outsiders,Sympathy and support,Related - but not informative
"232691454718398464","RT @philippinebeat: Folks, there's a hashtag #rescuePH that has been established for rescue efforts. Let's use this for better coordination.",Media,Donations and volunteering,Related and informative
"232691492462936066","Hope mobile networks provide FREE CALLS today! MANY ARE IN NEED! Wag nyo na pagkakitaan ang bagyo! #rescueph #bayanihan #RescuePhilippines",Outsiders,Donations and volunteering,Related and informative
"232699017044312065","RT @ANCALERTS: Keep tweeting us so we can share updates with our followers. We're updating this list too. #rescuePH http://t.co/YHPd2G0u",Outsiders,Affected individuals,Related and informative
"232700514419216384","RT @YahooPH: use #rescuePH hashtag to allow all media outlets to monitor tweets related to the floods, rescue operations. Thanks!",Media,Other Useful Information,Related and informative
"232702632534351872","RT @themallph: Hey guys! Use the hashtag #RescuePH for rescue operations and flood monitoring!",Business,Caution and advice,Related and informative
"232703387513282560","Philippine capital hit by floods http://t.co/Zlk3k8b2",Media,Affected individuals,Related and informative
"232703890846523393","RT @YahooPH: use #rescuePH hashtag to allow all media outlets to monitor tweets related to the floods, rescue operations. Thanks!",Media,Caution and advice,Related and informative
"232705409159426049","Whats the latest on #Manila floods situation? @mmda",Outsiders,Other Useful Information,Related - but not informative
"232706533258035200","RT @ohteenquotes: I'd rather have classes than seeing people of my country suffering and dying. #PrayForThePhilippines #rescuePH",Outsiders,Sympathy and support,Related - but not informative
"232706738770563072","#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :(",Eyewitness,Affected individuals,Related - but not informative
"232707082707673088","RT @BBCWorld: Philippine capital hit by floods http://t.co/T8pA0uut",Media,Not applicable,Related and informative
