Timestamp, Tweet-ID, Included(Y/N)
"Sat Nov 24 08:07:08 +0000 2012","272249982583705600",Y
"Sat Nov 24 10:15:40 +0000 2012","272282329022611456",Y
"Sat Nov 24 10:32:07 +0000 2012","272286468800655360",Y
"Sat Nov 24 14:42:56 +0000 2012","272349584699826176",Y
"Sat Nov 24 19:02:08 +0000 2012","272414818726707201",Y
"Sat Nov 24 23:11:44 +0000 2012","272477632619237376",Y
"Sun Nov 25 05:36:44 +0000 2012","272574521054224386",Y
"Sun Nov 25 14:06:10 +0000 2012","272702724137705473",Y
"Sun Nov 25 14:27:47 +0000 2012","272708164141600770",Y
"Sun Nov 25 18:44:00 +0000 2012","272772643160219648",Y
"Sun Nov 25 18:52:55 +0000 2012","272774882943717377",Y
"Sun Nov 25 21:00:24 +0000 2012","272806969348337664",Y
"Sun Nov 25 23:55:57 +0000 2012","272851147960750080",Y
"Mon Nov 26 00:30:09 +0000 2012","272859754689351680",Y
"Mon Nov 26 07:59:10 +0000 2012","272972753429200896",Y
"Mon Nov 26 08:21:26 +0000 2012","272978357023555585",Y
"Mon Nov 26 15:28:21 +0000 2012","273085794116304896",Y
"Mon Nov 26 17:30:11 +0000 2012","273116454486949888",Y
"Tue Nov 27 00:48:36 +0000 2012","273226785636880384",Y
"Tue Nov 27 00:51:38 +0000 2012","273227549000228865",Y
"Tue Nov 27 06:46:37 +0000 2012","273316879278411776",Y
"Tue Nov 27 07:51:20 +0000 2012","273333169967730689",Y
"Tue Nov 27 09:09:39 +0000 2012","273352879002238976",Y
"Wed Nov 28 01:45:52 +0000 2012","273603585114259457",Y
"Wed Nov 28 02:08:03 +0000 2012","273609167745466368",Y
"Wed Nov 28 18:14:44 +0000 2012","273852441563394049",Y
"Wed Nov 28 19:26:01 +0000 2012","273870380622573568",Y
"Wed Nov 28 20:38:43 +0000 2012","273888676151427072",Y
"Wed Nov 28 21:22:44 +0000 2012","273899753329278976",Y
"Wed Nov 28 21:50:27 +0000 2012","273906728473608194",Y
"Thu Nov 29 12:02:30 +0000 2012","274121153843458048",Y
"Thu Nov 29 12:46:27 +0000 2012","274132214239862784",Y
"Thu Nov 29 13:16:41 +0000 2012","274139822707339264",Y
"Thu Nov 29 15:07:31 +0000 2012","274167714828926976",Y
"Thu Nov 29 18:16:07 +0000 2012","274215177552015360",Y
"Thu Nov 29 20:27:49 +0000 2012","274248320958996480",Y
"Thu Nov 29 22:14:15 +0000 2012","274275105788542976",Y
"Fri Nov 30 01:02:41 +0000 2012","274317493407981568",Y
"Fri Nov 30 06:29:13 +0000 2012","274399668241326080",Y
"Fri Nov 30 06:58:24 +0000 2012","274407012434063360",Y
"Fri Nov 30 08:05:57 +0000 2012","274424007762272257",Y
"Fri Nov 30 08:38:00 +0000 2012","274432077594759169",Y
"Fri Nov 30 08:53:23 +0000 2012","274435948949958656",Y
"Fri Nov 30 09:18:10 +0000 2012","274442185880002560",Y
"Fri Nov 30 09:19:29 +0000 2012","274442517234204672",Y
"Fri Nov 30 11:47:12 +0000 2012","274479691333791745",Y
"Fri Nov 30 11:52:09 +0000 2012","274480937063038976",Y
"Fri Nov 30 13:09:00 +0000 2012","274500276977795073",Y
"Fri Nov 30 13:44:35 +0000 2012","274509231825248256",Y
"Fri Nov 30 15:09:43 +0000 2012","274530656321675264",Y
"Fri Nov 30 17:46:55 +0000 2012","274570217026383873",Y
"Fri Nov 30 19:48:17 +0000 2012","274600759931326464",Y
"Fri Nov 30 23:46:48 +0000 2012","274660784620052480",Y
"Fri Nov 30 23:47:39 +0000 2012","274660998525370368",Y
"Sat Dec 01 01:09:27 +0000 2012","274681584194560000",Y
"Sat Dec 01 01:17:11 +0000 2012","274683530318082048",Y
"Sat Dec 01 01:55:40 +0000 2012","274693214995374080",Y
"Sat Dec 01 04:15:11 +0000 2012","274728321307271168",Y
"Sat Dec 01 05:23:56 +0000 2012","274745627001384960",Y
"Sat Dec 01 07:53:15 +0000 2012","274783203779289090",Y
"Sat Dec 01 09:09:39 +0000 2012","274802430477234176",Y
"Sat Dec 01 11:45:47 +0000 2012","274841718493421568",Y
"Sat Dec 01 11:52:11 +0000 2012","274843333308850177",Y
"Sat Dec 01 11:54:33 +0000 2012","274843928904204288",Y
"Sat Dec 01 13:11:35 +0000 2012","274863314985680896",Y
"Sat Dec 01 13:38:29 +0000 2012","274870084579766273",Y
"Sat Dec 01 14:01:48 +0000 2012","274875952423661568",Y
"Sat Dec 01 14:23:17 +0000 2012","274881358877315073",Y
"Sat Dec 01 14:59:57 +0000 2012","274890586337710081",Y
"Sat Dec 01 15:00:04 +0000 2012","274890615710433281",Y
"Sat Dec 01 18:58:01 +0000 2012","274950493594349568",Y
"Sat Dec 01 20:06:31 +0000 2012","274967736378073088",Y
"Sat Dec 01 21:14:24 +0000 2012","274984819786665985",Y
"Sat Dec 01 23:49:05 +0000 2012","275023747109490688",Y
"Sat Dec 01 23:54:10 +0000 2012","275025026363817984",Y
"Sun Dec 02 00:35:13 +0000 2012","275035356942983168",Y
"Sun Dec 02 01:03:35 +0000 2012","275042495639994370",Y
"Sun Dec 02 01:07:51 +0000 2012","275043569406976001",Y
