Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"272249982583705600","HOY es nuestro dia @Maria_21_music  #nerea #andres  #diego #gonzalo #elena #jaime #sergio #pablo #anxo",Not labeled,Not labeled,Not related
"272349584699826176","Yeahh yeahh esa jenga @alejandroalija @Telarera #tocayo #pablo http://t.co/peCCcDlq",Not labeled,Not labeled,Not related
"272772643160219648","a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...",Not labeled,Not labeled,Not related
"272774882943717377","Madrinas y apadrinados #SantaCecilia2012 @Carmen_Oboe @juanandres2307 #Pablo http://t.co/q92sofna",Not labeled,Not labeled,Not related
"272806969348337664","11-26-12 | E-Games Attendant | Chada Bingo House | Cagayan de Oro http://t.co/aepte8Im #CDO",Not labeled,Not labeled,Not related
"272851147960750080","#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h",Not labeled,Not labeled,Not related
"272859754689351680","St Scholastica's College, Manila suspends classes according to Sr. Tammy Prado, OSB. #WalangPasok",NGOs,Caution and advice,Related and informative
"273085794116304896","RT @weevo #dynamic #designed #QRCode for #CDO #Expandere #Italy | #QR http://t.co/Bkq90a59 http://t.co/XhJONS5H",Not labeled,Not labeled,Not related
"273116454486949888","En el curso de primeros auxilios con @mvallvey @Tore_Baza95 @drecouvreur #alvaro y #pablo",Not labeled,Not labeled,Not applicable
"273316879278411776","Que grandes @emaemail27 @Ciropee #pablo http://t.co/HWwvlJWH",Not labeled,Not labeled,Not applicable
"273852441563394049","RT @ChandlerGalt: Why CIOs May Morph Into the Chief Digital Officer http://t.co/RtVdo8Nz H/T @TylerBParsons #CIO #CTO #CDO",Not labeled,Not labeled,Not related
"273870380622573568","#pablo,o vienes ya o te quedas sin hermana a causa de una hipotermia. Tengo friooooo!",Not labeled,Not labeled,Not applicable
"273888676151427072","Quiero que #Clemente le diga lo que le dijo la vieja de #Pablo y #Augusto a #Loli y que despues se muera.",Not labeled,Not labeled,Not related
"273899753329278976","RT @JaviiBaezaMarti #CosasQueNoOlvidareDel2012 a @GarciaClaudia13 @JJ_lucia_RM @Kissa_versets #Pablo , #miriam, #angel ....",Not labeled,Not labeled,Not related
"273906728473608194","RT @jcordon5: Esperan su oportunidad en el banco @S_Talavante @adriwrc92 @jcordon5 #pablo y #david",Not labeled,Not labeled,Not applicable
"274215177552015360","Haoraa #pablo hee vailariim !! :p",Not labeled,Not labeled,Not related
"274248320958996480","RT @ZaniniGermano: #Forgreen LIfe.Il mio plauso a Bernhard SCHOLZ presidente#CDO.Al centro delle#imprese moderne?La PASSIONE delle PERSO ...",Not labeled,Not labeled,Not applicable
"274275105788542976","Je viens de voir la #PP de #Pablo ! En Mode Terroriste Gucci !",Not labeled,Not labeled,Not applicable
"274317493407981568","We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks",Media,Other Useful Information,Related and informative
