Timestamp, Tweet-ID, Included(Y/N)
"Fri Aug 24 10:44:51 +0000 2012","238949989634674688",Y
"Fri Aug 24 14:28:52 +0000 2012","239006365270548480",Y
"Fri Aug 24 16:13:43 +0000 2012","239032751645401088",Y
"Fri Aug 24 19:38:22 +0000 2012","239084253479059457",Y
"Sat Aug 25 18:39:45 +0000 2012","239431890011041792",Y
"Sat Aug 25 18:40:03 +0000 2012","239431965495934976",Y
"Sat Aug 25 18:40:22 +0000 2012","239432045183520770",Y
"Sat Aug 25 18:41:03 +0000 2012","239432217166749697",Y
"Sat Aug 25 18:43:41 +0000 2012","239432879841619969",Y
"Sat Aug 25 18:44:33 +0000 2012","239433097949634560",Y
"Sat Aug 25 18:44:33 +0000 2012","239433097970610176",Y
"Sat Aug 25 18:45:01 +0000 2012","239433215406927872",Y
"Sat Aug 25 18:45:01 +0000 2012","239433215385952256",Y
"Sat Aug 25 18:45:01 +0000 2012","239433215398522881",Y
"Sat Aug 25 18:45:08 +0000 2012","239433244754456577",Y
"Sat Aug 25 18:45:28 +0000 2012","239433328657317889",Y
"Sat Aug 25 18:45:51 +0000 2012","239433425130500096",Y
"Sat Aug 25 18:46:36 +0000 2012","239433613836435456",Y
"Sat Aug 25 18:48:02 +0000 2012","239433974575927296",Y
"Sat Aug 25 18:48:32 +0000 2012","239434100388282368",Y
"Sat Aug 25 18:49:25 +0000 2012","239434322690592768",Y
"Sat Aug 25 18:49:49 +0000 2012","239434423345483777",Y
"Sat Aug 25 18:50:03 +0000 2012","239434482069942272",Y
"Sat Aug 25 18:50:19 +0000 2012","239434549187186688",Y
"Sat Aug 25 18:50:39 +0000 2012","239434633090064384",Y
"Sat Aug 25 18:51:24 +0000 2012","239434821821161473",Y
"Sat Aug 25 18:51:24 +0000 2012","239434821795991553",Y
"Sat Aug 25 18:53:17 +0000 2012","239435295781711872",Y
"Sat Aug 25 18:53:24 +0000 2012","239435325137625088",Y
"Sat Aug 25 18:53:41 +0000 2012","239435396440805376",Y
"Sat Aug 25 18:55:18 +0000 2012","239435803279884288",Y
"Sat Aug 25 18:55:21 +0000 2012","239435815854436352",Y
"Sat Aug 25 18:56:03 +0000 2012","239435992040349697",Y
"Sat Aug 25 18:56:51 +0000 2012","239436193350172673",Y
"Sat Aug 25 18:57:12 +0000 2012","239436281451524097",Y
"Sat Aug 25 18:57:33 +0000 2012","239436369494159360",Y
"Sat Aug 25 18:58:15 +0000 2012","239436545663311872",Y
"Sat Aug 25 18:58:24 +0000 2012","239436583441424384",Y
