Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"238949989634674688","Entre mal estado de Plantas Josefa Camejo y Planta Centro sin Planta Tucacas #Falcon muy mal #sinluz http://t.co/Kt0AFg2O",Not labeled,Not labeled,Not related
"239006365270548480","vía @vicky_joseph: Privan de libertad a hombre en #Falcón por la muerte de su cónyuge. Le causó varias heridas con un arma blanca.",Not labeled,Not labeled,Not related
"239032751645401088","RT @correoorinoco: Ministerio público realiza seminario sobre municipalización de la justicia en #Falcon http://t.co/M3fnXDAv #Zulia #Ve ...",Not labeled,Not labeled,Not related
"239432045183520770","RT @JIMotaO: Señor pedimos tu paz para esta tierra,#Paraguana paz para mi ciudad, paz para la gente, paz para #Venezuela.",Not labeled,Not labeled,Not related
"239432879841619969","Elias Jaua: Fuga de gas generó explosión en refinería de Amuay, dejando 26 muertos y más 86 heridos.",Government,Affected individuals,Related and informative
"239433097949634560","Hoy Falcon amaneció con tristezas y luto, por la fuerte explosión en Amuay, refinería de la península de Paraguaná :(",Outsiders,Sympathy and support,Related - but not informative
"239433215385952256","VIDEO: Blast hits Venezuelan oil refinery",Outsiders,Not applicable,Related and informative
"239435396440805376","RT @PuntoFijoGuia: Estamos para servirte #Puntofijo #Falcon #Paraguana si deseas hacer llegar información sobre centros de acopio o volu ...",Outsiders,Not applicable,Related - but not informative
"239435815854436352","Este tweet va dedicado a esos 24 Venezolanos que perdieron la vida #Amuay",Outsiders,Sympathy and support,Related - but not informative
"239436281451524097","RT @manuelsantanam: Fuerza Punto Fijo! Desde el estado #Monagas nuestra solidaridad con nuestros hermanos de #Falcon",Outsiders,Sympathy and support,Related - but not informative
"239436369494159360","El accidente de Amuay es lamentable, mis condolencias y apoyo a ese pueblo que una vez integre como personal de esa refineria",Outsiders,Sympathy and support,Related - but not informative
"239436545663311872","RT @RunRunesWeb: #Top Fotos impactantes de la tragedia en la Refinería de Amuay. - http://t.co/tx7AM0d0",Media,Other Useful Information,Related and informative
"239437636203335680","---»RT @Maricle: Para quienes conocemos la refinería de Amuay y las barriadas en sus alrededores, la ... http://t.co/BMdV3HX6",Outsiders,Infrastructure and utilities,Related - but not informative
