Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"347686624563429378","RT @CBCAlerts: Canmore, Alta. declares state of emergency due to flooding  - with some residents being moved to community centre #Alberta",Media,Affected individuals,Related and informative
"347766337344503808","RT @GlobalCalgary: If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood",Media,Caution and advice,Related and informative
"347779159327637504","RT @metrocalgary: UPDATE: Latest from the @cityofcalgary and surrounding area on #abflood: http://t.co/lkA9L9zSvT #yyc",Government,Caution and advice,Related and informative
"347783236191129600","RT @GlobalCalgary: GALLERY: Incredible photos of flooding around southern Alberta, inc. Canmore, Bragg Creek, Chain Lakes: http://t.co/E79r…",Media,Not applicable,Related and informative
"347793432514801665","RT @nenshi: Major risk of flooding in Calgary. Follow directions here: http://t.co/7dLx8aZptf and stay tuned. Please RT widely. #YYC",Government,Caution and advice,Related and informative
"347793818403344384","RT @weathernetwork: RT: Residents of #HighRiver AB asked to evacuate immediately. Severe and rapid flooding occurring. #abstorm #abflood",Media,Affected individuals,Related and informative
"347802211222433792","RT @BrockWHarrison: . @ElectDanielle and other volunteers now stranded inside High River General Hospital until water recedes. #abflood #ab…",NGOs,Affected individuals,Related and informative
"347804916514951168","Lots of #abflood updates on our liveblog http://t.co/tJK7Cx7yiR",Media,Other Useful Information,Related and informative
"347808955663257600","RT @aldjohnmar: Our first Emergency Shelter will be the Southland Leisure Centre. #yyc #yyccc #yycflood",NGOs,Infrastructure and utilities,Related and informative
"347812738900320256","'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal",Media,Caution and advice,Related and informative
"347815712670236672","RT @News1130radio: Due to widespread flooding parts of Calgary are being evacuated.  Ppl are asked to find shelter and to be prepared for t…",Media,Caution and advice,Related and informative
"347819248455913473","RT @TarzanDan: If you are in #Canmore &amp; need help, an emergency line has been set up. Please call 403-678-1551 #abstorm #abflood",NGOs,Caution and advice,Related and informative
"347828509512724480","Calgary is now in a local state of emergency. Lots of evacuations and road closures. Stay safe!!  #yycflood #yyc",Eyewitness,Infrastructure and utilities,Related and informative
"347830497596030976","RT @SunNewsNetwork: UPDATED: Parts of Calgary evacuated after heavy rains flood southern Alberta http://t.co/2isLI0fVwR",Media,Affected individuals,Related and informative
"347831286116794368","RT @brennancreative: This sign in Okotoks reminds of Walking Dead/zombie apocalypse stuff. #abflood http://t.co/3QmOIb18Oz",Eyewitness,Affected individuals,Related and informative
"347831613293473793","“@Van_city_Nucks: All people evacuating the flooding in Alberta can just use Taylor Halls forehead as a life raft and get to safety”@RimSan_",Outsiders,Other Useful Information,Related and informative
"347834360541614080","RT @GlobalCalgary: The town of #Sundre has declared a state of local emergency due to flooding along the Red Deer River. #abflood",Media,Caution and advice,Related and informative
"347834796774400000","RT @mikesbloggity: Water now flowing over the pathway to Prince's Island Park. #abflood http://t.co/7hT6o9QDyO",Eyewitness,Infrastructure and utilities,Related and informative
"347835581105057792","RT @cityofcalgary: Due to flooding a closure of the two eastbound lanes on Memorial Dr between 5A St and Centre St NW is planned. #yycflood",Government,Infrastructure and utilities,Related and informative
"347839322420019200","RT @ChrisScottWx: RT @echo_bryanpass Motorists contend with cascading water over Highway 3 by Crowsnest Lake #abflood http://t.co/4oOJkshOC4",Media,Not applicable,Related and informative
"347851469103431680","Evac order only for affected areas or entire neighborhood (eg mission at 19 ave)?  @calgarypolice #yycflood map http://t.co/n6WhiwPzXD",Government,Caution and advice,Related and informative
"347852572230553601","Rainfall warning ended for Calgary but flooding potential still exists: http://t.co/4KwPzRMZHP #yyc @ctvnews",Media,Caution and advice,Related and informative
"347855868936732672","RT @Edmontonsun: #StateofEmergency in southern Alberta. Hwy's closed evecuations ongoing Rain continues #Flood  http://t.co/Y0n6Qnp3LG http…",Government,Infrastructure and utilities,Related and informative
"347860566561390593","RT @CgyCA: UPDATE: Erlton, Victoria Park, Cliff Bungalow and Inglewood added to #yyc evacuation order because of flooding. #abflood",Media,Caution and advice,Related and informative
"347866593793024000","RT @CBCCalgary: City of Calgary expecting 75,000 to 100,000 people in #yyc will be forced from their homes because of flooding. #abflood",Media,Affected individuals,Related and informative
