Timestamp, Tweet-ID, Included(Y/N)
"Thu Oct 31 08:57:38 +0000 2013","395836953477672960",Y
"Thu Oct 31 10:32:43 +0000 2013","395860881978179585",Y
"Thu Oct 31 11:40:17 +0000 2013","395877885707571200",Y
"Thu Oct 31 13:51:34 +0000 2013","395910924227596288",Y
"Thu Oct 31 13:59:35 +0000 2013","395912941679419392",Y
"Thu Oct 31 15:50:49 +0000 2013","395940934451355648",Y
"Thu Oct 31 17:26:51 +0000 2013","395965102060744704",Y
"Thu Oct 31 18:25:46 +0000 2013","395979928912809985",Y
"Thu Oct 31 18:37:54 +0000 2013","395982982366117889",Y
"Thu Oct 31 20:09:36 +0000 2013","396006059443101696",Y
"Thu Oct 31 23:49:28 +0000 2013","396061390693470209",Y
"Fri Nov 01 02:56:10 +0000 2013","396108375261712385",Y
"Fri Nov 01 04:42:19 +0000 2013","396135088791887873",Y
"Fri Nov 01 10:51:02 +0000 2013","396227879375089664",Y
"Fri Nov 01 10:54:21 +0000 2013","396228714058371074",Y
"Fri Nov 01 10:54:27 +0000 2013","396228739240960000",Y
"Fri Nov 01 19:26:41 +0000 2013","396357646963314689",Y
"Fri Nov 01 21:55:06 +0000 2013","396394997223665664",Y
"Fri Nov 01 23:17:40 +0000 2013","396415775805693952",Y
"Fri Nov 01 23:41:56 +0000 2013","396421882724888576",Y
"Sat Nov 02 00:58:35 +0000 2013","396441172325191680",N
"Sat Nov 02 03:16:08 +0000 2013","396475787907321856",N
"Sat Nov 02 04:50:32 +0000 2013","396499544461938688",N
"Sat Nov 02 06:34:38 +0000 2013","396525742072164352",N
"Sat Nov 02 09:34:05 +0000 2013","396570902152101888",N
"Sat Nov 02 19:29:06 +0000 2013","396720643015593984",N
"Sat Nov 02 23:59:30 +0000 2013","396788691407892480",N
"Sun Nov 03 01:21:18 +0000 2013","396809277018341376",N
"Sun Nov 03 01:33:33 +0000 2013","396812359848955905",N
"Sun Nov 03 01:55:30 +0000 2013","396817883734769664",N
"Sun Nov 03 03:31:29 +0000 2013","396842038747860992",N
"Sun Nov 03 04:03:36 +0000 2013","396850121150713856",N
"Sun Nov 03 04:13:30 +0000 2013","396852612588265472",N
"Sun Nov 03 05:09:24 +0000 2013","396866680292274177",N
"Sun Nov 03 05:31:54 +0000 2013","396872342602674176",N
"Sat Oct 12 07:04:29 +0000 2013","388923108922781697",Y
"Sat Oct 12 07:28:06 +0000 2013","388929052247347200",Y
"Sat Oct 12 08:35:10 +0000 2013","388945930130841600",Y
"Sat Oct 12 09:12:38 +0000 2013","388955358901067776",Y
"Sat Oct 12 10:13:07 +0000 2013","388970580026089472",Y
"Sat Oct 12 10:19:34 +0000 2013","388972203242704896",Y
"Sat Oct 12 11:14:53 +0000 2013","388986124107927553",Y
"Sat Oct 12 12:26:17 +0000 2013","389004092536000512",Y
"Sat Oct 12 13:47:46 +0000 2013","389024598492446720",Y
"Sat Oct 12 15:32:21 +0000 2013","389050917754241024",Y
"Sat Oct 12 16:11:03 +0000 2013","389060656928157696",Y
"Sat Oct 12 16:15:20 +0000 2013","389061734847500288",Y
"Sat Oct 12 17:02:23 +0000 2013","389073575375683584",Y
"Sat Oct 12 17:40:06 +0000 2013","389083067085635584",Y
"Sat Oct 12 17:49:11 +0000 2013","389085352956530688",Y
"Sat Oct 12 22:48:33 +0000 2013","389160691040387072",Y
"Sat Oct 12 22:49:41 +0000 2013","389160976282427392",Y
"Sat Oct 12 22:50:34 +0000 2013","389161198567968769",Y
"Sat Oct 12 22:50:42 +0000 2013","389161232118194176",Y
