Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"388923108922781697","It's ridiculous,,,RT @ThatGuyTiisetso: #redoctober making people so emotional its crazy",Not labeled,Not labeled,Not related
"388929052247347200","A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj",Media,Caution and advice,Related and informative
"388945930130841600","NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj",Government,Caution and advice,Related and informative
"388955358901067776","Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d Southern Ranges Region #NSWRFS Permits Suspended",Government,Caution and advice,Related and informative
"388970580026089472","This #RedOctober shit is just the beginning of what's gonna happen after Mandela passes",Not labeled,Not labeled,Not related
"388972203242704896","You can't be supporting #RedOctober mr white man if your maid / cook / helper is black she gon poison yo food just chill",Not labeled,Not labeled,Not related
"388986124107927553","RT @smh: Do not light fires in the open: RFS warns as #Sydney braces for strong winds and hot weather on Sunday. http://t.co/4Y6lLeUeXa",Media,Caution and advice,Related and informative
"389004092536000512","#3 READ IT !!! Proves #REDOCTOBER was not for racist reasons!! Drop the shit people lets make our country for every1 http://t.co/4Ddxrf0ijn",Not labeled,Not labeled,Not related
"389060656928157696","#RedOctober is disgusting. Racist fools; a movement driven by haggard Afrikaans singers trying to sell CDs. Gullible folks supporting it.",Not labeled,Not labeled,Not related
"389061734847500288","@mynameisjerm it's no coincident that #RedOctober commemorates menstrual cycle, give them time to mourn the bloodshed",Not labeled,Not labeled,Not related
"389085352956530688","White privilege means never having your intelligence or integrity questioned. Not having to work hard enough for your position. #RedOctober",Not labeled,Not labeled,Not related
"389160691040387072","What we did: Beat Greinke and Kershaw  What we need to do: Win two more  #Cardinals #RedOctober",Not labeled,Not labeled,Not related
"389160976282427392","THAT'S A WINNER! @Cardinals #GoCards #RedOctober #NLCS @TrevRosenthal is the man!",Not labeled,Not labeled,Not related
"389161399899140096","Life is good with the Samford bulldogs pulling off a big win and the Cardinals leading 2-0 in the NLCS!!! #RedOctober ❤️⚾️#BowWow 🏈💙",Not labeled,Not labeled,Not related
