Timestamp, Tweet-ID, Included(Y/N)
"Mon Oct 14 07:30:44 +0000 2013","389654490653396992",Y
"Mon Oct 14 14:16:32 +0000 2013","389756613571383296",Y
"Mon Oct 14 23:33:59 +0000 2013","389896900444319744",Y
"Tue Oct 15 00:18:45 +0000 2013","389908166353231872",Y
"Tue Oct 15 00:22:56 +0000 2013","389909219123531776",Y
"Tue Oct 15 00:24:29 +0000 2013","389909609190006784",Y
"Tue Oct 15 00:26:35 +0000 2013","389910137676107776",Y
"Tue Oct 15 00:27:42 +0000 2013","389910418698678275",Y
"Tue Oct 15 00:27:42 +0000 2013","389910418698690560",Y
"Tue Oct 15 00:28:08 +0000 2013","389910527767756801",Y
"Tue Oct 15 00:28:37 +0000 2013","389910649410564097",Y
"Tue Oct 15 00:28:42 +0000 2013","389910670361100288",Y
"Tue Oct 15 00:30:42 +0000 2013","389911173690167296",Y
"Tue Oct 15 00:30:42 +0000 2013","389911173665001472",Y
"Tue Oct 15 00:31:26 +0000 2013","389911358214393856",Y
"Tue Oct 15 00:33:10 +0000 2013","389911794442964992",Y
"Tue Oct 15 00:33:40 +0000 2013","389911920259895296",Y
"Tue Oct 15 00:33:44 +0000 2013","389911937040932864",Y
"Tue Oct 15 00:33:47 +0000 2013","389911949644808193",Y
"Tue Oct 15 00:34:04 +0000 2013","389912020943781888",Y
"Tue Oct 15 00:34:19 +0000 2013","389912083833159681",Y
"Tue Oct 15 00:36:07 +0000 2013","389912536834793475",Y
"Tue Oct 15 00:36:34 +0000 2013","389912650068402177",Y
"Tue Oct 15 00:36:54 +0000 2013","389912733946114048",Y
"Tue Oct 15 00:37:03 +0000 2013","389912771716186113",Y
"Tue Oct 15 00:38:00 +0000 2013","389913010795331584",Y
"Tue Oct 15 00:40:05 +0000 2013","389913535074926593",Y
"Tue Oct 15 00:40:18 +0000 2013","389913589596704768",Y
"Tue Oct 15 00:40:31 +0000 2013","389913644131045376",Y
"Tue Oct 15 00:40:42 +0000 2013","389913690276761600",Y
"Tue Oct 15 00:41:49 +0000 2013","389913971287154688",Y
"Tue Oct 15 00:41:50 +0000 2013","389913975489855489",Y
"Tue Oct 15 00:41:51 +0000 2013","389913979687944193",Y
"Tue Oct 15 00:42:53 +0000 2013","389914239730610176",Y
"Tue Oct 15 00:43:51 +0000 2013","389914482975059968",Y
"Tue Oct 15 00:45:21 +0000 2013","389914860487593984",Y
"Tue Oct 15 00:47:29 +0000 2013","389915397341728768",Y
"Tue Oct 15 00:47:45 +0000 2013","389915464446795776",Y
"Tue Oct 15 00:51:11 +0000 2013","389916328477622272",Y
"Tue Oct 15 00:51:38 +0000 2013","389916441744396288",Y
"Tue Oct 15 00:54:13 +0000 2013","389917091823763456",Y
"Tue Oct 15 00:54:19 +0000 2013","389917117006348288",Y
"Tue Oct 15 00:54:40 +0000 2013","389917205078753280",Y
"Tue Oct 15 00:56:27 +0000 2013","389917653860900864",Y
"Tue Oct 15 00:56:36 +0000 2013","389917691634388992",Y
"Tue Oct 15 00:56:50 +0000 2013","389917750363029504",Y
"Tue Oct 15 00:57:24 +0000 2013","389917892961005568",Y
"Tue Oct 15 00:58:27 +0000 2013","389918157202128896",Y
"Tue Oct 15 00:59:02 +0000 2013","389918303994384384",Y
"Tue Oct 15 01:01:14 +0000 2013","389918857642536960",Y
"Tue Oct 15 01:01:40 +0000 2013","389918966681858048",Y
"Tue Oct 15 01:02:35 +0000 2013","389919197381148672",Y
"Tue Oct 15 01:04:55 +0000 2013","389919784579522561",Y
"Tue Oct 15 01:05:42 +0000 2013","389919981720195073",Y
"Tue Oct 15 01:06:15 +0000 2013","389920120119635969",Y
"Tue Oct 15 01:06:41 +0000 2013","389920229184139264",Y
"Tue Oct 15 01:06:43 +0000 2013","389920237560156160",Y
"Tue Oct 15 01:07:57 +0000 2013","389920547934449664",Y
"Tue Oct 15 01:09:12 +0000 2013","389920862507241472",Y
"Tue Oct 15 01:10:11 +0000 2013","389921109979570176",Y
"Tue Oct 15 01:10:53 +0000 2013","389921286144950272",Y
"Tue Oct 15 01:11:00 +0000 2013","389921315487879168",Y
"Tue Oct 15 01:13:31 +0000 2013","389921948844957696",Y
"Tue Oct 15 01:14:14 +0000 2013","389922129199644672",Y
"Tue Oct 15 01:14:38 +0000 2013","389922229871321088",Y
"Tue Oct 15 01:14:47 +0000 2013","389922267594887168",Y
"Tue Oct 15 01:16:05 +0000 2013","389922594788364288",Y
"Tue Oct 15 01:16:08 +0000 2013","389922607333515264",Y
"Tue Oct 15 01:16:41 +0000 2013","389922745745936384",Y
"Tue Oct 15 01:16:52 +0000 2013","389922791882903554",Y
"Tue Oct 15 01:18:31 +0000 2013","389923207127392256",Y
"Tue Oct 15 01:18:42 +0000 2013","389923253285707776",Y
"Tue Oct 15 01:21:59 +0000 2013","389924079555207168",Y
"Tue Oct 15 01:22:02 +0000 2013","389924092117528577",Y
"Tue Oct 15 01:22:02 +0000 2013","389924092130107392",Y
"Tue Oct 15 01:22:31 +0000 2013","389924213751963649",Y
"Tue Oct 15 01:22:46 +0000 2013","389924276666523650",Y
"Tue Oct 15 01:23:44 +0000 2013","389924519944916993",Y
"Tue Oct 15 01:24:11 +0000 2013","389924633220112384",Y
"Tue Oct 15 01:24:59 +0000 2013","389924834547089409",Y
"Tue Oct 15 01:25:23 +0000 2013","389924935189020672",Y
"Tue Oct 15 01:25:37 +0000 2013","389924993917657088",Y
"Tue Oct 15 01:25:54 +0000 2013","389925065195659264",Y
"Tue Oct 15 01:27:40 +0000 2013","389925509796089857",Y
"Tue Oct 15 01:30:51 +0000 2013","389926310924914688",Y
"Tue Oct 15 01:30:59 +0000 2013","389926344487759873",Y
