Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"389654490653396992","RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe",Not labeled,Not labeled,Not related
"389896900444319744","Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu",Not labeled,Not labeled,Not related
"389908166353231872","Earthquake in Iloilo, Philippines! My head's aching.",Eyewitness,Sympathy and support,Related - but not informative
"389909609190006784","RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0",Outsiders,Other Useful Information,Related and informative
"389910137676107776","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative
"389910670361100288","RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Media,Other Useful Information,Related and informative
"389911173665001472","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative
"389911358214393856","RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Media,Other Useful Information,Related and informative
"389911794442964992","RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X",Media,Other Useful Information,Related and informative
"389911937040932864","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative
"389911949644808193","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative
"389912536834793475","RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Media,Other Useful Information,Related and informative
"389912650068402177","Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami.",Media,Caution and advice,Related and informative
"389913535074926593","Bendícenos Señor por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake",Not applicable,Sympathy and support,Related - but not informative
"389913589596704768","RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami",Outsiders,Other Useful Information,Related and informative
"389913644131045376","RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet",Media,Caution and advice,Related and informative
"389913971287154688","RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws",Media,Other Useful Information,Related and informative
"389913979687944193","It's a good thing the kids are at home today. #earthquake #bacolod #philippines",Outsiders,Not applicable,Related - but not informative
"389914239730610176","Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A",Media,Caution and advice,Related and informative
"389915464446795776","RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Media,Caution and advice,Related and informative
"389917091823763456","USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... http://t.co/UxYqnxv1b7 #earthquake",Media,Caution and advice,Related and informative
"389917205078753280","RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/S2Dzdyaxm6",Media,Caution and advice,Related and informative
"389917750363029504","#Temblor♨ M 5.4, 6km NNE of Nueva Fuerza, Philippines http://t.co/4hpmJmNcc2 #Earthquake #Sismo",Outsiders,Other Useful Information,Related and informative
"389918157202128896","RT @YouScoop: PHOTO: Magnitude 7.2 quake 5KM E of Balilihan, Bohol, Philippines. Please stay safe. http://t.co/sKK8NZx49J",Media,Sympathy and support,Related and informative
"389918857642536960","RT @Tweetbrk: NEW: Significant preliminary 7.2 magnitude earthquake just off Nueva Vida Sur, Philippines - @MicahGrimes",Media,Other Useful Information,Related and informative
"389919981720195073","RT @hamburqa: there was a 7.2 magnitude earthquake in philippines after u posted that G.U.Y. snippet. THIS WORLD CAN'T HANDLE #ARTPOP. @lad…",Eyewitness,Other Useful Information,Related and informative
"389920120119635969","National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters",Government,Affected individuals,Related and informative
"389920547934449664","A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.",Outsiders,Other Useful Information,Related and informative
"389922229871321088","RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Media,Affected individuals,Related and informative
"389922267594887168","RT @joshdanieldlr: Just a strong earthquake recently happened... let's pray 4 those who were badly affected... God bless us. #cebu",Outsiders,Sympathy and support,Related - but not informative
"389922594788364288","7.4 quake strikes Philippines http://t.co/CYFzDjMH8X",Outsiders,Other Useful Information,Related and informative
"389922607333515264","RT @BreakingNews: 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Media,Affected individuals,Related and informative
"389923207127392256","RT @YahooNews: Magnitude 7.4 quake hits Philippines, no tsunami threat: http://t.co/UikcL2p11t",Media,Caution and advice,Related and informative
"389923253285707776","RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philipp…",Outsiders,Sympathy and support,Related and informative
"389924079555207168","RT @cnni: A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9",Media,Caution and advice,Related and informative
"389924092130107392","#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX",Media,Caution and advice,Related and informative
"389924213751963649","Lord God, keep the people safe in the Philippines  #earthquake",Outsiders,Sympathy and support,Related - but not informative
"389924276666523650","RT @abcnews: #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS",Media,Caution and advice,Related and informative
"389924633220112384","7.2 quake hits southern Philippines http://t.co/XB9WUM3B7V",Outsiders,Other Useful Information,Related and informative
"389924834547089409","Major earthquake hits the Philippines http://t.co/uS0nhcvUl6",Outsiders,Other Useful Information,Related and informative
"389926310924914688","#Jackrobinson73 7.2-earthquake hits Philippines http://t.co/g1fzaRGjnp #Jackrobinson73",Outsiders,Caution and advice,Related and informative
"389926344487759873","Major quake hits Philippines http://t.co/fHHxr8iWrg",Outsiders,Other Useful Information,Related and informative
"389926386418216960","Breaking: A 7.2 earthquake just hit Bohol in central Philippines.",Media,Other Useful Information,Related and informative
"389926617109524480","RT @BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say",Media,Affected individuals,Related and informative
"389926671618297856","RT @EarthAlerts: #earthquake: M 7.2 - Pacific Ocean - West Philippines [Central Visayas] Buenavista: Preliminary Earthquake Rep... http://t…",Media,Other Useful Information,Related and informative
"389927502119849984","RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏",Outsiders,Sympathy and support,Related - but not informative
"389927728591294464","@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say 😢",Media,Affected individuals,Related and informative
"389927887991627776","RT @mindanaoan: Is this in #Bohol Robert? OMG so heartbreaking!!! #earthquake RT @tokyodrastic: 400 year old tower collapsed... http://t.co…",Eyewitness,Infrastructure and utilities,Related and informative
"389927984435449856","RT @SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏",Outsiders,Sympathy and support,Related - but not informative
"389928051540127744","Major earthquake hits the Philippines http://t.co/uI8F8FeCsa",Media,Other Useful Information,Related and informative
"389928236118855680","7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/kt6daIcIei",Outsiders,Affected individuals,Related and informative
"389928303219335169","7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ... http://t.co/HekKxVreiN",Media,Affected individuals,Related and informative
"389929347617812480","'Four killed' by Philippines quake http://t.co/MWs7ccLiPP",Outsiders,Affected individuals,Related and informative
"389929456665522177","RT @jerminix: Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRB…",Outsiders,Sympathy and support,Related - but not informative
"389929771234111488","7.2 quake his Philippines: MANILA, Oct. 14 (UPI) --  A magnitude-7.2 earthquake hit the Philippines Tuesday mo... http://t.co/1jAZw4Tpm1",Media,Other Useful Information,Related and informative
"389929787990355968","@SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏",Outsiders,Sympathy and support,Related - but not informative
"389930106766245888","RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities, according to USGS. Reuters &amp; local media report 4 killed http://t.c…",Media,Other Useful Information,Related and informative
"389930605908987904","RT @WW5SOSFamily: there was an earthquake in the philippines(visayas) earlier while i was fangirling at keek, pls pray for them guys it was…",Outsiders,Sympathy and support,Related and informative
"389930626867933184","RT @RicoHizon: 7.2 magnitude quake strikes #Bohol, #Philippines at 8:12 am according to the USGS. Praying for the safety of our our kababay…",Eyewitness,Other Useful Information,Related and informative
"389930853364547585","RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",Outsiders,Sympathy and support,Related - but not informative
"389930907886686208","RT @itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safe",Outsiders,Sympathy and support,Related - but not informative
"389931167941541888","#SuryaRay #Indian 7.2 quake hits central Philippines, killing 4 - USA TODAY http://t.co/uSbXYdbBHO @SuryaRay #India",Media,Affected individuals,Related and informative
"389931205690277889","RT @EXOffical_: Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",Outsiders,Sympathy and support,Related - but not informative
"389931276972875777","Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram... http://t.co/JpZIdjEIaw",Eyewitness,Affected individuals,Related - but not informative
"389931490894548993","GOD . wag nio po clang papabayaan #PrayForBohol",Outsiders,Sympathy and support,Related - but not informative
"389931578971131904","4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency - @Reuters",Media,Affected individuals,Related and informative
"389931587363565570","7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/YVFyXT1ltJ",Government,Caution and advice,Related and informative
"389931662874005504","7.2 quake hits central Philippines, killing 4 - http://t.co/sx1fmLwhGb",Media,Affected individuals,Related and informative
"389931708994564096","RT @Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/oPHoBr6CFq",Media,Affected individuals,Related and informative
"389931721556115457","7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/ctlNeG4G40",Media,Caution and advice,Related and informative
"389931935486590976","7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,... http://t.co/5a2SG6gu3S",Media,Other Useful Information,Related and informative
"389932359098724352","RT @EXOffical_: NOW: Church and roads impacted by large 7.2 magnitude #earthquake in #Bohol #Philippines Tuesday. 4 dead. http://t.co/CUzVD…",Outsiders,Infrastructure and utilities,Related and informative
"389932552066052096","RT @disguised101: @danicelorenzo: i pray for the safety of the people there in visayas #earthquake #Philippines http://t.co/aNW5FJW3pS St…",Outsiders,Sympathy and support,Related - but not informative
"389932656885899265","RT @nglive2: AFP Major 7.2 magnitude quake strikes Philippines: USGS http://t.co/6LyIvywxkQ",Media,Other Useful Information,Related and informative
"389932694638841857","RT @BBCBreaking: 7.2 magnitude earthquake hits central Philippines, killing four, but no tsunami expected say officials http://t.co/5iok6dD…",Media,Affected individuals,Related and informative
"389932761772879872","RT @bbcnews_ticker: Earthquake measuring 7.2 magnitude hits central Philippines, killing four people - officials http://t.co/4wmjUmSW4u",Media,Affected individuals,Related and informative
"389932828890107904","7.2 magnitude keep safe everyone #PrayForBohol and to the nearest island who also affected of earthquake #PrayForPhilippines",Outsiders,Sympathy and support,Related and informative
"389933231531102208","RT @duvall_jd: 7.2 quake hits central Philippines, killing 4 - USA TODAY: Vancouver Sun7.2 quake hits central Ph... http://t.co/EGYxj0FEaC …",Media,Affected individuals,Related and informative
"389933239902543874","@Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/tCt1uHnbS0",Media,Affected individuals,Related and informative
"389933332177649664","Latest on the deadly #earthquake that hit the #Philippines just over an hour ago.... http://t.co/0zBCFdXD8J http://t.co/rhrO0kw3SI...",Outsiders,Other Useful Information,Related and informative
"389933365731659776","Let's be united and pray for the #EarthquakeVictims in Bohol and other nearby provinces. #PrayforVisayas #earthquake",Outsiders,Sympathy and support,Related - but not informative
"389933592228290560","RT @kenzhuxiaotian: “@itsbarbiexu: prayers to people of philippines affected by magnitude 7 earthquake. hope all is safe” -Be safe guys!",Outsiders,Sympathy and support,Related - but not informative
"389933822936367104","Felt sorry for the victims of the magnitude 7.2 #earthquake in Bohol,Philippines :((",Outsiders,Sympathy and support,Related - but not informative
"389933898433835008","For a Boholano OFW like me, walang ibang magawa sa ngayon kundi ang magdasal at umiyak. #prayforBohol",Outsiders,Sympathy and support,Related - but not informative
"389933999084171264","RT @yongchavezLA: RT @NBCNews: 7.2 quake strikes near one of Philippines' largest cities. Reuters &amp; local media report 4 killed http://t.co…",Media,Affected individuals,Related and informative
