Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"295360333374173185","#SaNTaMaRIa ToMaNDo Con Mi eSPoSiTo Que aMo y Me HaCe Tan FeLiZ @travisscolt",Not labeled,Not labeled,Not related
"295415706579767296","RT @NandyAro24: Um parceiro foi na kiss pra ver, diz que houveram mortos, feridos e ainda tem uma gurizada presa dentro da boate, por fa ...",Eyewitness,Affected individuals,Related - but not informative
"295447407125209088","RT @siteZoom: Incêndio na Boate Kiss - Hospitais de Santa Maria requisitam ajuda de voluntários: médicos, enfermeiros e técnicos... http ...",Media,Donations and volunteering,Related and informative
"295460048749096960","RT @zerohora: Incêndio na boate Kiss, em Santa Maria, deixa dezenas de feridos. Segundo a Brigada Militar, há mortos no local.",Media,Affected individuals,Related and informative
"295474292601270272","RT @RdGaucha: Polícia Civil confirma pelo menos 90 mortos em incêndio na Boate Kiss.",Media,Affected individuals,Related and informative
"295483536855670784","RT @BBCBreaking: Fire in nightclub in southern #Brazil city of Santa Maria leaves at least 70 dead, local media report http://t.co/zMddoBYh",Media,Affected individuals,Related and informative
"295485986312421376","At least 90 people die in a nightclub fire in southern Brazil, local media says: Remarque importante à... http://t.co/GfyDcFYi @romandie",Media,Affected individuals,Related and informative
"295486871306379265","bandnews deuagora todos destaquesmdo dia e nada da tragédia na boate kiss. Que lixo",Media,Other Useful Information,Related - but not informative
"295487575974617088","Dozens killed in Brazil nightclub fire http://t.co/hdBBr1uI",Media,Affected individuals,Related and informative
"295489928979173376","RT @storyfulpro: BRAZIL: At least 90 killed in fire in nightclub Kiss, Santa Maria. Fire started at 2.00am local. Diario de Santa Maria  ...",Media,Affected individuals,Related and informative
"295490147078774785","Brazil Nightclub Fire: 'Ninety' Killed http://t.co/HvcJJ2w6",Media,Affected individuals,Related and informative
"295494710481539072","At least 90 killed in Brazil nightclub fire: A fire swept through a nightclub in southern Brazil, killing at lea... http://t.co/frASrrpR",Media,Affected individuals,Related and informative
"295495582875807744","Caminhão chega à boate Kiss para buscar mais corpos. Será a terceira viagem.",Outsiders,Other Useful Information,Related and informative
"295495670977155074","Local media: Brazil nightclub fire kills at least 90: SAO PAULO (Reuters) - At least 90 people were killed in a ... http://t.co/28kJmmzF",Media,Affected individuals,Related and informative
"295497231237251073","Another lesson to nightclub owners; place safety first not revenue.  Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50",Media,Affected individuals,Related and informative
"295497277403963392","Official: 90 killed in Brazil nightclub fire http://t.co/gzy1UnkU #LetsDiscussIt",Media,Affected individuals,Related and informative
"295498963493208064","RT @beethovendantas: Deus conforte os familiares das vitimas do incêndio da boate Kiss em Santa Monica. #LutoBrasil #Luto",Outsiders,Sympathy and support,Related - but not informative
"295501731754831872","At least 90 people killed in Brazil nightclub fire http://t.co/652uKBdC",Media,Affected individuals,Related and informative
"295502214103986176","Brazil nightclub fire kills more than 200: police - Reuters: AFPBrazil nightclub fire kills mor... http://t.co/PJ4Dr3v4 #headlines #news",Media,Affected individuals,Related and informative
"295505041035497473","RT @marcoslauro: No FB da boate Kiss, subiram uma foto que, supostamente, é do momento em que os efeitos pirotécnicos começaram: https:/ ...",Outsiders,Other Useful Information,Related - but not informative
"295505053622616064","@_jefergriebeler boate kiss de SM pego fogo",Outsiders,Other Useful Information,Related - but not informative
"295505150108381185","#LUTO pelos falecidos na tragédia na #boateKiss que DEUS console os familiares, amigos e conhecidos!",Outsiders,Sympathy and support,Related - but not informative
"295505384972623873","RT @zerohora: Já passa de 180 o número de mortos em incêndio em Santa Maria #tragediaemsm http://t.co/JGnFJz0J",Media,Affected individuals,Related and informative
"295505628263227392","#nepalnews Brazil nightclub fire likely killed more than 200: police: BRASILIA: A nightclub fire in southern Bra... http://t.co/xEBnK3Vg",Media,Affected individuals,Related and informative
"295507243070271488","Dying in a fire on a night out clubbing, is not a way to exit this world. RIP #SantaMaria 180.",Outsiders,Other Useful Information,Related - but not informative
"295507821880016897","RT @CNN: At least 90 killed in Brazil  nightclub fire http://t.co/d2HLsFDT",Media,Affected individuals,Related and informative
"295508098704109569","A tragédia em Santa Maria entristece o domingo dos brasileiros. Ao menos 180 mortos na boate Kiss http://t.co/a8pT5VI7",Media,Affected individuals,Related and informative
"295508362920095744","At least 90 killed in Brazil nightclub fire - http://t.co/4sHAZdcs http://t.co/805mt3x4",Media,Affected individuals,Related and informative
"295509344395603969","Como tinha show na boate se alvará?? #tragediaemsm",Outsiders,Other Useful Information,Related - but not informative
"295509889684484096","At least 90 killed in Brazil nightclub fire: A fire swept through a popular nightclub in the southern Brazilian ... http://t.co/NBRFu4wn",Media,Affected individuals,Related and informative
"295510896296460289","RT @SnottieDrippen: Club was fiyahhhh RT @AP: BREAKING: Police say at least 90 people dead in nightclub fire in southern Brazil",Outsiders,Affected individuals,Related and informative
"295511420567711744","RT @CNN: At least 90 killed in Brazil  nightclub fire http://t.co/d2HLsFDT",Media,Affected individuals,Related and informative
"295511873581891585","traumatizante esse vídeo da boate kiss",Outsiders,Other Useful Information,Related - but not informative
"295513412870496257","RT @PorqueTTs: Santa Maria: Houve um incêndio na Boate Kiss de Santa Maria/RS e o número de mortos já ultrapassa de 250 pessoas. #PorqueTTs",Media,Affected individuals,Related and informative
"295513509331091456","RT @marcoslauro: No FB da boate Kiss, subiram uma foto que, supostamente, é do momento em que os efeitos pirotécnicos começaram: https:/ ...",Outsiders,Other Useful Information,Related - but not informative
"295513878463393792","JUST IN: Officials now confirm with @ShastaCNN that at least 220 people have been killed in the nightclub #fire in Santa Maria, #Brazil #CNN",Media,Affected individuals,Related and informative
"295514062979215361","Jeebus RT @SkyNewsAust: 90 dead in Brazil nightclub fire http://t.co/b2B6hRxV",Media,Affected individuals,Related and informative
"295515245777154048","Estão estimando 240 mortos #tragediaemsm",Media,Affected individuals,Related and informative
"295515522601218048","RT @unplaysson: @maiinardi_ santa maria, na boate kiss",Not labeled,Not labeled,Not related
"295515719758651393","RT @AP: BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead",Media,Affected individuals,Related and informative
"295516063683182592","Gente vcs viram o incêndio da boate kiss mais de 240 mortos meus deus que tragedia e diz que os seguranças nao abriram as portas",Eyewitness,Affected individuals,Related and informative
"295517544255717377","RT @gabichanas: De tudo que ouvi, o relato que mais me partiu o coração: os celulares dos mortos não param de tocar. #SantaMaria",Outsiders,Other Useful Information,Related - but not informative
"295518139851091970","RT @cnnbrk: Death toll climbs to 220 in Brazil nightclub fire, official says. http://t.co/MKONrvLf",Media,Affected individuals,Related and informative
"295519012278906880","RT @lucassumaly: quero ver quem vai postar agora. Partiu, boate kiss.",Not labeled,Not labeled,Not related
"295519641416105984","RT @zerohora: Número de mortos na boate Kiss, em Santa Maria, pode chegar a 205 #tragediaemsm http://t.co/mDqeY27H",Media,Affected individuals,Related and informative
"295519674983120896","@alashock: JUST IN: Fire Sweeps Through Brazil Nightclub, Officials Say At Least 180 Dead And 200 Injured http://t.co/qgpWNyaY damn!",Media,Affected individuals,Related and informative
"295520367051689984","Meu deus! RT @zerohora: Número de mortos na boate Kiss, em Santa Maria, pode chegar a 205 #tragediaemsm http://t.co/MGOTgcwp",Media,Affected individuals,Related and informative
"295520836809551872","【News】 Timeline: Fire in nightclub kills about 200 in Brazil - Reuters http://t.co/UuRwOvrN",Media,Affected individuals,Related and informative
"295521314947612674","RT @BBCBreaking: Death toll in #Brazil nightclub fire rises to 180, police in southern city of Santa Maria say http://t.co/96A7ztoK",Media,Affected individuals,Related and informative
"295521365266677760","RT @fernandozanuzo: Um dono da Boate Kiss se apresentou à polícia. Paradeiro dos integrantes das bandas ainda desconhecido. @rdgaucha",Media,Other Useful Information,Related and informative
"295521788912365568","RT @nypost: At least 180 people dead in Brazil nightclub fire http://t.co/4Q2CNcGe",Media,Affected individuals,Related and informative
"295521797275795456","Energias positivas para as famílias de #SantaMaria que perderam algum parente.",Outsiders,Sympathy and support,Related - but not informative
"295522283848626177","BBC News - Scores killed in nightclub fire in Santa Maria, Brazil http://t.co/6i9S8SBr",Media,Affected individuals,Related and informative
"295522577433120773","RT @AP: BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead",Media,Affected individuals,Related and informative
"295522694890389505","RT @binhoandtherush: só consigo imaginar os pais das pessoas que morreram,é muito triste :s  #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
"295523294663286785","Gente que tragédia em santa maria número de mortos chega a 245 #tragediaemSM",Outsiders,Affected individuals,Related and informative
"295524162888409088","RT @ebcnarede: Segundo o Corpo de Bombeiros, a maioria das mortes na Boate Kiss foi causada por asfixia devido à inalação de fumaça http ...",Government,Other Useful Information,Related and informative
"295524313866592257","“@BreakingNews: Update: Death toll from fire at nightclub in Santa Maria, southern Brazil, reaches 245, police say - @BBCNews” omg",Media,Affected individuals,Related and informative
"295524397782024193","Impossível não pensar em todas as boates sem estrutura, espalhadas por todo o Brasil... #tragediaemsm",Outsiders,Sympathy and support,Related - but not informative
"295524947223257088","RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...",Outsiders,Affected individuals,Related and informative
"295524951396605953","RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...",Outsiders,Affected individuals,Related and informative
"295524993335451648","RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...",Outsiders,Affected individuals,Related and informative
"295525110780149760","que triste véi =/  #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
"295525245006274560","Reading an article about a fire in a Brazil nightclub that killed 200. My daughter notices pic of smoke through club lights Pretty colors!",Outsiders,Affected individuals,Related and informative
"295525521821945857","http://t.co/zesSHA7O NYC........  #SantaMaria",Media,Not applicable,Related - but not informative
"295525672829460480","RT @gabichanas: De tudo que ouvi, o relato que mais me partiu o coração: os celulares dos mortos não param de tocar. #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
"295525882557259776","Death toll in Brazil nightclub fire rises to 180 - USA TODAY: The GuardianDeath toll in Brazil nightclub fire ri... http://t.co/RETizXju",Media,Affected individuals,Related and informative
