Timestamp, Tweet-ID, Included(Y/N)
"Sun Sep 29 06:15:26 +0000 2013","384199722828693504",N
"Sun Sep 29 09:56:11 +0000 2013","384255276351635456",N
"Sun Sep 29 13:05:03 +0000 2013","384302806233907202",N
"Sun Sep 29 13:06:08 +0000 2013","384303078855294977",N
"Sun Sep 29 15:04:28 +0000 2013","384332858413690881",N
"Sun Sep 29 20:58:50 +0000 2013","384422037717913600",N
"Sun Sep 29 23:38:59 +0000 2013","384462340780879874",N
"Mon Sep 30 00:10:15 +0000 2013","384470209295175680",N
"Mon Sep 30 04:46:54 +0000 2013","384539830517907456",N
"Mon Sep 30 12:16:22 +0000 2013","384652942512373761",N
"Mon Sep 30 14:12:23 +0000 2013","384682139062915072",N
"Mon Sep 30 14:45:23 +0000 2013","384690443801202688",N
"Mon Sep 30 15:07:53 +0000 2013","384696106115809280",N
"Mon Sep 30 15:08:27 +0000 2013","384696248709562369",N
"Mon Sep 30 15:35:49 +0000 2013","384703135778095105",N
"Mon Sep 30 16:19:14 +0000 2013","384714061914439680",N
"Mon Sep 30 16:46:03 +0000 2013","384720810575138817",N
"Mon Sep 30 18:28:59 +0000 2013","384746714566889472",N
"Mon Sep 30 21:39:01 +0000 2013","384794538017316864",N
"Mon Sep 30 23:03:27 +0000 2013","384815786382356480",N
"Mon Sep 30 23:38:53 +0000 2013","384824703489044480",N
"Mon Sep 30 23:41:54 +0000 2013","384825462628691968",N
"Tue Oct 01 00:40:37 +0000 2013","384840239178465280",N
"Tue Oct 01 02:40:31 +0000 2013","384870413014016001",N
"Tue Oct 01 05:32:05 +0000 2013","384913589158420480",N
"Sun Sep 08 23:05:13 +0000 2013","376843697943769088",Y
"Tue Sep 10 13:42:40 +0000 2013","377426903327453184",Y
"Tue Sep 10 13:57:35 +0000 2013","377430657212743680",Y
"Wed Sep 11 17:06:54 +0000 2013","377840688198463488",Y
"Thu Sep 12 04:24:20 +0000 2013","378011169883037697",Y
"Thu Sep 12 05:00:08 +0000 2013","378020179214491649",Y
"Thu Sep 12 05:23:40 +0000 2013","378026101588496385",Y
"Thu Sep 12 05:38:18 +0000 2013","378029784204206080",Y
"Thu Sep 12 05:47:24 +0000 2013","378032074289979392",Y
"Thu Sep 12 05:49:57 +0000 2013","378032715993325568",Y
"Thu Sep 12 06:11:30 +0000 2013","378038139249389569",Y
"Thu Sep 12 06:12:46 +0000 2013","378038458024865792",Y
"Thu Sep 12 06:28:58 +0000 2013","378042534863192064",Y
"Thu Sep 12 06:32:27 +0000 2013","378043411468537856",Y
"Thu Sep 12 06:34:35 +0000 2013","378043948352024576",Y
"Thu Sep 12 06:36:40 +0000 2013","378044472661000192",Y
"Thu Sep 12 06:41:16 +0000 2013","378045630251147265",Y
"Thu Sep 12 06:42:44 +0000 2013","378045999349899265",Y
"Thu Sep 12 06:43:49 +0000 2013","378046271996440576",Y
"Thu Sep 12 06:49:32 +0000 2013","378047710659502080",Y
"Thu Sep 12 06:51:16 +0000 2013","378048146850328576",Y
"Thu Sep 12 06:51:38 +0000 2013","378048239145979904",Y
"Thu Sep 12 06:55:08 +0000 2013","378049119924674561",Y
"Thu Sep 12 06:59:40 +0000 2013","378050260792119297",Y
"Thu Sep 12 07:00:35 +0000 2013","378050491474657280",Y
"Thu Sep 12 07:05:53 +0000 2013","378051825254952960",Y
"Thu Sep 12 07:07:11 +0000 2013","378052152414830592",Y
"Thu Sep 12 07:09:17 +0000 2013","378052680876187651",Y
