Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"376843697943769088","#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs",Not labeled,Not labeled,Not related
"378011169883037697","RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative
"378020179214491649","Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”",Outsiders,Other Useful Information,Related and informative
"378026101588496385","RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH",Media,Other Useful Information,Related and informative
"378029784204206080","Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",Media,Other Useful Information,Related and informative
"378038458024865792","Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood",Outsiders,Sympathy and support,Related - but not informative
"378042534863192064","what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”",Outsiders,Other Useful Information,Related and informative
"378043411468537856","GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper,#PutinsFavoriteFlicks,#Remember911,#boulderflood, http://t.co/o5XvzjcpxD",Not labeled,Not labeled,Not related
"378043948352024576","RT @markloiseau: Boulder's floodplain map http://t.co/Y4wcyyo7k7 #boulderflood",Outsiders,Other Useful Information,Related and informative
"378044472661000192","Who's tryin to tube on boulder creek right now? #boulderflood",Outsiders,Other Useful Information,Related - but not informative
"378045630251147265","RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood",Media,Infrastructure and utilities,Related and informative
"378046271996440576","RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed",Media,Infrastructure and utilities,Related and informative
"378047710659502080","RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…",Outsiders,Caution and advice,Related - but not informative
"378048146850328576","Pray for Boulder, Colorado #boulderflood",Outsiders,Sympathy and support,Related - but not informative
"378049119924674561","RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…",Eyewitness,Other Useful Information,Related - but not informative
"378050260792119297","Evacuation order for the town of #Jamestown, #CO. Torrential #flooding rain in the Front Range Urban Corridor, N of I-70 #COwx #Boulderflood",Outsiders,Caution and advice,Related and informative
"378050491474657280","RT @ShanaCordon: Evacuation bags are ready by the front door. Now hoping for some rest. Be safe &amp; well #Boulder friends. #boulderflood #cowx",Eyewitness,Sympathy and support,Related and informative
"378051825254952960","I GET 5078 REALL FOLLOWERS! http://t.co/qrF5dpD3ak  ✈#BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#in http://t.co/Qi1ROyZilU",Not labeled,Not labeled,Not related
"378053515563659264","GO=&gt;http://t.co/b1BmzMHtsK #BestRapper,#boulderflood,#PutinsFavoriteFlicks,#Remember911,#ini http://t.co/yrSTbef6x8",Not labeled,Not labeled,Not related
"378053637177475072","Anyone wanna go skinny dipping? #boulderflood",Not labeled,Not labeled,Not related
"378054652215824384","#Breaking: Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bN3gBLKHQg",Media,Caution and advice,Related and informative
"378054979380334592","The weather is crazy over here..we have rivers now, &amp; some students are evacuating the dorms while others went mud sliding xD #boulderflood",Eyewitness,Affected individuals,Related and informative
"378055482704814082","Damnit @twitter take care of the spammers using #BoulderFlood",Outsiders,Other Useful Information,Related - but not informative
"378056556413079552","RT @NWSBoulder Significant flooding at the Justice Center in #boulderflood #COwx",Media,Infrastructure and utilities,Related and informative
"378056971686932480","RT @TimesCall: #Westminster and #Thornton swift-water dive teams en route to #Boulder in case they are needed. #boulderflood #cowx",Outsiders,Donations and volunteering,Related and informative
"378057261081714688","#russelladler #news Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz",Media,Caution and advice,Related and informative
"378058611638796288","RT @TxStormChasers: RT @odog: Sleeping above ground tonight. Stay safe #boulderflood #boulder http://t.co/MgacEwLoKC #cowx",Eyewitness,Sympathy and support,Related and informative
"378059840569880576","HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk",Outsiders,Caution and advice,Related - but not informative
"378061807681695744","#Boulder #Colorado has like 340 days of sunshine a year. Now the #BoulderFlood ? That just proves if we are gonna do it, we do it big!",Outsiders,Other Useful Information,Related and informative
"378066689885077504","Links for information on #Boulderflood from @BoulderOEM @CUBoulder @NWSBoulder @bouldercolorado #cowx  http://t.co/6QwHS0KLQ5",Media,Other Useful Information,Related and informative
"378067142844747776","#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood",Outsiders,Other Useful Information,Related and informative
"378069365855621120","RT @TxStormChasers: Scanner: Highway 66 going into Lyons is underwater from the west at the Diamond Shamrock. #cowx  #boulderflood",Media,Infrastructure and utilities,Related and informative
"378069734916251648","rain again picking up in dwtn bldr #boulderflood",Eyewitness,Other Useful Information,Related and informative
"378071202931032064","For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ",Media,Caution and advice,Related and informative
"378071806902407168","GO=&gt;http://t.co/Says6bwdOX ★RT★FOLLOWME★IFOLLOWYOU✔#boulderflood,#BestRapper,#Remember911,#PutinsFavoriteFlicks,#init http://t.co/AGYCYdTaIX",Not labeled,Not labeled,Not related
"378072872280788992","RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood",Media,Infrastructure and utilities,Related and informative
"378075674088448001","Flash floods wash away homes, kill at least one near Boulder, Colorado - U.S. News http://t.co/P5mHLfbnLR via @NBCnews",Media,Affected individuals,Related and informative
"378078203228585985","RT @USATODAY: #BREAKING: Severe floods strike Colorado http://t.co/JkvGm4hDu8",Media,Other Useful Information,Related and informative
"378078320690081792","NEW  F O L L O W E R S=&gt;http://t.co/0CJzDlNh5b   ✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye,S http://t.co/81QZvCKE5c",Not labeled,Not labeled,Not related
"378079067255238656","At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy",Outsiders,Affected individuals,Related and informative
"378079650250907648","RT @denverpost: UPDATE: Massive flooding has destroyed multiple homes in Boulder County: http://t.co/b2SOQOEIWb #COwx #BoulderFlood",Media,Infrastructure and utilities,Related and informative
"378081462223777793","S/O to @CUBoulder, @dailycamera, and @bouldercounty for being on their game tonight. Thanks for the updates and alerts! #BoulderFlood",Outsiders,Caution and advice,Related - but not informative
"378082263302299649","Did you know? Via @bouldercolorado: #Boulder is the #1 flash flood risk community in Colorado. #Boulderflood http://t.co/BIuwhpDQfL #COwx",Media,Other Useful Information,Related and informative
"378082875687464960","RT @__yungsavvy: GO=&gt;http://t.co/lAcESTnam4 ★RT★FOLLOW ME★IFOLLOWYOU✔#boulderflood,#BestRapper,#initialsofsomeonespecial,#cowx,#RedEye http…",Not labeled,Not labeled,Not related
"378084154937585664","RT @Kacyyy: @9NEWS our new front yard pond #boulderflood http://t.co/Lg7vETN7Pd",Eyewitness,Other Useful Information,Related - but not informative
"378086243705184256","RT @Muffissness: RT @LouiseMase Can't believe a few hours ago it was just a bit of heavy rain.. Escalated ridiculously quickly #boulderflood",Media,Affected individuals,Related - but not informative
"378086805771268096","One Dead as Flash Flooding Hits Parts of Colorado http://t.co/K4XbG0R6gJ",Media,Affected individuals,Related and informative
"378088110170451969","Flooding in Colorado kills 1:        http://t.co/5iROFQunkN",Media,Affected individuals,Related and informative
"378088743527124992","GO=&gt;http://t.co/Q8TxiJlUWc ♥AND♥RT♥IF♥WANT♥NEW♥FOLLOWERS✔#boulderflood,#BestRapper,#cowx,#initialsofsomeonespecial, http://t.co/tMD9MnLG4B",Not labeled,Not labeled,Not related
