Timestamp, Tweet-ID, Included(Y/N)
"Fri Nov 29 18:49:59 +0000 2013","406495271334719488",Y
"Fri Nov 29 22:42:13 +0000 2013","406553714783428608",Y
"Fri Nov 29 22:42:59 +0000 2013","406553907700449280",Y
"Fri Nov 29 22:44:42 +0000 2013","406554339730530304",Y
"Fri Nov 29 22:48:12 +0000 2013","406555220513394688",Y
"Fri Nov 29 22:48:23 +0000 2013","406555266663317504",Y
"Fri Nov 29 22:48:53 +0000 2013","406555392492462080",Y
"Fri Nov 29 22:49:35 +0000 2013","406555568636440577",Y
"Fri Nov 29 22:49:39 +0000 2013","406555585450999810",Y
"Fri Nov 29 22:50:30 +0000 2013","406555799344136193",Y
"Fri Nov 29 22:51:28 +0000 2013","406556042626342912",Y
"Fri Nov 29 22:51:47 +0000 2013","406556122284584960",Y
"Fri Nov 29 22:52:09 +0000 2013","406556214592827392",Y
"Fri Nov 29 22:52:30 +0000 2013","406556302643822592",Y
"Fri Nov 29 22:53:24 +0000 2013","406556529157234688",Y
"Fri Nov 29 22:54:34 +0000 2013","406556822754312192",Y
"Fri Nov 29 22:54:39 +0000 2013","406556843713265664",Y
"Fri Nov 29 22:54:41 +0000 2013","406556852101853184",Y
"Fri Nov 29 22:56:26 +0000 2013","406557292516368384",Y
"Fri Nov 29 22:56:37 +0000 2013","406557338670469121",Y
"Fri Nov 29 22:56:53 +0000 2013","406557405758390272",Y
"Fri Nov 29 22:56:55 +0000 2013","406557414130212864",Y
"Fri Nov 29 22:57:03 +0000 2013","406557447709790208",Y
"Fri Nov 29 22:57:13 +0000 2013","406557489652441088",Y
"Fri Nov 29 22:57:20 +0000 2013","406557519004188672",Y
"Fri Nov 29 22:57:25 +0000 2013","406557539992875008",Y
"Fri Nov 29 22:57:55 +0000 2013","406557665788436480",Y
"Fri Nov 29 22:58:10 +0000 2013","406557728715591680",Y
"Fri Nov 29 22:58:13 +0000 2013","406557741314879488",Y
"Fri Nov 29 22:58:38 +0000 2013","406557846168682496",Y
"Fri Nov 29 22:58:53 +0000 2013","406557909083234304",Y
"Fri Nov 29 22:58:55 +0000 2013","406557917446672386",Y
"Fri Nov 29 22:59:02 +0000 2013","406557946819379200",Y
"Fri Nov 29 22:59:04 +0000 2013","406557955212193792",Y
"Fri Nov 29 22:59:04 +0000 2013","406557955228585984",Y
"Fri Nov 29 22:59:13 +0000 2013","406557992952143872",Y
"Fri Nov 29 22:59:31 +0000 2013","406558068479393792",Y
"Fri Nov 29 22:59:49 +0000 2013","406558143947497472",Y
"Fri Nov 29 22:59:52 +0000 2013","406558156521611264",Y
"Fri Nov 29 23:00:03 +0000 2013","406558202684506112",Y
"Fri Nov 29 23:00:08 +0000 2013","406558223635062784",Y
"Fri Nov 29 23:00:27 +0000 2013","406558303339413504",Y
"Fri Nov 29 23:00:30 +0000 2013","406558315922358272",Y
"Fri Nov 29 23:00:31 +0000 2013","406558320137609216",Y
"Fri Nov 29 23:01:27 +0000 2013","406558555010260992",Y
"Fri Nov 29 23:01:27 +0000 2013","406558555018645504",Y
"Fri Nov 29 23:01:28 +0000 2013","406558559187779584",Y
"Fri Nov 29 23:01:30 +0000 2013","406558567580577792",Y
"Fri Nov 29 23:01:45 +0000 2013","406558630490943488",Y
"Fri Nov 29 23:01:47 +0000 2013","406558638896316416",Y
"Fri Nov 29 23:02:18 +0000 2013","406558768902995968",Y
"Fri Nov 29 23:02:23 +0000 2013","406558789887070208",Y
"Fri Nov 29 23:02:24 +0000 2013","406558794064613376",Y
"Fri Nov 29 23:02:36 +0000 2013","406558844404633600",Y
"Fri Nov 29 23:02:37 +0000 2013","406558848619917312",Y
"Fri Nov 29 23:02:46 +0000 2013","406558886360281088",Y
"Fri Nov 29 23:03:35 +0000 2013","406559091851808768",Y
"Fri Nov 29 23:03:45 +0000 2013","406559133807431680",Y
"Fri Nov 29 23:04:02 +0000 2013","406559205110595584",Y
"Fri Nov 29 23:04:15 +0000 2013","406559259632357376",Y
"Fri Nov 29 23:04:18 +0000 2013","406559272223666176",Y
"Fri Nov 29 23:04:23 +0000 2013","406559293195177984",Y
"Fri Nov 29 23:04:32 +0000 2013","406559330964889600",Y
"Fri Nov 29 23:04:41 +0000 2013","406559368684249088",Y
"Fri Nov 29 23:04:46 +0000 2013","406559389647405056",Y
"Fri Nov 29 23:04:49 +0000 2013","406559402238287874",Y
"Fri Nov 29 23:04:51 +0000 2013","406559410652082177",Y
"Fri Nov 29 23:05:10 +0000 2013","406559490323259392",Y
"Fri Nov 29 23:05:12 +0000 2013","406559498703495168",Y
"Fri Nov 29 23:05:20 +0000 2013","406559532257910784",Y
"Fri Nov 29 23:05:26 +0000 2013","406559557457305600",Y
"Fri Nov 29 23:05:27 +0000 2013","406559561643229184",Y
"Fri Nov 29 23:05:50 +0000 2013","406559658087047168",Y
