Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"406495271334719488","My car air freshener is better than yours #helicopter #bigkid http://t.co/QWTLwABs8r",Not labeled,Not labeled,Not related
"406553907700449280","RT @jimmurphymp: Terrible here in Glasgow Helicopter crashed into roof of pub",Outsiders,Other Useful Information,Related and informative
"406555220513394688","RT @BabaWho: Helicopter 'crashes into pub in Glasgow' http://t.co/XBScbvZD3x THE CLUTHA BAR",Media,Other Useful Information,Related and informative
"406555392492462080","RT @ScottishSun: BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.",Media,Other Useful Information,Related and informative
"406555799344136193","RT @SkyNewsBreak: Labour MP Jim Murphy says a helicopter has crashed into the roof of a pub in Glasgow",Media,Infrastructure and utilities,Related and informative
"406556302643822592","Anybody heard anything about a helicopter crashing into a pub in Glasgow ???",Outsiders,Sympathy and support,Related - but not informative
"406557292516368384","RT @scott7stevenson: Terrible news of a helicopter crashing into the Clutha in Glasgow. Hope everyone is ok http://t.co/alSV2fg6qS",Outsiders,Sympathy and support,Related - but not informative
"406557414130212864","Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side",Outsiders,Infrastructure and utilities,Related - but not informative
"406557539992875008","RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow",Media,Affected individuals,Related and informative
"406557665788436480","RT @ZoraSuleman: A helicopter has crashed into a pub in Glasgow https://t.co/LwKvrrj44n",Outsiders,Other Useful Information,Related and informative
"406557728715591680","Helicopter crash in Glasgow not sounding good :(",Outsiders,Sympathy and support,Related - but not informative
"406557741314879488","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Other Useful Information,Related and informative
"406557946819379200","RT @sportingintel: A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.",Outsiders,Infrastructure and utilities,Related and informative
"406557955228585984","@AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker, witnesses",Media,Other Useful Information,Related and informative
"406557992952143872","Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Mu... http://t.co/g5Qs4lUsiL",Media,Other Useful Information,Related and informative
"406558068479393792","RT @colinkelly: BBC News 'reports of several casualties' at Clutha pub in Glasgow after apparent helicopter crash into the building.",Media,Affected individuals,Related and informative
"406558303339413504","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Infrastructure and utilities,Related and informative
"406558320137609216","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/NNxDUxJimz",Media,Infrastructure and utilities,Related and informative
"406558555010260992","RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow",Media,Affected individuals,Related and informative
"406558555018645504","RT @AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker, witnesses",Media,Infrastructure and utilities,Related and informative
"406558559187779584","RT @glabreakingnews: Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://…",Media,Other Useful Information,Related and informative
"406558630490943488","Hopefully everyone OK after the #Clutha Vaults Helicopter crash. Looks at least like the roters aren't inside the pub.",Outsiders,Other Useful Information,Related - but not informative
"406558848619917312","RT @bouncybluegirl: BBC News - Helicopter crashes into Glasgow pub http://t.co/g0PPoitZvH",Media,Other Useful Information,Related and informative
"406559091851808768","Helicopter crashes into Glasgow pub  Shit! This ain't good  http://t.co/PtUUiVuiJI",Outsiders,Infrastructure and utilities,Related - but not informative
"406559133807431680","RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak",Media,Affected individuals,Related and informative
"406559205110595584","Reports suggest police helicopter involved in Glasgow crash",Outsiders,Other Useful Information,Related and informative
"406559272223666176","RT @BBCBreaking: Glasgow #helicopter crash: Many people injured at #Clutha Vaults in Stockwell Street http://t.co/p8zlvFNAFH",Media,Affected individuals,Related and informative
"406559368684249088","RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak",Media,Affected individuals,Related and informative
