Timestamp, Tweet-ID, Included(Y/N)
"Fri Nov 01 07:38:11 +0000 2013","396179347117072386",Y
"Fri Nov 01 09:22:04 +0000 2013","396205490209693696",Y
"Fri Nov 01 12:25:26 +0000 2013","396251635942293504",Y
"Fri Nov 01 13:10:59 +0000 2013","396263098950385664",Y
"Fri Nov 01 13:14:29 +0000 2013","396263979762196480",Y
"Fri Nov 01 15:50:54 +0000 2013","396303343305650176",Y
"Fri Nov 01 16:27:12 +0000 2013","396312478482571264",Y
"Fri Nov 01 16:27:29 +0000 2013","396312549790322688",Y
"Fri Nov 01 16:27:34 +0000 2013","396312570774052864",Y
"Fri Nov 01 16:29:36 +0000 2013","396313082466541568",Y
"Fri Nov 01 16:31:26 +0000 2013","396313543865552896",Y
"Fri Nov 01 16:33:22 +0000 2013","396314030383443968",Y
"Fri Nov 01 16:33:32 +0000 2013","396314072343650304",Y
"Fri Nov 01 16:36:50 +0000 2013","396314902794498048",Y
"Fri Nov 01 16:37:17 +0000 2013","396315016057475072",Y
"Fri Nov 01 16:37:39 +0000 2013","396315108311199744",Y
"Fri Nov 01 16:38:02 +0000 2013","396315204813729793",Y
"Fri Nov 01 16:39:08 +0000 2013","396315481621012480",Y
"Fri Nov 01 16:39:41 +0000 2013","396315620050223104",Y
"Fri Nov 01 16:39:44 +0000 2013","396315632612179968",Y
"Fri Nov 01 16:41:35 +0000 2013","396316098205089792",Y
"Fri Nov 01 16:43:04 +0000 2013","396316471476764672",Y
"Fri Nov 01 16:43:58 +0000 2013","396316697969168385",Y
"Fri Nov 01 16:44:07 +0000 2013","396316735726682112",Y
"Fri Nov 01 16:45:24 +0000 2013","396317058679701504",Y
"Fri Nov 01 16:45:45 +0000 2013","396317146751307776",Y
"Fri Nov 01 16:45:53 +0000 2013","396317180309938176",Y
"Fri Nov 01 16:46:29 +0000 2013","396317331330433024",Y
"Fri Nov 01 16:46:47 +0000 2013","396317406798553088",Y
"Fri Nov 01 16:46:55 +0000 2013","396317440361385986",Y
"Fri Nov 01 16:47:04 +0000 2013","396317478101340160",Y
"Fri Nov 01 16:47:18 +0000 2013","396317536821600256",Y
"Fri Nov 01 16:47:50 +0000 2013","396317671035129856",Y
"Fri Nov 01 16:47:54 +0000 2013","396317687833702400",Y
"Fri Nov 01 16:47:55 +0000 2013","396317692010844160",Y
"Fri Nov 01 16:48:03 +0000 2013","396317725556887552",Y
"Fri Nov 01 16:48:19 +0000 2013","396317792669925377",Y
"Fri Nov 01 16:48:34 +0000 2013","396317855613874176",Y
"Fri Nov 01 16:48:54 +0000 2013","396317939483172864",Y
"Fri Nov 01 16:48:57 +0000 2013","396317952049311744",Y
"Fri Nov 01 16:49:13 +0000 2013","396318019170750464",Y
"Fri Nov 01 16:49:14 +0000 2013","396318023373848576",Y
"Fri Nov 01 16:49:50 +0000 2013","396318174385561600",Y
"Fri Nov 01 16:50:00 +0000 2013","396318216299229184",Y
"Fri Nov 01 16:50:08 +0000 2013","396318249870434304",Y
"Fri Nov 01 16:50:14 +0000 2013","396318275023691776",Y
"Fri Nov 01 16:50:15 +0000 2013","396318279209594880",Y
"Fri Nov 01 16:50:23 +0000 2013","396318312759455744",Y
"Fri Nov 01 16:50:27 +0000 2013","396318329558007809",Y
"Fri Nov 01 16:50:39 +0000 2013","396318379906039808",Y
"Fri Nov 01 16:50:51 +0000 2013","396318430229315584",Y
"Fri Nov 01 16:51:04 +0000 2013","396318484759871488",Y
"Fri Nov 01 16:51:16 +0000 2013","396318535095681024",Y
"Fri Nov 01 16:51:21 +0000 2013","396318556058431488",Y
"Fri Nov 01 16:51:43 +0000 2013","396318648337330176",Y
"Fri Nov 01 16:51:46 +0000 2013","396318660887064577",Y
"Fri Nov 01 16:52:07 +0000 2013","396318748967444480",Y
"Fri Nov 01 16:52:26 +0000 2013","396318828675616768",Y
"Fri Nov 01 16:52:26 +0000 2013","396318828688605184",Y
"Fri Nov 01 16:52:34 +0000 2013","396318862247219200",Y
"Fri Nov 01 16:52:47 +0000 2013","396318916743811073",Y
"Fri Nov 01 16:53:13 +0000 2013","396319025795321858",Y
"Fri Nov 01 16:53:15 +0000 2013","396319034205274113",Y
"Fri Nov 01 16:53:22 +0000 2013","396319063577985024",Y
"Fri Nov 01 16:53:24 +0000 2013","396319071966208001",Y
"Fri Nov 01 16:53:28 +0000 2013","396319088726654976",Y
"Fri Nov 01 16:53:45 +0000 2013","396319160030216193",Y
"Fri Nov 01 16:53:48 +0000 2013","396319172604354560",Y
"Fri Nov 01 16:53:57 +0000 2013","396319210348892160",Y
"Fri Nov 01 16:54:02 +0000 2013","396319231316619264",Y
"Fri Nov 01 16:54:06 +0000 2013","396319248101822464",Y
"Fri Nov 01 16:54:19 +0000 2013","396319302619394049",Y
"Fri Nov 01 16:54:27 +0000 2013","396319336178401281",Y
"Fri Nov 01 16:54:38 +0000 2013","396319382345097216",Y
"Fri Nov 01 16:54:40 +0000 2013","396319390729138176",Y
"Fri Nov 01 16:54:49 +0000 2013","396319428477874176",Y
"Fri Nov 01 16:54:52 +0000 2013","396319441031811072",Y
"Fri Nov 01 16:54:53 +0000 2013","396319445259284481",Y
"Fri Nov 01 16:55:21 +0000 2013","396319562674630656",Y
"Fri Nov 01 16:55:27 +0000 2013","396319587832037376",Y
"Fri Nov 01 16:55:29 +0000 2013","396319596229042177",Y
"Fri Nov 01 16:55:52 +0000 2013","396319692694233088",Y
"Fri Nov 01 16:55:56 +0000 2013","396319709475246080",Y
"Fri Nov 01 16:56:10 +0000 2013","396319768204288000",Y
"Fri Nov 01 16:56:15 +0000 2013","396319789167046656",Y
"Fri Nov 01 16:56:22 +0000 2013","396319818543927296",Y
"Fri Nov 01 16:56:31 +0000 2013","396319856275906560",Y
"Fri Nov 01 16:56:37 +0000 2013","396319881466871808",Y
"Fri Nov 01 16:57:10 +0000 2013","396320019857944576",Y
"Fri Nov 01 16:57:13 +0000 2013","396320032461836289",Y
"Fri Nov 01 16:57:13 +0000 2013","396320032428290048",Y
"Fri Nov 01 16:57:21 +0000 2013","396320065982705665",Y
"Fri Nov 01 16:57:26 +0000 2013","396320086950019072",Y
"Fri Nov 01 16:57:29 +0000 2013","396320099537137664",Y
"Fri Nov 01 16:57:38 +0000 2013","396320137281671169",Y
