Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"396205490209693696","KING D ROYALTY http://t.co/eXjB4V0rbx … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 34",Not labeled,Not labeled,Not related
"396263979762196480","KING D ROYALTY http://t.co/2RJIrrnlOi … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81",Not labeled,Not labeled,Not applicable
"396313082466541568","Something's happening @ #LAX rt now!! Re-tweet.",Outsiders,Other Useful Information,Related - but not informative
"396313543865552896","#KourtneyKardashian is seen arriving at #LAX airport on October 31, 2013 in Los Angeles http://t.co/NVd0gvPZy1",Not labeled,Not labeled,Not related
"396314030383443968","What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",Outsiders,Affected individuals,Related - but not informative
"396314902794498048","RT @efink: Gunfire on the tarmac. RT @CBSLA #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/cRQ5HzFgJO",Media,Affected individuals,Related and informative
"396315108311199744","Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.",Outsiders,Sympathy and support,Related - but not informative
"396315481621012480","Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?",Outsiders,Sympathy and support,Related and informative
"396315620050223104","RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.",Media,Affected individuals,Related and informative
"396317146751307776","RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down…",Outsiders,Other Useful Information,Related and informative
"396317180309938176","RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX",Outsiders,Affected individuals,Related and informative
"396317331330433024","RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, then everyone starting running for the door. Outside now @ #LAX http…",Eyewitness,Affected individuals,Related and informative
"396317406798553088","Shots fired, airport evacuated at #LAX is what im seeing all over my timeline.",Outsiders,Other Useful Information,Related and informative
