Timestamp, Tweet-ID, Included(Y/N)
"Sat Jul 06 07:17:37 +0000 2013","353412403196735488",Y
"Sat Jul 06 07:37:10 +0000 2013","353417323123720193",Y
"Sat Jul 06 07:38:19 +0000 2013","353417612501319680",Y
"Sat Jul 06 07:44:01 +0000 2013","353419046982664192",Y
"Sat Jul 06 08:08:02 +0000 2013","353425090936963072",Y
"Sat Jul 06 08:32:10 +0000 2013","353431164318519296",Y
"Sat Jul 06 08:36:11 +0000 2013","353432175145795585",Y
"Sat Jul 06 09:55:00 +0000 2013","353452010009403395",Y
"Sat Jul 06 10:28:05 +0000 2013","353460335698657280",Y
"Sat Jul 06 11:06:16 +0000 2013","353469944832331776",Y
"Sat Jul 06 11:15:55 +0000 2013","353472373338537984",Y
"Sat Jul 06 11:21:49 +0000 2013","353473858134740992",Y
"Sat Jul 06 11:26:07 +0000 2013","353474940252594178",Y
"Sat Jul 06 12:05:43 +0000 2013","353484905944064001",Y
"Sat Jul 06 12:13:13 +0000 2013","353486793372467200",Y
"Sat Jul 06 12:15:52 +0000 2013","353487460250025984",Y
"Sat Jul 06 12:16:52 +0000 2013","353487711920861186",Y
"Sat Jul 06 12:18:02 +0000 2013","353488005501169665",Y
"Sat Jul 06 12:19:25 +0000 2013","353488353628405763",Y
"Sat Jul 06 12:22:40 +0000 2013","353489171521871874",Y
"Sat Jul 06 12:28:09 +0000 2013","353490551468867584",Y
"Sat Jul 06 12:33:12 +0000 2013","353491822334586880",Y
"Sat Jul 06 12:34:20 +0000 2013","353492107547246593",Y
"Sat Jul 06 12:35:48 +0000 2013","353492476662784000",Y
"Sat Jul 06 12:40:38 +0000 2013","353493692977381376",Y
"Sat Jul 06 12:46:08 +0000 2013","353495077122879488",Y
"Sat Jul 06 12:53:33 +0000 2013","353496943583961090",Y
"Sat Jul 06 12:55:34 +0000 2013","353497451098939393",Y
"Sat Jul 06 12:56:46 +0000 2013","353497753084637189",Y
"Sat Jul 06 12:57:57 +0000 2013","353498050892791809",Y
"Sat Jul 06 12:59:19 +0000 2013","353498394813140992",Y
"Sat Jul 06 12:59:37 +0000 2013","353498470306422785",Y
"Sat Jul 06 13:00:10 +0000 2013","353498608705867778",Y
"Sat Jul 06 13:05:28 +0000 2013","353499942523895809",Y
"Sat Jul 06 13:05:57 +0000 2013","353500064120979456",Y
"Sat Jul 06 13:06:45 +0000 2013","353500265472729090",Y
"Sat Jul 06 13:10:58 +0000 2013","353501326619062272",Y
"Sat Jul 06 13:17:41 +0000 2013","353503016910979072",Y
"Sat Jul 06 13:20:45 +0000 2013","353503788700672001",Y
"Sat Jul 06 13:20:53 +0000 2013","353503822217351168",Y
"Sat Jul 06 13:21:35 +0000 2013","353503998415867904",Y
"Sat Jul 06 13:22:41 +0000 2013","353504275210579968",Y
"Sat Jul 06 13:23:33 +0000 2013","353504493339557888",Y
"Sat Jul 06 13:24:34 +0000 2013","353504749166919680",Y
"Sat Jul 06 13:26:39 +0000 2013","353505273480097792",Y
"Sat Jul 06 13:27:06 +0000 2013","353505386730491904",Y
