Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"353417323123720193","RT @mdumais: Lac-Mégantic: les premières vidéos citoyens de la catastrophe  (suite) https://t.co/GXQk4gdIoG",Media,Other Useful Information,Related and informative
"353431164318519296","Scène d'apocalypse à Lac-Mégantic: une nouvelle vidéo citoyen https://t.co/vbZ9mSk6Od",Media,Other Useful Information,Related and informative
"353473858134740992","Un train de carburant explose à Lac-Mégantic http://t.co/fQxY8ec9jG via @lp_lapresse",Outsiders,Infrastructure and utilities,Related and informative
"353474940252594178","Un train transportant du pétrole à déraillé à lac Megantic en Estrie.  Explosions. #lacmegantic",Outsiders,Other Useful Information,Related and informative
"353486793372467200","Un train de carburant explose à lac Mégantic http://t.co/6f74QUjwkL",Outsiders,Other Useful Information,Related and informative
"353492107547246593","RT @mariowroy: Lac Mégantic — Ça vous donne une idée de l’intensité des explosions. [PHOTO] #Déraillement #Pétrole #Tragédie  http://t.co/j…",Not applicable,Other Useful Information,Related and informative
"353493692977381376","@tvanouvelles et @RadioCanadaInfo. Si vos caméras sont en direct de #LacMégantic, pourquoi nous passer toujours les mêmes images en boucle?",Not labeled,Not labeled,Not related
"353495077122879488","RT @Doglaran: Nuit d'horreur à Lac-Mégantic (sud du Québec) - Un train explose, le centre-ville est en flamme http://t.co/AWbdBLzYQu",Outsiders,Infrastructure and utilities,Related and informative
"353496943583961090","Une page pour venir en aide, prendre des nouvelles et en donner  #LacMégantic  https://t.co/VwmcBTGsDd …",Media,Donations and volunteering,Related - but not informative
"353497451098939393","RT @BreakingNews: Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http:…",Media,Other Useful Information,Related and informative
"353497753084637189","RT @kanggurusante: Ce matin, je voudrais que chacun de vous ayez une pensée pour les gens de Lac Mégantic pour les aider à passer à... http…",Outsiders,Sympathy and support,Related - but not informative
"353498050892791809","RT @BigMedicine: #LacMegantic - No word on casualties however there is real fear that w no one presenting at the ER this could be a MFI...",Outsiders,Other Useful Information,Related and informative
"353498394813140992","RT @cath_cullen: Remarkable photo of explosion in Lac-Megantic via @rc_estrie: http://t.co/eNRogjHWR7",Outsiders,Other Useful Information,Related and informative
"353498470306422785","RT @chezfarfelu: Support aux gens du Lac Mégantic #LacMégantic  https://t.co/VZjjWOMU5J",Outsiders,Sympathy and support,Related - but not informative
"353498608705867778","RT @NewsBreaker: EXPLOSION: Massive blast as train derails and explodes into a major fire in Quebec's Eastern Townships http://t.co/lw92jdA…",Media,Other Useful Information,Related and informative
"353499942523895809","Best of luck/Meilleure des chances aux gens de Lac-Mégantic ainsi que du Nord du Québec.",Outsiders,Sympathy and support,Related - but not informative
"353500265472729090","Update: Downtown Lac-Megantic, Quebec, in flames after derailment; mayor says city center destroyed - @CBCAlerts http://t.co/EtJZCGFNYo",Media,Infrastructure and utilities,Related and informative
"353501326619062272","RT @rc_estrie: RT @CroixRouge_Qc: Lac-Mégantic : Nous déployons du matériel d'urgence et des bénévoles en soutien aux autorités #LacMeganti…",NGOs,Donations and volunteering,Related and informative
"353503016910979072","RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…",Media,Infrastructure and utilities,Related and informative
"353503788700672001","Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/o69z3EEM9A",Media,Infrastructure and utilities,Related and informative
"353503998415867904","RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…",Media,Other Useful Information,Related and informative
"353504749166919680","RT @CBCAlerts: Downtown #Lac-Megantic, Que., in flames after derailment  . Mayor says city centre destroyed. http://t.co/W0YleOhR4i",Media,Infrastructure and utilities,Related and informative
"353505273480097792","RT @LesNews: La moitié de la ville #LacMegantic détruite par les flammes via @radiocanada http://t.co/sFpKSc6DXp",Media,Infrastructure and utilities,Related and informative
"353505453822582785","Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/gwJqYkaQWU Stay safe everyone",Outsiders,Other Useful Information,Related and informative
"353505764184301568","RT @FabiCastonguay: Pour tous ceux qui cherchent quelqu'un à #Lac-Mégantic https://t.co/YIr4SN8q3M",Outsiders,Affected individuals,Related and informative
"353506808595361793","RT @CanoeNouvelles: L'explosion d'un wagon de train transportant du pétrole a provoqué un incendie majeur à Lac-Mégantic, en Estrie. http:/…",Outsiders,Not labeled,Related and informative
"353507127354081281","RT @Foro_TV: En Canadá, desalojan a cientos de personas en la localidad Lac-Megantic luego que descarriló un tren cargado con petróleo.",Not labeled,Not labeled,Not applicable
"353507194450350081","#LacMégantic MRT @rc_estrie Groupe Facebook mis sur pied pour retrouver des proches est déjà à plus de 1200 membres http://t.co/1VUMmAREZg",Media,Donations and volunteering,Related and informative
"353507257373310979","RT @CroixRouge_Qc: Communiqué sur notre intervention à #LacMégantic. Nous avons un réseau de 1500 bénévoles prêts à intervenir http://t.co/…",NGOs,Donations and volunteering,Related and informative
"353508586967666691","RT @TataCand0u: Wow RT @LesNews: La moitié de la ville #LacMegantic détruite par les flammes via @radiocanada http://t.co/Nxe01hNMem",Outsiders,Infrastructure and utilities,Related and informative
"353509304210440193","L'Histoire (avec un grand H) s'écrit à #LacMegantic #fb",Outsiders,Other Useful Information,Related - but not informative
"353509480371204096","RT @NewsBreaker: NEW PHOTO:  Another unbelievable shot from the train derailment and explosion in Quebec #LacMegantic: http://t.co/ptk0DRC2…",Media,Not labeled,Related and informative
"353509945901195266","RT @bouchecl: @Boucrate Dans ce genre d'affaire, les cheminots sont probablement les premières victimes :( #lacmegantic",Outsiders,Not labeled,Related - but not informative
"353511955002171393","#TEAMFOLLOWBACK #JFB Photo: Eyewitness captures train derailment explosion in Quebec - via @LesNews http://t.co/K9l8Dh4f25 #FOLLOWBACK #TFB",Media,Other Useful Information,Related - but not informative
"353513003569790978","Page #Facebook de support aux gens de Lac-Mégantic #Québec #Estrie https://t.co/7SQVssLrui http://t.co/VD9SSsifNY",Media,Donations and volunteering,Related - but not informative
"353516828783427584","La moitié de la ville de Lac Mégantic brûle et le ministre Lisée par le d'indépendance Sans commentaire",Outsiders,Other Useful Information,Related - but not informative
"353517290144272384","RT @NewsBreaker: NEW PHOTO:  Another unbelievable shot from the train derailment and explosion in Quebec #LacMegantic: http://t.co/ptk0DRC2…",Media,Other Useful Information,Related and informative
"353517298545471490","RT @rc_estrie: Une photo saisissante de Claude Grenier #LacMegantic #RCES http://t.co/znUWEUsuLY",Outsiders,Other Useful Information,Related - but not informative
"353518019957370881","RT @europapress_es: La explosión de un tren cargado con petróleo destruye el centro de la ciudad de Lac-Mégantic #Canadá - http://t.co/qXej…",Media,Not applicable,Related and informative
