Timestamp, Tweet-ID, Included(Y/N)
"Sat Aug 17 09:03:06 +0000 2013","368659239272579073",Y
"Sat Aug 17 09:59:35 +0000 2013","368673453785636864",Y
"Sat Aug 17 10:10:17 +0000 2013","368676146541371392",Y
"Sat Aug 17 10:24:20 +0000 2013","368679682322874371",Y
"Sun Aug 18 02:55:11 +0000 2013","368929037877403652",Y
"Sun Aug 18 03:09:50 +0000 2013","368932724687372288",Y
"Sun Aug 18 03:18:03 +0000 2013","368934792475054080",Y
"Sun Aug 18 03:21:05 +0000 2013","368935555846782976",Y
"Sun Aug 18 05:28:57 +0000 2013","368967734542864384",Y
"Sun Aug 18 05:29:57 +0000 2013","368967986213687296",Y
"Sun Aug 18 05:35:09 +0000 2013","368969294823972864",Y
"Sun Aug 18 07:27:17 +0000 2013","368997514092871682",Y
"Sun Aug 18 08:44:09 +0000 2013","369016858227138560",Y
"Sun Aug 18 09:01:39 +0000 2013","369021262246330368",Y
"Sun Aug 18 09:33:26 +0000 2013","369029260779847680",Y
"Sun Aug 18 09:34:40 +0000 2013","369029571183538178",Y
"Sun Aug 18 09:34:55 +0000 2013","369029634072928256",Y
"Sun Aug 18 09:36:12 +0000 2013","369029957034721280",Y
"Sun Aug 18 09:36:25 +0000 2013","369030011585454080",Y
"Sun Aug 18 09:44:01 +0000 2013","369031924192247809",Y
"Sun Aug 18 09:49:43 +0000 2013","369033358635831296",Y
"Sun Aug 18 10:03:12 +0000 2013","369036751815204864",Y
"Sun Aug 18 10:06:24 +0000 2013","369037557117374464",Y
"Sun Aug 18 10:07:25 +0000 2013","369037812986675200",Y
"Sun Aug 18 10:07:42 +0000 2013","369037884281470976",Y
"Sun Aug 18 10:13:28 +0000 2013","369039335498076160",Y
"Sun Aug 18 10:16:01 +0000 2013","369039977218199552",Y
"Sun Aug 18 10:24:22 +0000 2013","369042078577090560",Y
"Sun Aug 18 10:29:55 +0000 2013","369043475276115969",Y
"Sun Aug 18 10:37:22 +0000 2013","369045350138404864",Y
"Sun Aug 18 10:59:25 +0000 2013","369050899202596864",Y
"Sun Aug 18 10:59:45 +0000 2013","369050983084466177",Y
"Sun Aug 18 11:07:24 +0000 2013","369052908278407168",Y
"Sun Aug 18 11:56:12 +0000 2013","369065189200510976",Y
"Sun Aug 18 12:06:20 +0000 2013","369067739320553474",Y
"Sun Aug 18 12:13:48 +0000 2013","369069618393931776",Y
"Sun Aug 18 12:22:15 +0000 2013","369071744893480960",Y
"Sun Aug 18 12:37:45 +0000 2013","369075645579403264",Y
"Sun Aug 18 12:49:47 +0000 2013","369078673892069378",Y
"Sun Aug 18 12:50:26 +0000 2013","369078837469908992",Y
