Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"368659239272579073","RT @dost_pagasa: WEATHER BULLETIN No. 2 Tropical Cyclone Alert: Tropical Depression “#MaringPH”   Issued at 11:00AM 17 August... http://t.c…",Government,Caution and advice,Related and informative
"368673453785636864","RT @24_Oras: Sa datos ng @dost_pagasa, huling namataan ang TD #MaringPH 325 km silangan ng Itbayat, Batanes.",Media,Caution and advice,Related and informative
"368676146541371392","Fuck ayoko ng baha. Paano ako sa Manila gdi purnada ang gala HAHAHA",Eyewitness,Not applicable,Related - but not informative
"368679682322874371","RT @ANCALERTS: Tropical Depression Maring is moving east southeast at 11kph #MaringPH",Media,Caution and advice,Related and informative
"368929037877403652","Intramuros baha. I miss Manila. http://t.co/UkqB40Eu5Y",Eyewitness,Infrastructure and utilities,Related and informative
"368934792475054080","RT @gmanews: PAGASA: #MaringPH moves east, monsoon to bring rain over PHL http://t.co/0ubcL9MqKe",Media,Caution and advice,Related and informative
"368967734542864384","RT @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas",Media,Caution and advice,Related and informative
"368967986213687296","RT @PCUNEWSTweets: @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in …",Media,Caution and advice,Related and informative
"369036751815204864","“@24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH” @PWU_Manila",Media,Other Useful Information,Related and informative
"369037812986675200","RT @24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH",Media,Caution and advice,Related and informative
"369039335498076160","Wag mo akong paasahin, ayokong masaktan. #Maring",Not labeled,Not labeled,Not related
"369042078577090560","RT @ABSCBNNews: PAGASA 6pm: YELLOW advisory for Metro Manila. Moderate-heavy rains to continue in next 3 hours, floods possible. | via @ANC…",Media,Caution and advice,Related and informative
"369050983084466177","RT @DZMMTeleRadyo: Bagyong #MaringPH, lumakas pa; pinag-iibayo ang Habagat http://t.co/X9ZoZ9gtxo http://t.co/9F4o8p3X1b",Media,Caution and advice,Related and informative
"369052908278407168","Sungit ni Aling #MaringPH",Not labeled,Not labeled,Not related
"369065189200510976","Fvck baha na daw sa manila -.- buti di ako umuwi sa dorm :))",Outsiders,Caution and advice,Related - but not informative
