Timestamp, Tweet-ID, Included(Y/N)
"Sun Dec 01 12:51:01 +0000 2013","407129710162759680",Y
"Sun Dec 01 13:14:20 +0000 2013","407135577977675777",Y
"Sun Dec 01 13:16:16 +0000 2013","407136064525316096",Y
"Sun Dec 01 13:17:22 +0000 2013","407136341332611072",Y
"Sun Dec 01 13:18:42 +0000 2013","407136676902084608",Y
"Sun Dec 01 13:18:59 +0000 2013","407136748192690176",Y
"Sun Dec 01 13:27:23 +0000 2013","407138862117691392",Y
"Sun Dec 01 13:27:42 +0000 2013","407138941825871872",Y
"Sun Dec 01 13:28:02 +0000 2013","407139025720713216",Y
"Sun Dec 01 13:28:36 +0000 2013","407139168306089984",Y
"Sun Dec 01 13:30:00 +0000 2013","407139520627605504",Y
"Sun Dec 01 13:30:55 +0000 2013","407139751326515200",Y
"Sun Dec 01 13:34:22 +0000 2013","407140619556229120",Y
"Sun Dec 01 13:35:07 +0000 2013","407140808299536384",Y
"Sun Dec 01 13:37:24 +0000 2013","407141382881824768",Y
"Sun Dec 01 13:38:25 +0000 2013","407141638751154176",Y
"Sun Dec 01 13:38:36 +0000 2013","407141684875505665",Y
"Sun Dec 01 13:40:21 +0000 2013","407142125290393600",Y
"Sun Dec 01 13:40:37 +0000 2013","407142192386289665",Y
"Sun Dec 01 13:44:27 +0000 2013","407143157084585985",Y
"Sun Dec 01 13:46:36 +0000 2013","407143698146000896",Y
"Sun Dec 01 13:47:43 +0000 2013","407143979176984576",Y
"Sun Dec 01 13:50:13 +0000 2013","407144608335155200",Y
"Sun Dec 01 13:50:17 +0000 2013","407144625090985985",Y
"Sun Dec 01 13:50:17 +0000 2013","407144625112354816",Y
"Sun Dec 01 13:51:46 +0000 2013","407144998376075264",Y
"Sun Dec 01 13:51:59 +0000 2013","407145052931387392",Y
"Sun Dec 01 13:58:31 +0000 2013","407146697089753089",Y
"Sun Dec 01 13:59:40 +0000 2013","407146986492928000",Y
"Sun Dec 01 13:59:42 +0000 2013","407146994868948992",Y
"Sun Dec 01 14:01:54 +0000 2013","407147548542263296",Y
"Sun Dec 01 14:03:39 +0000 2013","407147988935798785",Y
"Sun Dec 01 14:04:34 +0000 2013","407148219622514689",Y
"Sun Dec 01 14:04:44 +0000 2013","407148261578121216",Y
"Sun Dec 01 14:04:48 +0000 2013","407148278342770689",Y
"Sun Dec 01 14:05:29 +0000 2013","407148450305028098",Y
"Sun Dec 01 14:07:12 +0000 2013","407148882314149888",Y
"Sun Dec 01 14:09:58 +0000 2013","407149578572795904",Y
"Sun Dec 01 14:10:20 +0000 2013","407149670851284994",Y
"Sun Dec 01 14:10:59 +0000 2013","407149834433732608",Y
"Sun Dec 01 14:12:35 +0000 2013","407150237057175553",Y
"Sun Dec 01 14:17:37 +0000 2013","407151503753760768",Y
"Sun Dec 01 14:18:23 +0000 2013","407151696704708608",Y
"Sun Dec 01 14:20:05 +0000 2013","407152124519526400",Y
