Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"407129710162759680","NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx",Government,Other Useful Information,Related and informative
"407132226753921024","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Other Useful Information,Related and informative
"407132251882020865","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Other Useful Information,Related and informative
"407132730070433792","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Other Useful Information,Related and informative
"407132738450640896","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Other Useful Information,Related and informative
"407132918793142272","RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking",Media,Infrastructure and utilities,Related and informative
"407133485040959488","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Infrastructure and utilities,Related and informative
"407133636002316288","RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP",Media,Other Useful Information,Related and informative
"407133636027088897","RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP",Media,Other Useful Information,Related and informative
"407134302896685056","RT @FreedomWeekly: BREAKING: Police Say a Metro-North Passenger Train Has Derailed in New York City; Some Cars in Water #NYC  http://t.co/z…",Media,Other Useful Information,Related and informative
"407134701355556865","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Other Useful Information,Related and informative
"407135812883841024","RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative
"407136064525316096","RT @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx - @CBSN…",Media,Affected individuals,Related and informative
"407136341332611072","RT @ecthompsonmd: RT @AP: MORE: A woman at the scene of an NYC train derailment says some train cars are in the water: http://t.co/GWhgXC3j…",Media,Other Useful Information,Related and informative
"407136425222864896","RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative
"407136676902084608","THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING",Outsiders,Affected individuals,Related and informative
"407136739816660992","Train derailed in New York! Hope everyone's ok👏",Outsiders,Sympathy and support,Related - but not informative
"407136748192690176","RT @BreakingNews: Numerous emergency vehicles responding to New York City train derailment, some trains submerged in water, eyewitness clai…",Media,Other Useful Information,Related and informative
"407136999850926080","Train crash in New York, helicopter crash in Glasgow, Paul Walker has died...this really is an awful week!",Outsiders,Other Useful Information,Related - but not informative
"407137196966445056","RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.",Media,Infrastructure and utilities,Related and informative
"407137947767414784","RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP",Media,Other Useful Information,Related and informative
"407138836947296258","Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water | via @AP”",Outsiders,Infrastructure and utilities,Related and informative
