Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"291852896990023680","RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Not labeled,Not labeled,Not related
"291853232538537984","RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Outsiders,Other Useful Information,Related - but not informative
"291921947787395072","Jakarta floods leave hundreds of thousands homeless - Australia Network News - ABC News http://t.co/ZsAHzAG9",Media,Not applicable,Related and informative
"292248541500420096","Bush fires in Australia, deadly flooding in Indonesia, and probably far worse winters elsewhere, but no, 1000+ schools closed, flights",Outsiders,Other Useful Information,Related and informative
"293071229055799297","VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography",Outsiders,Affected individuals,Related - but not informative
"293186081652871169","Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY",Media,Affected individuals,Related and informative
"293189592297906176","RT @WeFightForFair: Media release from this morning's press conference on our #qldfloods class action. We have a strong case, get on boa ...",Media,Caution and advice,Related and informative
"293237197652520960","RT @cycloneupdate: Predicted rainfall over the next 48 hours in FNQ. It's gonna get very wet.#bigwet http://t.co/Kl3aR7E8",Media,Caution and advice,Related and informative
"293253358318391297","RT @abcnews: Thousands of Queensland flood victims join possible class action against State Government http://t.co/Z0gNZRB3",Media,Other Useful Information,Related and informative
"293266591339147264","RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld",Media,Other Useful Information,Related and informative
"293803277689180160","Queensland flood victims join action against Government: -- Delivered by Feed43 service http://t.co/vQXafWmL",Outsiders,Affected individuals,Related and informative
"293846957166833664","Current centre of Ex-TC Oswald is 40km WNW of Cooktown and moving in a SSE direction at about 18 kilometres per hour. #bigwet #qld",Media,Caution and advice,Related and informative
"293904771461562368","RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.",Media,Infrastructure and utilities,Related and informative
"293905736172457984","RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.",Media,Infrastructure and utilities,Related and informative
"293925403238748161","#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC",Government,Caution and advice,Related and informative
"293961394578128896","PLEASE be patient &amp; drive carefully - it's better to arrive home from work a little late today than not make it at all. #bigwet #cairns",Outsiders,Caution and advice,Related - but not informative
"293965794398859265","23/16:03 EST Flood Warning - Coastal Rivers - North (QLD) http://t.co/ca0eFXz0 #BIGWET #QLD UPDATED ITEM http://t.co/jlvcwuUY",Eyewitness,Caution and advice,Related and informative
"293978649948979201","RT @tsvnq: Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet",Eyewitness,Caution and advice,Related and informative
"293980021461241856","Can we keep him? MT @Henry_B68: You know the#bigwet is here when you find frogs in your home. http://t.co/xDNY12RP",Not labeled,Not labeled,Not related
"294162075255726080","Weather in Australia is stupid! Heat wave and fires in one place, flooding in another and heavy rain in another!",Outsiders,Other Useful Information,Related - but not informative
