Timestamp, Tweet-ID, Included(Y/N)
"Mon Feb 25 10:26:40 +0000 2013","305987168772440064",Y
"Mon Feb 25 10:33:14 +0000 2013","305988821324034048",Y
"Mon Feb 25 11:42:10 +0000 2013","306006168986337281",Y
"Mon Feb 25 13:35:36 +0000 2013","306034715431927810",Y
"Mon Feb 25 14:21:39 +0000 2013","306046304272920576",Y
"Mon Feb 25 15:50:46 +0000 2013","306068731212206080",Y
"Mon Feb 25 16:20:42 +0000 2013","306076264190595072",Y
"Mon Feb 25 16:27:03 +0000 2013","306077862237196288",Y
"Mon Feb 25 18:19:08 +0000 2013","306106068893851649",Y
"Mon Feb 25 20:44:51 +0000 2013","306142739714678784",Y
"Mon Feb 25 20:57:32 +0000 2013","306145931567431680",Y
"Mon Feb 25 23:39:53 +0000 2013","306186788286898176",Y
"Tue Feb 26 00:06:30 +0000 2013","306193486598774784",Y
"Tue Feb 26 02:07:07 +0000 2013","306223840781017089",Y
"Tue Feb 26 04:16:26 +0000 2013","306256384360607744",Y
"Tue Feb 26 04:39:34 +0000 2013","306262206092300288",Y
"Tue Feb 26 04:42:22 +0000 2013","306262910735355906",Y
"Tue Feb 26 06:06:34 +0000 2013","306284100329824256",Y
"Tue Feb 26 06:45:09 +0000 2013","306293810147774465",Y
"Tue Feb 26 07:51:28 +0000 2013","306310499270803457",Y
"Tue Feb 26 08:02:37 +0000 2013","306313305281138688",Y
"Tue Feb 26 09:40:08 +0000 2013","306337846162239488",Y
"Tue Feb 26 09:42:35 +0000 2013","306338462724915200",Y
"Tue Feb 26 09:46:36 +0000 2013","306339473527033856",Y
"Tue Feb 26 10:08:44 +0000 2013","306345043571138560",Y
"Tue Feb 26 11:03:34 +0000 2013","306358842852257792",Y
"Tue Feb 26 11:20:00 +0000 2013","306362978410840065",Y
"Tue Feb 26 12:50:39 +0000 2013","306385791221915652",Y
"Tue Feb 26 13:13:49 +0000 2013","306391621342208001",Y
"Tue Feb 26 13:26:03 +0000 2013","306394699931987969",Y
"Tue Feb 26 13:50:38 +0000 2013","306400886534594560",Y
"Tue Feb 26 13:53:31 +0000 2013","306401612136607744",Y
"Tue Feb 26 14:03:58 +0000 2013","306404241986174977",Y
"Tue Feb 26 14:20:54 +0000 2013","306408503382269952",Y
"Tue Feb 26 14:21:22 +0000 2013","306408620818583553",Y
"Tue Feb 26 14:24:06 +0000 2013","306409308697006081",Y
