Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"301957856138235904","Следователи по УрФО задержали челябинца причастного к бойне на Торнадо  #Chelyabinsk  http://t.co/OSjntPbI",Not labeled,Not labeled,Not related
"302270059118735360","RT @boroday: Метеорит летит навстречу машине в #Челябинск #chely http://t.co/XmSqAksN с помощью @youtube",Eyewitness,Other Useful Information,Related and informative
"302275532710617089","RT @Ac0ustic: В челябинске живут суровые люди. Во время снегопада у них вместо снежинок падают метеориты #челябинск",Outsiders,Sympathy and support,Related - but not informative
"302281039806607360","RT @RT_com: BREAKING: Explosions over Russia’s Urals region, reportedly a meteor shower, sparked panic in three major cities http://t.co ...",Media,Other Useful Information,Related and informative
"302283136987979777","RT @Ac0ustic: В челябинске живут суровые люди. Во время снегопада у них вместо снежинок падают метеориты #челябинск",Outsiders,Not applicable,Related - but not informative
"302288140771684352","RT @kalininru: В Челябинске всё нормально! Берем интервью у очевидцев события! #Челябинск #метеорит #chelly http://t.co/YrRxaGyk",Not labeled,Not labeled,Not related
"302289520706060288","Есть сообщения о пострадавших. Пишите пожалуйста, что происходит! #екб  #челябинск #метеорит",Outsiders,Affected individuals,Related - but not informative
"302289621390344192","RT @buzlol: #челябинск http://t.co/vDCfVb5Y",Not labeled,Not labeled,Not applicable
"302290653168168961","RT @magicgirlsue: Let's see, Pope quit, Google was dumped, now a meteor shower in Russia. When should we expect the locusts?",Outsiders,Not applicable,Related - but not informative
"302292116988649473","RT @YourAnonNews: BREAKING A Footage Meteorite Hitting Russia (#Chelyabinsk). http://t.co/wAMDQlnm",Media,Other Useful Information,Related and informative
"302292687409790976","RT @ReutersScience: Possible meteor shower reported in eastern Russia http://t.co/CrcLEBza",Media,Other Useful Information,Related - but not informative
"302293593362690048","Dear @_konstanta ,  take care with de rainy #метеорит in Russia, or save me a piece.  ✌",Outsiders,Not applicable,Related - but not informative
"302295145267748865","RT @oleg_kozyrev: Появилось качественное видео падения объекта: http://t.co/cKlrp5en #челябинск #ЧелябинскийМетеорит",Outsiders,Other Useful Information,Related - but not informative
"302295405335556096","How long until we get a Russian Meteor parody account?",Not labeled,Not labeled,Not related
"302295707312877568","RT @mtrrrpl: Жители Челябинска уже начали разбирать суперспособности. #chelly #челябинск",Not labeled,Not labeled,Not related
"302296273522941952","RT @FPWellman: This is remarkable RT @lindseymastis: VIDEO: Meteor crashes in Russia: http://t.co/mrY7CCfF (via @RT_com, Russia's state- ...",Outsiders,Other Useful Information,Related and informative
"302296353223102464","Жители Челябинска уже начали разбирать суперспособности. #chelly #челябинск",Outsiders,Not applicable,Related - but not informative
"302296520991047680","ПИЗДЕЦ. ГДЕ ЖЕ БЫЛ БРЮС УИЛЛИС? #метеорит",Not labeled,Not labeled,Not related
"302296604898119680","Meteorite crash in #Russia: A missile salvo blew the #meteorite into pieces at an altitude of 20 km: http://t.co/PhKzZZPr",Media,Other Useful Information,Related and informative
"302297007538708481","RT @finansakrobat: RT @RT_com: BREAKING: Urals #meteorite shot down by Russian air defense - military source  http://t.co/EXmfEuEm #Russia",Media,Other Useful Information,Related and informative
"302297204675186688","RT @MarkAmesExiled: Rumors out of Russia that meteor shot down by anti ballistic missile system. Meh",Not labeled,Not labeled,Not related
