Timestamp, Tweet-ID, Included(Y/N)
"Tue Nov 26 09:43:38 +0000 2013","405270614279479296",Y
"Tue Nov 26 12:03:29 +0000 2013","405305808684343296",Y
"Tue Nov 26 14:45:03 +0000 2013","405346468267294720",Y
"Tue Nov 26 15:18:31 +0000 2013","405354890408763392",Y
"Tue Nov 26 15:37:33 +0000 2013","405359680320335873",Y
"Tue Nov 26 15:45:40 +0000 2013","405361722917392384",Y
"Tue Nov 26 16:00:27 +0000 2013","405365443277639680",Y
"Tue Nov 26 16:34:04 +0000 2013","405373903209758720",Y
"Tue Nov 26 18:35:10 +0000 2013","405404379014258689",Y
"Tue Nov 26 18:37:01 +0000 2013","405404844585779200",Y
"Tue Nov 26 20:51:50 +0000 2013","405438772319236096",Y
"Tue Nov 26 21:29:40 +0000 2013","405448293364137984",Y
"Tue Nov 26 22:19:17 +0000 2013","405460779807166464",Y
"Wed Nov 27 11:03:34 +0000 2013","405653117993488384",Y
"Wed Nov 27 11:30:20 +0000 2013","405659854075080704",Y
"Wed Nov 27 11:32:04 +0000 2013","405660290282692608",Y
"Wed Nov 27 11:49:10 +0000 2013","405664593638211584",Y
"Wed Nov 27 12:07:45 +0000 2013","405669270291369985",Y
"Wed Nov 27 14:44:31 +0000 2013","405708721898422272",Y
"Wed Nov 27 16:21:00 +0000 2013","405733002744844289",Y
"Wed Nov 27 20:00:40 +0000 2013","405788283642576896",Y
"Wed Nov 27 22:33:54 +0000 2013","405826846073577472",Y
"Thu Nov 28 08:43:23 +0000 2013","405980227576532992",Y
"Thu Nov 28 09:57:40 +0000 2013","405998921610047488",Y
"Thu Nov 28 10:14:10 +0000 2013","406003073963024384",Y
"Thu Nov 28 14:06:01 +0000 2013","406061420904984576",Y
"Thu Nov 28 14:53:53 +0000 2013","406073466975449088",Y
"Thu Nov 28 16:05:01 +0000 2013","406091368247742464",Y
"Thu Nov 28 16:06:34 +0000 2013","406091758338973696",Y
"Thu Nov 28 16:45:35 +0000 2013","406101577192439809",Y
"Thu Nov 28 18:03:41 +0000 2013","406121231692210177",Y
"Thu Nov 28 19:39:46 +0000 2013","406145411850596352",Y
"Thu Nov 28 20:25:27 +0000 2013","406156908442435584",Y
"Thu Nov 28 20:25:53 +0000 2013","406157017481773056",Y
"Thu Nov 28 20:40:02 +0000 2013","406160578466828288",Y
"Thu Nov 28 21:22:06 +0000 2013","406171164873338880",Y
"Thu Nov 28 21:31:29 +0000 2013","406173526274895872",Y
"Thu Nov 28 22:03:15 +0000 2013","406181520613720065",Y
"Fri Nov 29 06:55:08 +0000 2013","406315373446053888",N
"Sat Nov 16 10:59:12 +0000 2013","401665752564244480",Y
"Sat Nov 16 15:39:46 +0000 2013","401736359511339010",Y
"Sat Nov 16 20:05:32 +0000 2013","401803241887105024",Y
"Sat Nov 16 21:29:24 +0000 2013","401824347587088384",Y
"Sun Nov 17 08:38:57 +0000 2013","401992845361291266",Y
"Sun Nov 17 15:29:51 +0000 2013","402096251740512256",Y
"Mon Nov 18 08:51:46 +0000 2013","402358458659262464",Y
"Mon Nov 18 09:22:50 +0000 2013","402366276846096384",Y
"Mon Nov 18 16:59:07 +0000 2013","402481104327696385",Y
"Mon Nov 18 18:26:26 +0000 2013","402503078278336513",Y
"Mon Nov 18 18:33:24 +0000 2013","402504831472259072",Y
"Mon Nov 18 19:10:42 +0000 2013","402514218353979393",Y
"Mon Nov 18 19:35:04 +0000 2013","402520350418026496",Y
"Mon Nov 18 19:42:20 +0000 2013","402522179117387776",Y
"Mon Nov 18 20:03:34 +0000 2013","402527522677874688",Y
"Mon Nov 18 20:53:19 +0000 2013","402540042683699200",Y
"Mon Nov 18 21:06:18 +0000 2013","402543310037721088",Y
"Mon Nov 18 21:14:21 +0000 2013","402545335861788673",Y
"Mon Nov 18 21:20:34 +0000 2013","402546900349779968",Y
"Mon Nov 18 21:22:41 +0000 2013","402547433043156992",Y
"Mon Nov 18 21:24:41 +0000 2013","402547936359624704",Y
"Mon Nov 18 21:27:20 +0000 2013","402548603262337024",Y
"Mon Nov 18 21:30:00 +0000 2013","402549274317434880",Y
"Mon Nov 18 21:43:46 +0000 2013","402552738846089218",Y
"Mon Nov 18 21:44:49 +0000 2013","402553003087253504",Y
"Mon Nov 18 21:46:14 +0000 2013","402553359577915392",Y
"Mon Nov 18 21:49:42 +0000 2013","402554232017940480",Y
"Mon Nov 18 21:51:29 +0000 2013","402554680800067584",Y
"Mon Nov 18 21:53:08 +0000 2013","402555096028180481",Y
"Mon Nov 18 21:59:46 +0000 2013","402556765369548800",Y
"Mon Nov 18 22:05:32 +0000 2013","402558216594137089",Y
"Mon Nov 18 22:06:47 +0000 2013","402558531163152384",Y
"Mon Nov 18 22:08:06 +0000 2013","402558862521552896",Y
"Mon Nov 18 22:16:24 +0000 2013","402560951293337601",Y
"Mon Nov 18 22:18:08 +0000 2013","402561387475775488",Y
"Mon Nov 18 22:18:15 +0000 2013","402561416840097792",Y
"Mon Nov 18 22:18:56 +0000 2013","402561588810743808",Y
"Mon Nov 18 22:20:18 +0000 2013","402561932752084992",Y
"Mon Nov 18 22:22:10 +0000 2013","402562402505752576",Y
"Mon Nov 18 22:24:34 +0000 2013","402563006481317888",Y
"Mon Nov 18 22:27:01 +0000 2013","402563623044018176",Y
"Mon Nov 18 22:29:18 +0000 2013","402564197646864384",Y
"Mon Nov 18 22:31:50 +0000 2013","402564835185283072",Y
"Mon Nov 18 22:33:13 +0000 2013","402565183346073600",Y
"Mon Nov 18 22:34:36 +0000 2013","402565531451940864",Y
"Mon Nov 18 22:34:36 +0000 2013","402565531435163649",Y
"Mon Nov 18 22:35:22 +0000 2013","402565724386111488",Y
"Mon Nov 18 22:35:57 +0000 2013","402565871182155776",Y
"Mon Nov 18 22:37:33 +0000 2013","402566273844125696",Y
"Mon Nov 18 22:37:44 +0000 2013","402566319972708352",Y
"Mon Nov 18 22:39:16 +0000 2013","402566705870012416",Y
"Mon Nov 18 22:39:49 +0000 2013","402566844269473792",Y
"Mon Nov 18 22:40:06 +0000 2013","402566915560075264",Y
"Mon Nov 18 22:40:54 +0000 2013","402567116890456064",Y
"Mon Nov 18 22:45:45 +0000 2013","402568337445498880",Y
"Mon Nov 18 22:46:59 +0000 2013","402568647836962816",Y
"Mon Nov 18 22:48:07 +0000 2013","402568933037076481",Y
"Mon Nov 18 22:48:08 +0000 2013","402568937222987777",Y
"Mon Nov 18 22:50:12 +0000 2013","402569457320857600",Y
"Mon Nov 18 22:50:44 +0000 2013","402569591521812480",Y
"Mon Nov 18 22:51:29 +0000 2013","402569780273885184",Y
"Mon Nov 18 22:52:12 +0000 2013","402569960654118912",Y
"Mon Nov 18 22:53:05 +0000 2013","402570182956433408",Y
"Mon Nov 18 22:56:55 +0000 2013","402571147608612864",Y
"Mon Nov 18 22:57:36 +0000 2013","402571319604031488",Y
"Mon Nov 18 22:59:51 +0000 2013","402571885822885888",Y
"Mon Nov 18 22:59:57 +0000 2013","402571910984527873",Y
"Mon Nov 18 23:01:55 +0000 2013","402572405920772096",Y
"Mon Nov 18 23:03:38 +0000 2013","402572837913112576",Y
"Mon Nov 18 23:04:18 +0000 2013","402573005689061378",Y
"Mon Nov 18 23:04:36 +0000 2013","402573081199534080",Y
