Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"401665752564244480","#Oristano celebra gli avieri sardi morti a #Sutri -furono trucidati dai #nazisti nel 1943 #sardegna #guerra... http://t.co/TWxK74YVAv",Not labeled,Not labeled,Not related
"401736359511339010","RT @hutterdesign: Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via…",Not applicable,Not applicable,Related - but not informative
"401803241887105024","RT @JustElisabetta: #instacollage #family @Gio_BIP , Luigi , Giulio , #summermemories #Sardegna http://t.co/Ao3v1JI34C",Not labeled,Not labeled,Not related
"401824347587088384","#Italy #Sardinia #Cagliari #weekends http://t.co/ZUhJnPZXkF",Not labeled,Not labeled,Not related
"401992845361291266","#Cartoline dalla #Sardegna : la gioia di praticare gli sport preferiti godendo dell'ossigeno e dello iodio di un... http://t.co/mWcGhb0dce",Not labeled,Not labeled,Not related
"402096251740512256","Il #dolce sardo delle spose http://t.co/CLX8bPNgOG #matrimonio #sardegna #sposa #dolci #torte #sardegna #foodporn",Not labeled,Not labeled,Not related
"402358458659262464","FOTO - Michela Murgia, il vestito del Campiello venduto all'asta per 1.250 euro http://t.co/kOujz8DlhK #sardegna http://t.co/KqPvU72Cmo",Not labeled,Not labeled,Not related
"402503078278336513","RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8",Media,Other Useful Information,Related and informative
"402504831472259072","RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8",Media,Other Useful Information,Related and informative
"402514218353979393","Maltempo in Sardegna: alluvione nell'Oristano  L'acuta fase di maltempo a causato allagamenti e anche un morto in... http://t.co/vuBaglbMN4",Media,Affected individuals,Related and informative
"402520350418026496","ALLUVIONE SARDEGNA, il maltempo uccide: una vittima e due dispersi http://t.co/Z5Lb3Cigd0",Media,Affected individuals,Related and informative
"402522179117387776","L' #italia in queste ore ha un problema serio di cui nessuno parla, la #sardegna nell'oristanese è completamente sott'acqua. Tutto normale?",Outsiders,Other Useful Information,Related and informative
"402527522677874688","Alluvione in Sardegna, crolla un altro ponte in provincia di Olbia: tante auto coinvolte - Meteo Web http://t.co/O1NV5H1W9y",Media,Infrastructure and utilities,Related and informative
"402540042683699200","RT @MeteoWeb_eu: #Alluvione in #Sardegna, almeno un morto e 5 dispersi: scenari drammatici [FOTO] --&gt; http://t.co/Cw4YYS5Jb0",Media,Affected individuals,Related and informative
"402545335861788673","RT @AlienaKent: la tristezza infinita di veder che nessun canale o tg apre una finestra sulla mia #sardegna morti,dispersi,sfollati.sardi,s…",Eyewitness,Sympathy and support,Related and informative
"402546900349779968","RT @DanieleKeshk: @CriticoCinema: #Olbia http://t.co/lsmXVPffFw #EMERGENZA  @EnricoLetta SVEGLIAAAAAAAAAA......#SOS #ESERCITO!!! #SARDEGNA",Outsiders,Other Useful Information,Related - but not informative
"402547433043156992","RT @TattiMichele: Quattro morti, alcuni dispersi: la #Sardegna non fa notizia neanche quando viene flagellata dal maltempo",Outsiders,Affected individuals,Related and informative
"402547936359624704","RT @TattiMichele: Quattro morti, alcuni dispersi: la #Sardegna non fa notizia neanche quando viene flagellata dal maltempo",Outsiders,Affected individuals,Related and informative
"402548603262337024","RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8",Media,Sympathy and support,Related and informative
"402549274317434880","RT @GianpyMigheli: Un abbraccio ai miei conterranei, più forte del #maltempo che vi sta mettendo alla prova ancora una volta.  #Sardegna",Outsiders,Sympathy and support,Related - but not informative
"402552738846089218","RT @FJoyeusaz: La #Sardegna colpita da un'alluvione che non ha precedenti. Le foto di #Olbia  ricordano tristi momenti vissuti in VdA. Malt…",Outsiders,Other Useful Information,Related and informative
"402553003087253504","RT @Seraffo1: #sardegna evacuazione centro abitato Terralba:  stanno chiedendo di lasciare le case agli abitanti  via Rio Mogoro",Outsiders,Caution and advice,Related and informative
