Timestamp, Tweet-ID, Included(Y/N)
"Tue Apr 23 09:59:43 +0000 2013","326636494947221504",Y
"Tue Apr 23 10:34:33 +0000 2013","326645261034209280",Y
"Tue Apr 23 10:43:30 +0000 2013","326647513362874368",Y
"Tue Apr 23 11:07:26 +0000 2013","326653536370843648",Y
"Tue Apr 23 12:43:21 +0000 2013","326677674598748161",Y
"Tue Apr 23 15:11:07 +0000 2013","326714861306392577",Y
"Tue Apr 23 15:25:27 +0000 2013","326718468420411392",Y
"Tue Apr 23 19:26:34 +0000 2013","326779147403788288",Y
"Tue Apr 23 22:09:22 +0000 2013","326820117369466880",Y
"Tue Apr 23 22:18:20 +0000 2013","326822373896634368",Y
"Tue Apr 23 23:20:46 +0000 2013","326838085751029765",Y
"Wed Apr 24 04:20:56 +0000 2013","326913625191219200",Y
"Wed Apr 24 04:46:53 +0000 2013","326920155714170880",Y
"Wed Apr 24 05:20:37 +0000 2013","326928644977094656",Y
"Wed Apr 24 05:24:33 +0000 2013","326929634857984000",Y
"Wed Apr 24 05:28:27 +0000 2013","326930616304152576",Y
"Wed Apr 24 05:31:38 +0000 2013","326931417412014080",Y
"Wed Apr 24 05:35:38 +0000 2013","326932424044969984",Y
"Wed Apr 24 05:43:54 +0000 2013","326934504432353281",Y
"Wed Apr 24 05:52:24 +0000 2013","326936643523190785",Y
"Wed Apr 24 05:54:42 +0000 2013","326937222316163072",Y
"Wed Apr 24 05:57:28 +0000 2013","326937918583238656",Y
"Wed Apr 24 06:00:19 +0000 2013","326938635830165505",Y
"Wed Apr 24 06:00:47 +0000 2013","326938753237147649",Y
"Wed Apr 24 06:03:21 +0000 2013","326939399168339969",Y
"Wed Apr 24 06:24:15 +0000 2013","326944658838134785",Y
"Wed Apr 24 06:24:59 +0000 2013","326944843400097792",Y
"Wed Apr 24 06:38:08 +0000 2013","326948152701763585",Y
"Wed Apr 24 06:39:39 +0000 2013","326948534370840578",Y
"Wed Apr 24 06:44:02 +0000 2013","326949637476999168",Y
"Wed Apr 24 06:44:18 +0000 2013","326949704573259777",Y
"Wed Apr 24 06:44:41 +0000 2013","326949801071636481",Y
"Wed Apr 24 06:57:23 +0000 2013","326952997114482688",Y
"Wed Apr 24 06:59:17 +0000 2013","326953475269345280",Y
"Wed Apr 24 07:05:02 +0000 2013","326954922304221184",Y
"Wed Apr 24 07:07:19 +0000 2013","326955496911286272",Y
"Wed Apr 24 07:31:14 +0000 2013","326961515745918977",Y
"Wed Apr 24 07:32:34 +0000 2013","326961851307024385",Y
"Wed Apr 24 07:40:51 +0000 2013","326963935867699200",Y
"Wed Apr 24 07:43:36 +0000 2013","326964627927871489",Y
"Wed Apr 24 07:51:43 +0000 2013","326966670532939776",Y
"Wed Apr 24 07:54:06 +0000 2013","326967270314225665",Y
"Wed Apr 24 07:55:11 +0000 2013","326967542943977472",Y
