Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"326636494947221504","RT @Projonmo13: 1st Lady speaker of #Bangladesh &amp; Hefajot-e-Rajakar! #shahbag #saveBangladesh যে সংসদের স্পিকার একজন নারী (cont) http:/…",Not labeled,Not labeled,Not related
"326645261034209280","#Bangladesh a country of enforced disappearances and extra judicial killing! http://t.co/Vcb2ukuiy2 #HumanRights #HR #Amnesty #HRW #Geneva",Not labeled,Not labeled,Not related
"326920155714170880","RT @AJELive: A building in #Bangladesh has collapsed killing up to three people and trapping more, according to agencies. More soon.",Media,Affected individuals,Related and informative
"326928644977094656","RT @drnhsarja: 8-story commercial building collapse in #Bangladesh; 3 dead , many feared trapped! :( #fb",Media,Affected individuals,Related and informative
"326929634857984000","NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX",Media,Affected individuals,Related and informative
"326931417412014080","Bangladesh building collapse kills at least three, several injured: At least three people were killed an... http://t.co/qbaixfsgZy #News",Outsiders,Affected individuals,Related and informative
"326932424044969984","RT @BDnews: Garment factory building collapses in Bangladesh, 25 dead: TV - 路透社 http://t.co/ztvCEszd5v #Bangladesh",Media,Affected individuals,Related and informative
"326934504432353281","@HarpreetS_Kohli this will continue till Jamaat is out of power! #Bangladesh #Pakistan",Not labeled,Not labeled,Not related
"326938753237147649","Bangladesh Building Collapse: Fatalities Reported, Others Feared Trapped: DHAKA, Bangladesh — An 8-story comme... http://t.co/m98wvEsL0W",Outsiders,Affected individuals,Related and informative
"326944658838134785","Worst Outcome of Dead Capitalism: Inhumane Story of Savar Building Collapse  Yesterday, April 23, 2013, BRAC Bank... http://t.co/pMaxiVSR7v",Outsiders,Other Useful Information,Related and informative
"326944843400097792","বুধবার রাষ্ট্রপতির শপথ : অপেক্ষায় বঙ্গভবন http://t.co/KIFY6o8omv #বলসবদ #bangla #banglanews #bangladesh",Not labeled,Not labeled,Not related
"326955496911286272","Deadly building collapse in Bangladesh  http://t.co/uoRLgHnZL0 @AJEnglishさんから",Media,Other Useful Information,Related and informative
"326963935867699200","RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative
"326967542943977472","RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative
"326968583160729600","RT @SBSNews: BREAKING NEWS: At least 60 dead in Bangladesh building collapse - more details to come",Media,Affected individuals,Related and informative
"326970776756563969","RT @Projonmo13: Our heart &amp; prayer goes for the Savar building collapse. #shahbag #saveBangladesh #pray4SAVAR #Bangladesh",Outsiders,Sympathy and support,Related - but not informative
"326978213286907904","RT @BreakingNews: At least 70 killed, many more feared trapped after building collapse in Dhaka, Bangladesh, officials say - @BBCNews http:…",Media,Affected individuals,Related and informative
"326979073102471169","Army says 32 dead in Bangladesh building collapse: SAVAR, Bangladesh (AP) — An eight-story building housing se... http://t.co/fTEQPoQ8kO",Media,Affected individuals,Related and informative
"326984550842511361","Reuters: Bangladesh factory building collapse kills over 70, injures hundreds: DHAKA (Reuters… http://t.co/sbv4418KlL",Outsiders,Affected individuals,Related and informative
"326989521122119680","Bangladesh Building Collapse Kills at Least 70: The collapse of an eight-story building in Bangladesh that hou... http://t.co/qhVR9vkoRF",Outsiders,Affected individuals,Related and informative
"326990720672088065","ASIA News: Bangladesh building collapse kills over 70: An eight-story building collapsed Wednesday on the outs... http://t.co/NpTeO6jD1e",Media,Affected individuals,Related and informative
"326991895093993472","Dozens killed in Bangladesh building collapse: At least 82 people have died and 700 have been injured after an... http://t.co/9DFMYAKUHn",Outsiders,Affected individuals,Related and informative
"327003664302620672","These factories ☹ RT @TimesLIVE: 70 dead in Bangladesh garment factory collapse http://t.co/ViAV81jRCA",Media,Affected individuals,Related and informative
"327009351778844673","RT @Channel4News: Survivors of the Bangladesh building collapse slide to safety using rolls of fabric as escape chutes: http://t.co/7uIAH3E…",Media,Other Useful Information,Related and informative
"327009448235241472","RT @FoxNews: Dozens dead after eight-story #building collapses in #Bangladesh http://t.co/qa87UPMOOd",Media,Infrastructure and utilities,Related and informative
"327012191339413505","#Nolefam ,Please pray for the victims of the disaster where more than 70 people has died in a building collapse, more trapped in Bangladesh",Outsiders,Sympathy and support,Related and informative
