Timestamp, Tweet-ID, Included(Y/N)
"Fri Jun 14 06:12:42 +0000 2013","345423533310091264",Y
"Fri Jun 14 07:09:01 +0000 2013","345437705892667392",Y
"Fri Jun 14 09:03:45 +0000 2013","345466579452035072",Y
"Fri Jun 14 10:06:51 +0000 2013","345482459091185664",Y
"Fri Jun 14 10:13:23 +0000 2013","345484103283511296",Y
"Fri Jun 14 11:01:15 +0000 2013","345496149320404992",Y
"Fri Jun 14 11:09:14 +0000 2013","345498158371045378",Y
"Sat Jun 15 17:51:46 +0000 2013","345961847062671360",Y
"Sun Jun 16 05:41:33 +0000 2013","346140469891317762",Y
"Sun Jun 16 09:16:14 +0000 2013","346194496733708288",Y
"Mon Jun 17 00:03:04 +0000 2013","346417675632787456",Y
"Mon Jun 17 01:02:07 +0000 2013","346432536072830976",Y
"Mon Jun 17 02:05:23 +0000 2013","346448457634021376",Y
"Mon Jun 17 03:03:49 +0000 2013","346463162897424384",Y
"Mon Jun 17 03:10:59 +0000 2013","346464966422953984",Y
"Mon Jun 17 03:20:02 +0000 2013","346467243934224387",Y
"Mon Jun 17 03:41:05 +0000 2013","346472541327618049",Y
"Mon Jun 17 04:13:42 +0000 2013","346480749580533760",Y
"Mon Jun 17 04:31:11 +0000 2013","346485149438976000",Y
"Mon Jun 17 04:35:37 +0000 2013","346486265086099457",Y
"Mon Jun 17 04:36:49 +0000 2013","346486567092764672",Y
"Mon Jun 17 04:58:36 +0000 2013","346492049069064193",Y
"Mon Jun 17 04:58:50 +0000 2013","346492107768336385",Y
"Mon Jun 17 05:02:36 +0000 2013","346493055685246976",Y
"Mon Jun 17 05:03:52 +0000 2013","346493374435565568",Y
"Mon Jun 17 05:12:40 +0000 2013","346495589028081665",Y
"Mon Jun 17 05:32:36 +0000 2013","346500605445017601",Y
"Mon Jun 17 05:47:11 +0000 2013","346504275440041984",Y
"Mon Jun 17 05:50:17 +0000 2013","346505055576395776",Y
"Mon Jun 17 05:51:43 +0000 2013","346505416299122688",Y
"Mon Jun 17 05:51:45 +0000 2013","346505424670957568",Y
"Mon Jun 24 06:06:21 +0000 2013","349045813948841984",Y
"Mon Jun 24 06:08:09 +0000 2013","349046266921095168",Y
"Mon Jun 24 07:04:55 +0000 2013","349060552733097984",Y
"Mon Jun 24 07:11:54 +0000 2013","349062310142279680",Y
"Mon Jun 24 07:49:06 +0000 2013","349071671833001984",Y
"Mon Jun 24 08:21:32 +0000 2013","349079833956974592",Y
"Mon Jun 24 08:35:01 +0000 2013","349083227165700096",Y
"Mon Jun 24 09:20:34 +0000 2013","349094690177576960",Y
"Mon Jun 24 09:24:53 +0000 2013","349095776514875393",Y
"Mon Jun 24 09:34:15 +0000 2013","349098133692747776",Y
"Mon Jun 24 09:39:24 +0000 2013","349099429762048000",Y
"Mon Jun 24 09:56:18 +0000 2013","349103682782121984",Y
"Mon Jun 24 09:58:38 +0000 2013","349104269951135744",Y
"Mon Jun 24 09:58:49 +0000 2013","349104316122017793",Y
"Mon Jun 24 09:59:58 +0000 2013","349104605520601088",Y
"Mon Jun 24 10:02:13 +0000 2013","349105171726471168",Y
"Mon Jun 24 10:33:06 +0000 2013","349112943784378368",Y
"Mon Jun 24 10:44:55 +0000 2013","349115917533331456",Y
"Mon Jun 24 11:01:01 +0000 2013","349119969243574272",Y
"Mon Jun 24 11:05:46 +0000 2013","349121164645388288",Y
"Mon Jun 24 11:19:03 +0000 2013","349124507480518656",Y
"Mon Jun 24 11:24:07 +0000 2013","349125782548914176",Y
"Mon Jun 24 11:35:59 +0000 2013","349128768914333697",Y
"Mon Jun 24 11:49:43 +0000 2013","349132225008242688",Y
"Mon Jun 24 11:56:43 +0000 2013","349133986594959360",Y
"Mon Jun 24 12:01:25 +0000 2013","349135169405460480",Y
"Mon Jun 24 12:05:44 +0000 2013","349136255738576896",Y
"Mon Jun 24 12:33:39 +0000 2013","349143281185206273",Y
"Mon Jun 24 12:52:01 +0000 2013","349147903308201984",Y
"Mon Jun 24 13:10:49 +0000 2013","349152634499903490",Y
"Mon Jun 24 13:22:47 +0000 2013","349155645993402368",Y
"Mon Jun 24 13:25:38 +0000 2013","349156363244552194",Y
"Mon Jun 24 13:32:23 +0000 2013","349158061937664000",Y
"Mon Jun 24 13:33:33 +0000 2013","349158355522158592",Y
"Mon Jun 24 13:35:50 +0000 2013","349158930120851457",Y
"Mon Jun 24 13:43:47 +0000 2013","349160930820632577",Y
"Mon Jun 24 13:44:13 +0000 2013","349161039885107203",Y
"Mon Jun 24 13:45:52 +0000 2013","349161455096045568",Y
"Mon Jun 24 13:47:04 +0000 2013","349161757094313985",Y
"Mon Jun 24 13:54:58 +0000 2013","349163745181827075",Y
"Mon Jun 24 14:03:50 +0000 2013","349165976576737284",Y
"Mon Jun 24 14:07:23 +0000 2013","349166869959290880",Y
"Mon Jun 24 14:08:09 +0000 2013","349167062897278976",Y
"Mon Jun 24 14:09:14 +0000 2013","349167335522832385",Y
"Mon Jun 24 14:15:39 +0000 2013","349168950350848000",Y
"Mon Jun 24 14:36:11 +0000 2013","349174117712404480",Y
