Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"345498158371045378","RT @_SGkid: They should spin the Flyer at a very high speed so Singapore will be cooler and blow the haze away.",Not applicable,Not applicable,Related - but not informative
"345961847062671360","RT @sgbroadcast: [ST] Haze update: Clearer skies over Singapore on Saturday with PSI at 'moderate' range: June 16, 2... http://t.co/qyZhDSX…",Media,Other Useful Information,Related and informative
"346194496733708288","RT @ChannelNewsAsia: #HAZE UPDATE: #PSI is 80 at 5pm. Here's .@NEAsg's map showing PSI at various locations in #Singapore http://t.co/gddpD…",Media,Other Useful Information,Related and informative
"346417675632787456","RT @thepanditspeaks: Haze in Singapore continues due to Sumatra Forest fires.Feels like hill station sans the chill...",Eyewitness,Other Useful Information,Related and informative
"346467243934224387","RT @TradingJeremy: Pall of throat-scratching haze enveloping Singapore today. Who turned the smoke machine on in Indonesia this time? Cough",Eyewitness,Other Useful Information,Related and informative
"346472541327618049","Shit....... #Indonesia; SERIOUSLY?!?!?! #haze #Singapore 😡 http://t.co/G3qlzs2TaH",Not applicable,Not applicable,Related - but not informative
"346505416299122688","RT @CrispinLim: @STcom: #Haze update: 3-hour PSI climbs to 95, says @NEAsg. #sghaze Is it an asian thing to get everything to 100?",Outsiders,Caution and advice,Related and informative
"346507647656267776","RT @alvarofong: If only we could transform all the haze in Singapore to cold, fresh mist. Ahhh,  that would be amazing.",Eyewitness,Not applicable,Related - but not informative
"346510394916999168","RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Media,Other Useful Information,Related and informative
"346511372223385600","Well where's my gas mask RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Eyewitness,Caution and advice,Related and informative
"346512706016260096","“@surenjerrymyaah: The sun and haze will soon set Singapore ablaze”",Eyewitness,Sympathy and support,Related - but not informative
"346512773108346880","Lol lol ! Yesterday is Melaka Kenna the haze. Today is Singapore 😂",Eyewitness,Sympathy and support,Related - but not informative
"346516384399896576","RT @2SevenApril_: Okay guys one way to make the haze go away from Singapore is to put your fans at the window and blow the haze away.",Eyewitness,Other Useful Information,Related - but not informative
"346517055471755265","NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore",Media,Caution and advice,Related and informative
"346517349093998592","RT @FieMitch: Indonesia is too kind to send their smoke/haze to singapore because they know there's dengue cases here. Hopefully we are mos…",Eyewitness,Other Useful Information,Related - but not informative
"346519223939522561","RT @ZoolHillMe: What if the haze is not a haze but a toxic gas meant to depopulate singapore? 😮",Not applicable,Not applicable,Related - but not informative
"346523003007430656","HAHAHAHAH CAN YOU BELIEVE THIS TREND . #SGHAZE #PSI",Not applicable,Affected individuals,Related - but not informative
"346525926449897472","Made a right decision not to explore Singapore for some street photography.     Whatta a haze! http://t.co/2b2HsPH1Qw",Eyewitness,Not applicable,Related - but not informative
"346527155372572673","RT @ChannelNewsAsia: #Haze reaches ‘unhealthy’ level in #Singapore. PSI is 105 at 3pm. #SGHAZE",Media,Caution and advice,Related and informative
"346531072856690689","RT @livinginsg: Indonesia just what the hell is on fire over there?  The haze in Singapore is sibei bad now.",Eyewitness,Other Useful Information,Related - but not informative
"346535812428599296","Foreigners, this will happen when you come here to holiday or take pictures of Singapore! Happy Haze Day! http://t.co/oJEgtPVkgq",Eyewitness,Other Useful Information,Related - but not informative
"346536772894855168","RT @theREALeticia: Boyboy, you can hashtag all your instagram photos today with #nofilter. #SGhaze",Not labeled,Not labeled,Not related
"346542863062024192","RT @themediaslut: Smog Gets Into My Eyes - Heavy Haze in Singapore.. http://t.co/9IZJiL6F72",Eyewitness,Other Useful Information,Related and informative
"346544712729112576","RT @xPentagon: Singapore Weather :  Hot Ho H Hu Hum Humi Humid Humi Hum Hu H Ha Haz Haze Foreigners , Welcome to Singapore.",Eyewitness,Sympathy and support,Related - but not informative
"346545467699642369","RT @xPentagon: Singapore Weather :  Hot Ho H Hu Hum Humi Humid Humi Hum Hu H Ha Haz Haze Foreigners , Welcome to Singapore.",Eyewitness,Affected individuals,Related - but not informative
"346545685824417792","RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",Media,Other Useful Information,Related and informative
"346549875938312192","RT @STcom: #Sghaze update: PSI is 111 at 4pm, in the unhealthy range",Media,Other Useful Information,Related and informative
"346550559605657600","RT @HarithForstner: Happy Haze Day, Singapore.",Not applicable,Affected individuals,Related - but not informative
"346551150994137088","RT @xo_falsehopes: A girl with 83 exs, slash cases here and there, haze suddenly comes up.  WTF IS HAPPENING TO SINGAPORE 😪",Not applicable,Not applicable,Related - but not informative
"346551381664071680","RT @girlforeverPBG: Despite the haze, the construction workers are still doing their job to make Singapore look good. Yup, those people you…",Eyewitness,Sympathy and support,Related - but not informative
"346552019215065088","RT @SGTeacherSays: PSI level is going up. Seems like theSingaporean's SIGH level is also rising. #SGHaze",Eyewitness,Other Useful Information,Related - but not informative
