Timestamp, Tweet-ID, Included(Y/N)
"Thu Aug 01 06:36:36 +0000 2013","362824165524795392",Y
"Thu Aug 01 06:53:15 +0000 2013","362828355638263808",Y
"Thu Aug 01 08:07:22 +0000 2013","362847007674998784",Y
"Thu Aug 01 08:48:06 +0000 2013","362857258579161088",Y
"Thu Aug 01 16:45:34 +0000 2013","362977416995545088",Y
"Thu Aug 01 20:34:15 +0000 2013","363034967049117696",Y
"Thu Aug 01 21:40:11 +0000 2013","363051559703162880",Y
"Thu Aug 01 22:53:28 +0000 2013","363070002074632192",Y
"Fri Aug 02 03:14:20 +0000 2013","363135651304062977",Y
"Fri Aug 02 08:10:53 +0000 2013","363210280538755072",Y
"Fri Aug 02 09:18:28 +0000 2013","363227288474632192",Y
"Fri Aug 02 10:05:57 +0000 2013","363239238047105024",Y
"Fri Aug 02 11:29:27 +0000 2013","363260251472019456",Y
"Fri Aug 02 12:27:59 +0000 2013","363274981905412097",Y
"Fri Aug 02 13:52:42 +0000 2013","363296301527875584",Y
"Fri Aug 02 13:58:03 +0000 2013","363297647894859778",Y
"Fri Aug 02 14:25:05 +0000 2013","363304451072720897",Y
"Fri Aug 02 14:27:36 +0000 2013","363305084387475460",Y
"Fri Aug 02 14:27:42 +0000 2013","363305109578465281",Y
"Fri Aug 02 14:36:49 +0000 2013","363307403837587456",Y
"Fri Aug 02 14:36:53 +0000 2013","363307420639965184",Y
"Fri Aug 02 14:40:30 +0000 2013","363308330782949377",Y
"Fri Aug 02 15:20:51 +0000 2013","363318485192937472",Y
"Fri Aug 02 15:40:43 +0000 2013","363323484803317762",Y
"Fri Aug 02 15:49:56 +0000 2013","363325804282777601",Y
"Fri Aug 02 15:56:50 +0000 2013","363327540716249089",Y
"Fri Aug 02 16:32:46 +0000 2013","363336583610503170",Y
"Fri Aug 02 16:35:48 +0000 2013","363337347007795200",Y
"Fri Aug 02 16:48:59 +0000 2013","363340664672489473",Y
"Fri Aug 02 17:16:15 +0000 2013","363347526587392001",Y
"Fri Aug 02 17:25:09 +0000 2013","363349766316367873",Y
"Fri Aug 02 17:46:04 +0000 2013","363355030163693569",Y
"Fri Aug 02 19:25:17 +0000 2013","363379998880567296",Y
"Fri Aug 02 19:25:32 +0000 2013","363380061769969664",Y
"Fri Aug 02 19:39:47 +0000 2013","363383647933444096",Y
"Fri Aug 02 20:33:44 +0000 2013","363397224887099392",Y
"Fri Aug 02 22:12:08 +0000 2013","363421988045328386",Y
"Fri Aug 02 23:54:06 +0000 2013","363447648805584897",Y
"Fri Aug 02 23:54:07 +0000 2013","363447652983119872",Y
"Fri Aug 02 23:54:11 +0000 2013","363447669781303298",Y
