Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"359949548937945091","España busca exportar su tren de alta velocidad http://t.co/3DpZkTxvJg",Not labeled,Not labeled,Not related
"360118977848016896","RT @elmundoes: URGENTE: Descarrila un tren de pasajeros a pocos metros del casco urbano de Santiago de Compostela.",Media,Other Useful Information,Related and informative
"360120559088050176","RT @copecoruna: ÚLTIMA HORA: Descarrila un tren de pasajeros en la entrada de la estación de Santiago de Compostela. Hay fallecidos. http:/…",Media,Other Useful Information,Related and informative
"360120953373593600","Ha descarrilado un tren en santiago de Compostela",Media,Other Useful Information,Related and informative
"360121477636423683","RT @abc_es: #ACTUALIZACIÓN: Diez muertos tras descarrilar un tren en Santiago de Compostela http://t.co/SMjvzheviV",Media,Affected individuals,Related and informative
"360121628652343298","RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…",Media,Other Useful Information,Related and informative
"360122056471355393","RT @NewsBreaker: BREAKING: Casualties reported as train derails close to #Santiago de Compostela in #Galicia region of north-west Spain - @…",Media,Other Useful Information,Related and informative
"360122375238455297","RT @infobaeamerica: [REITERAMOS] Descarriló un tren en España: habría una decena de muertos http://t.co/arNcuP94cI",Media,Affected individuals,Related and informative
"360122601735073793","RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…",Media,Other Useful Information,Related and informative
"360123667054739456","Al menos nueve muertos al descarrilar un tren de pasajeros cerca de Santiago de Compostela http://t.co/jkeWaqhBrh vía @la_informacion",Media,Affected individuals,Related and informative
"360124216508551168","RT @OskyFive: Descarrila un tren Alvia @Renfe justo antes de llegar a Santiago de Compostela #Galicia #Renfe  http://t.co/DXEdMRZFUo",Outsiders,Other Useful Information,Related and informative
"360124426240532480","RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…",Media,Affected individuals,Related and informative
"360125852287111169","RT @DavidIbanez5: Descarrila un AVE a la entrada a Santiago de Compostela. El tren procedía de Ourense. Así ha quedado el tren. http://t.co…",Outsiders,Other Useful Information,Related and informative
"360125961376763904","URGENTE foto descarrilamiento de tren en España, al menos 10 muertos  http://t.co/LcMcGCvJox @UltimoMinutoCL @ViveCASABLANCA @Bomba_Decima",Media,Affected individuals,Related and informative
"360126229795442688","RT @24HorasTVN: AHORA - Trágico accidente en #España deja al menos 10 muertos por descarrilamiento de tren: http://t.co/S6MiN0e0l8",Media,Affected individuals,Related and informative
"360127072837963776","@SteveInMadrid: BREAKING UPDATE 5 Exclusive Pic of train derailment in Santiago NW #Spain http://t.co/Nn08yeBM1F",Media,Other Useful Information,Related and informative
"360127072867323904","Diarios españoles hablan de al menos 12 muertos por el descarrilamiento de un tren cuando llegaba a Santiago de Compostela",Media,Affected individuals,Related and informative
"360127186079985666","RT @laSextaTV: Fallecen al menos nueve personas al descarrilar un tren en Santiago de Compostela http://t.co/uTKtDf2jSQ",Media,Affected individuals,Related and informative
"360127764927479808","Train Crash In Spain: Several Deaths Reported http://t.co/OXe5H8A3Gk",Media,Other Useful Information,Related and informative
"360127785869639681","RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…",Media,Affected individuals,Related and informative
"360127806836969473","RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…",Media,Affected individuals,Related and informative
"360128821862731776","RT @Robcampnou67: Al menos 10 muertos tras descarrilar tren de pasajeros cerca de Santiago de Compostela http://t.co/ULkLvcZwhK vía @Actual…",Media,Affected individuals,Related and informative
"360129199350091777","RT @A3Noticias: Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://…",Media,Affected individuals,Related and informative
"360129262285631489","RT @CDLeganesSAD: Todo nuestro cariño y ánimo a las familias de los fallecidos por el trágico accidente de tren en Santiago de Compostela.",Business,Sympathy and support,Related - but not informative
"360129643967299584","Spain high-speed train crashes near Santiago de Compostela | euronews, world news: http://t.co/QufTQsNUFk",Media,Other Useful Information,Related and informative
"360129769775431680","RT @DiarioLaPrensa: Al menos 10 muertos al descarrilar un tren en #España http://t.co/cwR1qjNRIC",Media,Affected individuals,Related and informative
"360130109543415808","RT @Jodete_Mamon: Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.",Outsiders,Other Useful Information,Related - but not informative
"360130575090192384","RT @Jorge_Dargel: Descarrila un tren en Santiago de Compostela y van de momento 12 fallecidos. Macabra coincidencia que mañana sea Santiago…",Outsiders,Affected individuals,Related and informative
"360130973536485376","mal plan lo del tren en españa :S",Outsiders,Other Useful Information,Related - but not informative
