Timestamp, Tweet-ID, Included(Y/N)
"Tue Nov 19 07:06:34 +0000 2013","402694372082212864",Y
"Tue Nov 19 07:06:50 +0000 2013","402694439208239104",Y
"Tue Nov 19 07:10:27 +0000 2013","402695349347028992",Y
"Tue Nov 19 07:15:45 +0000 2013","402696683147907072",Y
"Tue Nov 19 07:16:06 +0000 2013","402696771219898370",Y
"Tue Nov 19 07:22:09 +0000 2013","402698293744246784",Y
"Tue Nov 19 07:25:54 +0000 2013","402699237487812608",Y
"Tue Nov 19 07:30:31 +0000 2013","402700399314219008",Y
"Tue Nov 19 07:35:12 +0000 2013","402701577904873472",Y
"Tue Nov 19 07:43:03 +0000 2013","402703553417863168",Y
"Tue Nov 19 07:43:08 +0000 2013","402703574401949696",Y
"Tue Nov 19 07:43:12 +0000 2013","402703591183380480",Y
"Tue Nov 19 07:43:35 +0000 2013","402703687635574784",Y
"Tue Nov 19 07:43:41 +0000 2013","402703712813977600",Y
"Tue Nov 19 07:46:27 +0000 2013","402704409047465984",Y
"Tue Nov 19 07:46:53 +0000 2013","402704518095200256",Y
"Tue Nov 19 07:51:52 +0000 2013","402705772184076288",Y
"Tue Nov 19 07:52:32 +0000 2013","402705939993600000",Y
"Tue Nov 19 07:55:59 +0000 2013","402706808201957376",Y
"Tue Nov 19 07:59:23 +0000 2013","402707663827369984",Y
"Tue Nov 19 08:02:28 +0000 2013","402708439769432064",Y
"Tue Nov 19 08:02:53 +0000 2013","402708544631230464",Y
"Tue Nov 19 08:04:00 +0000 2013","402708825645408257",Y
"Tue Nov 19 08:04:34 +0000 2013","402708968243744768",Y
"Tue Nov 19 08:05:07 +0000 2013","402709106655371264",Y
"Tue Nov 19 08:09:07 +0000 2013","402710113296728064",Y
"Tue Nov 19 08:15:46 +0000 2013","402711786832814080",Y
"Tue Nov 19 08:15:52 +0000 2013","402711812011208704",Y
"Tue Nov 19 08:16:15 +0000 2013","402711908467232768",Y
"Tue Nov 19 08:19:44 +0000 2013","402712785097719808",Y
"Tue Nov 19 08:22:54 +0000 2013","402713582007500800",Y
"Tue Nov 19 08:25:26 +0000 2013","402714219520753664",Y
