Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"397748184581025793","May super typhoon pala this weekend, Paano na kaya tayo?!?!",Outsiders,Sympathy and support,Related - but not informative
"397781298577559552","RT @ChikkanessAve: Ariella Arida on her swimwear during the Miss Universe 2013 Preliminary competition... #GoPhilippines #philippines http:…",Not labeled,Not labeled,Not related
"397915554066857985","Tropical storm Haiyan intensifies into typhoon; to enter PH Thursday morning | The Manila Times Online http://t.co/5VNuu4NtOl",Media,Caution and advice,Related and informative
"397978405720686592","Super Typhoon Yolanda be good sa mga taga Bohol naman. Please!",Outsiders,Sympathy and support,Related - but not informative
"398015038759247872","RT @MsCandice_UC: Advisory- As of 2am Nov 6 #YolandaPH hasn't entered Phil Area of Resp. We're monitoring &amp; will advise you re classes/ wor…",Outsiders,Caution and advice,Related and informative
"398036631057231872","#YolandaPH pray for the entire Philippines.",Outsiders,Sympathy and support,Related - but not informative
"398041534190211072","#Yolanda Langya, pangalan pa ng nanay ko bagyo ! HAHAHAHA.",Not labeled,Not labeled,Not applicable
"398046118547685376","Hoping for a no class tomorrow:) #bagyo #yolanda",Eyewitness,Other Useful Information,Related - but not informative
"398051566977953792","@TVPatrol #TVPatrol Inalerto agad ni Gov.Davide ang LGU's para sa pararating ng bagyong #YolandaPH",Media,Caution and advice,Related and informative
"398062564447232000","Fruit Bounty - 10% Off http://t.co/Smw6x5dFBK #love #flowers #gifts #freeshipping #philippines",Not labeled,Not labeled,Not related
"398069539570606080","RT @scarletonradio: For everyone in Cebu. Here are some numbers you might need. #YolandaPH http://t.co/Kl3iSrifiM",Media,Caution and advice,Related and informative
"398098136326864896","Lord God, I am praying for the safety of all the people especially those who will be affected of Typhoon Yolanda bahala na po kayo BRO.AMEN!",Outsiders,Sympathy and support,Related - but not informative
"398106017432870912","RT @ANCALERTS: PAGASA: Typhoon Yolanda at 1,110 km east of Hinatuan, Surigao Del Sur, moving west northwest at 30kph #YolandaPH",Media,Caution and advice,Related and informative
"398128108798083072","Status update for Typhoon Yolanda. Brace yourselves. http://t.co/X3Zjnfc639",Outsiders,Other Useful Information,Related and informative
"398151705986367488","RT @dzbb: @dost_pagasa: Napaaga po ang oras ng landfall ng Bagyong #YolandaPH. Asahang magla-landfall ito ng 12:00MN-3:00AM bukas, Biyernes…",Media,Caution and advice,Related and informative
"398202662552096769","BEAUTIFUL AAA WHITE, YELLOW CUBIC ZIRCONIA 925 SILVER ENAMEL FLOWER RING Size 7# http://t.co/az5ztXvowR #philippines #filipino",Not labeled,Not labeled,Not related
"398207989326168064","RT @ukgdos: (2/2) #YolandaPH SIGNAL NO. 2: hilagang bahagi ng Surigao Del Sur,  hilagang bahagi ng Agusan Del Norte",Media,Caution and advice,Related and informative
"398241074008690689","RT @twc_hurricane: Super Typhoon #Haiyan even stronger, now strongest tropical cyclone of 2013 on the entire planet: http://t.co/5Kpmx1dvyH…",Outsiders,Other Useful Information,Related and informative
"398247998817595392","White Waterproof SMD5050 2 x 50CM 30 LED Flexible Strip Light  Led Lamp 12V http://t.co/IHccDgifqs #philippines #filipino",Not labeled,Not labeled,Not related
"398267045134880768","RT @MariRamosCNN: Super Typhoon #Haiyan becomes strongest storm of 2013.  Winds have increased to 280kph/170mph gusting to 330kph/205mph #C…",Media,Caution and advice,Related and informative
"398299307725430784","RT @STcom: RT @STForeignDesk: #Philippines braces for super typhoon, the strongest this year http://t.co/wYJrXnBm19 http://t.co/xEsaOU3NHx",Media,Caution and advice,Related and informative
"398311995478265856","RT @QueenAshi: BREAKING NEWS: Masyadong malakas ang init na dala ni Sen. Miriam, Super typhoon Yolanda, umatras!",Not applicable,Other Useful Information,Related - but not informative
"398341703767048192","Powerful storm heads for Philippines: Authorities in the Philippines brace for the arrival of Typhoon Haiyan, ... http://t.co/JEsjjINbab",Media,Caution and advice,Related and informative
"398373056176857088","Anu raw ? Super Typhoon ?",Not labeled,Not labeled,Not applicable
"398381394453225472","RT @gmanews: .@dost_pagasa: Signal No. 3: Northern Samar Masbate Northern Cebu  Bantayan Island Siargao Dinagat #YolandaPH",Media,Caution and advice,Related and informative
