Timestamp, Tweet-ID, Included(Y/N)
"Sun Apr 28 06:01:00 +0000 2013","328388359242276864",Y
"Sun Apr 28 06:02:05 +0000 2013","328388631876206592",Y
"Sun Apr 28 06:05:10 +0000 2013","328389407839244288",Y
"Sun Apr 28 06:06:21 +0000 2013","328389705622224897",Y
"Sun Apr 28 06:12:09 +0000 2013","328391165214859264",Y
"Sun Apr 28 07:36:10 +0000 2013","328412308705538048",Y
"Sun Apr 28 10:12:03 +0000 2013","328451538026655744",Y
"Sun Apr 28 10:32:02 +0000 2013","328456567034892288",Y
"Sun Apr 28 13:56:22 +0000 2013","328507989193535489",Y
"Sun Apr 28 13:59:36 +0000 2013","328508802875920384",Y
"Sun Apr 28 14:02:02 +0000 2013","328509415235911681",Y
"Sun Apr 28 14:08:54 +0000 2013","328511143289184256",Y
"Sun Apr 28 14:20:05 +0000 2013","328513957683933185",Y
"Sun Apr 28 14:45:05 +0000 2013","328520249139924995",Y
"Sun Apr 28 14:47:25 +0000 2013","328520836321521664",Y
"Sun Apr 28 15:12:02 +0000 2013","328527031308533762",Y
"Sun Apr 28 15:25:59 +0000 2013","328530541949370370",Y
"Sun Apr 28 15:37:42 +0000 2013","328533490536693761",Y
"Sun Apr 28 15:45:11 +0000 2013","328535373804343296",Y
"Sun Apr 28 15:47:50 +0000 2013","328536040673517570",Y
"Sun Apr 28 15:54:11 +0000 2013","328537638699143168",Y
"Sun Apr 28 16:01:51 +0000 2013","328539568083177472",Y
"Sun Apr 28 16:52:52 +0000 2013","328552406872911872",Y
"Sun Apr 28 17:16:20 +0000 2013","328558312461332480",Y
"Sun Apr 28 18:06:17 +0000 2013","328570882782003200",Y
"Sun Apr 28 18:10:28 +0000 2013","328571935522963456",Y
"Sun Apr 28 18:31:35 +0000 2013","328577249710321667",Y
"Sun Apr 28 18:34:44 +0000 2013","328578042463137792",Y
"Sun Apr 28 19:15:53 +0000 2013","328588398174547968",Y
"Sun Apr 28 19:16:58 +0000 2013","328588670816890881",Y
"Sun Apr 28 19:30:34 +0000 2013","328592093368950785",Y
"Sun Apr 28 20:01:40 +0000 2013","328599919927623681",Y
"Sun Apr 28 20:06:30 +0000 2013","328601136292564992",Y
"Sun Apr 28 20:20:48 +0000 2013","328604735013789701",Y
"Sun Apr 28 20:32:25 +0000 2013","328607658410115072",Y
"Sun Apr 28 20:38:21 +0000 2013","328609151586533377",Y
"Sun Apr 28 20:39:32 +0000 2013","328609449394708481",Y
"Sun Apr 28 20:42:26 +0000 2013","328610179195219968",Y
"Sun Apr 28 20:45:13 +0000 2013","328610879656558592",Y
"Sun Apr 28 20:55:20 +0000 2013","328613425594892290",Y
"Sun Apr 28 20:56:55 +0000 2013","328613824049590275",Y
"Sun Apr 28 21:24:45 +0000 2013","328620828528898049",Y
"Sun Apr 28 21:58:41 +0000 2013","328629368156999681",Y
"Sun Apr 28 22:22:29 +0000 2013","328635357623103489",Y
"Sun Apr 28 22:25:11 +0000 2013","328636037087764481",Y
"Sun Apr 28 22:39:21 +0000 2013","328639602258751488",Y
"Sun Apr 28 22:48:46 +0000 2013","328641972032114689",Y
"Sun Apr 28 22:49:35 +0000 2013","328642177569787905",Y
"Sun Apr 28 22:50:30 +0000 2013","328642408222973954",Y
"Sun Apr 28 23:22:38 +0000 2013","328650494857838592",Y
"Sun Apr 28 23:50:30 +0000 2013","328657507725762560",Y
"Mon Apr 29 00:30:05 +0000 2013","328667469206134786",Y
"Mon Apr 29 01:11:08 +0000 2013","328677799789469697",Y
"Mon Apr 29 01:19:51 +0000 2013","328679993376919553",Y
"Mon Apr 29 01:44:29 +0000 2013","328686192558211073",Y
"Mon Apr 29 01:54:01 +0000 2013","328688591716892672",Y
"Mon Apr 29 02:34:35 +0000 2013","328698800669601792",Y
"Mon Apr 29 03:16:29 +0000 2013","328709345137291264",Y
"Mon Apr 29 03:22:21 +0000 2013","328710821515493376",Y
"Mon Apr 29 03:31:11 +0000 2013","328713044517593089",Y
"Mon Apr 29 03:33:53 +0000 2013","328713723994849281",Y
"Mon Apr 29 03:41:13 +0000 2013","328715569492799488",Y
"Mon Apr 29 03:41:49 +0000 2013","328715720479363073",Y
"Mon Apr 29 04:10:43 +0000 2013","328722993381515265",Y
"Mon Apr 29 04:21:41 +0000 2013","328725753241944064",Y
"Mon Apr 29 08:36:10 +0000 2013","328789796073914368",Y
"Mon Apr 29 09:42:41 +0000 2013","328806535532789760",Y
"Mon Apr 29 10:36:17 +0000 2013","328820024439619584",Y
"Mon Apr 29 12:22:45 +0000 2013","328846817636777985",Y
"Mon Apr 29 13:54:15 +0000 2013","328869844382539777",Y
"Mon Apr 29 14:35:24 +0000 2013","328880200123289603",Y
"Mon Apr 29 14:43:48 +0000 2013","328882314056720385",Y
"Mon Apr 29 15:10:11 +0000 2013","328888953635749889",Y
"Mon Apr 29 15:44:26 +0000 2013","328897572922081280",Y
"Mon Apr 29 16:27:42 +0000 2013","328908461326860288",Y
"Mon Apr 29 16:34:43 +0000 2013","328910227133042689",Y
"Mon Apr 29 17:09:28 +0000 2013","328918972273668096",Y
"Mon Apr 29 17:36:47 +0000 2013","328925846700191744",Y
"Mon Apr 29 17:46:37 +0000 2013","328928321356316675",Y
"Mon Apr 29 18:44:53 +0000 2013","328942984664080384",Y
"Mon Apr 29 18:45:35 +0000 2013","328943160799662080",Y
"Mon Apr 29 19:43:51 +0000 2013","328957824086450176",Y
"Mon Apr 29 20:01:56 +0000 2013","328962374923083777",Y
"Mon Apr 29 20:25:24 +0000 2013","328968280503099392",Y
"Mon Apr 29 20:28:03 +0000 2013","328968947380674560",Y
"Mon Apr 29 20:28:52 +0000 2013","328969152897355776",Y
"Mon Apr 29 20:36:13 +0000 2013","328971002581233664",Y
"Mon Apr 29 21:05:22 +0000 2013","328978338452484096",Y
"Mon Apr 29 21:07:45 +0000 2013","328978938217000960",Y
"Mon Apr 29 21:33:04 +0000 2013","328985309356371968",Y
"Mon Apr 29 21:44:36 +0000 2013","328988211806367745",Y
"Mon Apr 29 22:05:11 +0000 2013","328993391796957184",Y
"Mon Apr 29 22:05:17 +0000 2013","328993416958578688",Y
"Mon Apr 29 22:56:28 +0000 2013","329006297649389568",Y
"Mon Apr 29 23:23:50 +0000 2013","329013184717541376",Y
"Tue Apr 30 00:11:38 +0000 2013","329025213989793792",Y
"Tue Apr 30 00:53:32 +0000 2013","329035758465855489",Y
"Tue Apr 30 01:36:19 +0000 2013","329046525227438084",Y
"Tue Apr 30 01:58:24 +0000 2013","329052082697023488",Y
"Tue Apr 30 02:02:17 +0000 2013","329053059953086464",Y
"Tue Apr 30 02:57:50 +0000 2013","329067039572500480",Y
"Tue Apr 30 04:09:52 +0000 2013","329085167375364096",Y
"Tue Apr 30 04:42:43 +0000 2013","329093434331774976",Y
"Tue Apr 30 08:17:55 +0000 2013","329147591197589504",Y
"Tue Apr 30 09:02:44 +0000 2013","329158869660086272",Y
"Tue Apr 30 11:04:05 +0000 2013","329189408404291585",Y
"Tue Apr 30 11:08:17 +0000 2013","329190465356312576",Y
"Tue Apr 30 11:40:41 +0000 2013","329198619074904064",Y
"Tue Apr 30 12:12:41 +0000 2013","329206672138571776",Y
"Tue Apr 30 12:38:13 +0000 2013","329213097812312065",Y
"Tue Apr 30 13:15:35 +0000 2013","329222501467029504",Y
"Tue Apr 30 13:28:10 +0000 2013","329225668149800960",Y
"Tue Apr 30 13:41:51 +0000 2013","329229111677558786",Y
"Tue Apr 30 13:56:51 +0000 2013","329232886530199552",Y
"Tue Apr 30 14:17:01 +0000 2013","329237961650601984",Y
"Tue Apr 30 14:19:17 +0000 2013","329238532080160768",Y
"Tue Apr 30 15:25:13 +0000 2013","329255124734181376",Y
"Tue Apr 30 15:54:48 +0000 2013","329262569648963584",Y
"Tue Apr 30 16:02:41 +0000 2013","329264553563131904",Y
"Tue Apr 30 16:36:14 +0000 2013","329272996663541760",Y
"Tue Apr 30 16:48:47 +0000 2013","329276154982834179",Y
"Tue Apr 30 17:43:13 +0000 2013","329289853592293377",Y
"Tue Apr 30 18:54:02 +0000 2013","329307675177394176",Y
"Tue Apr 30 19:12:51 +0000 2013","329312410571771905",Y
"Tue Apr 30 19:21:14 +0000 2013","329314520285720576",Y
