Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
"324681353662709760","@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the D is made lol",Not applicable,Other Useful Information,Related - but not informative
"324693550694543361","Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",Outsiders,Sympathy and support,Related - but not informative
"324694339240460289","Explosion reported at fertilizer plant in West, McLennan Co.",Outsiders,Other Useful Information,Related and informative
"324694565753851904","RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...",Outsiders,Infrastructure and utilities,Related and informative
"324694993551884288","RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...",Media,Affected individuals,Related and informative
"324695182303961089","RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",Outsiders,Infrastructure and utilities,Related and informative
"324698151875407872","RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Other Useful Information,Related and informative
"324700123173122049","RT @OccupyCarlisle: Scanner traffic reports people are trapped in a building near Waco TX after explosion reported at fertilizer plant",Media,Affected individuals,Related and informative
"324700584571711488","RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ...",Outsiders,Affected individuals,Related and informative
"324702421668487169","RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk",Media,Affected individuals,Related and informative
"324702723675144192","@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",Media,Affected individuals,Related and informative
"324702774006775809","#waco #explosion http://t.co/4KzHKAsPop",Outsiders,Other Useful Information,Related - but not informative
"324704627859791873","RT @alexanderhall: RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/8VNtIGKtwk",Media,Affected individuals,Related and informative
"324705017925861376","Their was another explosion in west texas, wth!",Outsiders,Other Useful Information,Related - but not informative
"324705521242353666","#EEUU.: Explosión en planta de fertilizantes cerca de Waco, Texas, provoca numerosos heridos. Foto @1ventura1  http://t.co/TbHtgiJBBy",Not labeled,Not labeled,Not applicable
"324706162983448576","RT @AP: BREAKING: Authorities: Fertilizer plant explodes near Waco, Texas, causing numerous injuries",Media,Affected individuals,Related and informative
"324706708247154690","RT @nycjim: Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx",Media,Infrastructure and utilities,Related and informative
