tweet id, tweet, label
'262596552399396864',"I've got enough candles to supply a Mexican family",off-topic
'263044104500420609',"Sandy be soooo mad that she be shattering our doors and shiet #HurricaneSandy",on-topic
'263309629973491712',"@ibexgirl thankfully Hurricane Waugh played it cool and waited this one out. Ready to go at any moment tho.",off-topic
'263422851133079552',"@taos you never got that magnificent case of Burgundy I sent you to thank you for your tweets?",off-topic
'262404311223504896',"I'm at Mad River Bar &amp; Grille (New York, NY) http://t.co/VSiZrzKP",off-topic
'263101347421888513',"Neighborly duties. @Cory_Kennedy arrives to the rescue sporting some spelunking equipment #sandy @ 300 Squad http://t.co/QbpGdm3w",on-topic
'262763437325684736',"And that's it until the spring.",off-topic
'263298821189156865',"I don't know how I'm getting back to Jersey since the trains and subways aren't running...",on-topic
'262813023515865088',"@NaeemPeena We were asked to get off the plane, after checkin and boarding passes",off-topic
'262998165282762752',"@jaytee_96 you must be crazy! &amp; omg you tweeted something yay lol",off-topic
'262914476989358080',"Already flooded so much #SANDY @ Hoboken http://t.co/MPhft4a8",on-topic
'262574187141541888',"@eloreeeeeee need me to comeback and finish it since I was supposed to sleep over and then I woulda finished",off-topic
'262991999911743490',"On that note, i pray that everyone stays safe, and keeps a positive attitude ! #godisgood",on-topic
'262767536540643329',"@codyfinz my house is creeking... Does that mean she's trying to break in?",on-topic
'262984888020504578',"My mom just found my little sister screaming out of her window in a random language to animals #onlymyfamily",off-topic
'262970751861260288',"RT @FrankIero: Droplets of water is literally falling from the sky. #FrankenstormLIVE!",off-topic
'262690350051770368',"@NevaTRUST_Again I Dnt No If She Gonna Let Me",off-topic
'263059088869556224',"@jennettemccurdy @noahmunck He's got that kinda spec ops rugged looks",off-topic
'262653983838048256',"debating going home in prep for #sandy",on-topic
'262998057216516096',"@viamadison Thanks, babe. We all appreciate it. :) x",off-topic
'262768220375756800',"I can't taste my damn food .",off-topic
'262771779553087488',"By 11am it's going to be 100% chance of rain #HurricaneSandy",on-topic
'262344750932299777',"Big Daddy Deco ready for this Halloween party http://t.co/grKxmXPV",off-topic
'263090063473254400',"@MSLWILLSEE loll I don't know your twitter name anymore it doesn't popup when I type for name",off-topic
'262729320777256961',"@lisanewmn I do it all the time. Don't hate me! :)",off-topic
'263047213490507776',"@newscaster we are 5 blocks from the water. First two blocks were evacuated. Sounds like a train just went by. Stay safe! Thanks.",on-topic
'263041963757031425',"It's crazy out there, not gonna lie I'm kind of scared.",on-topic
'263160409115222016',"@israilov1012 god bless them ! Lmao the wind calmed down a little so thats good",on-topic
'262624184029556736',"No sooner then my last tweet did I receive this text http://t.co/X7sLiyzt",off-topic
'262764842253946880',"@mike_cucci queen duck face    ((((I can't do dick face so tongue works too right?))))) http://t.co/UjGnXfiP",off-topic
'262663408162324481',"Off to try to find a kids phone I have no idea why he wanted until now to look for it #huh",off-topic
'262977078201298944',"One more shower before the power goes out lol",on-topic
'263040678920081408',"@marcushasfun- u were a guest star in my dream last night, &amp; 2day I noticed Marcus Garvey Park on a NYC #hurricane map! http://t.co/LQ2Kpif0",on-topic
'262738370759905280',"Word to the wise, make sure you have cash on u in case of a prolonged power outage &amp; charge all ur phones, iPads, etc.",on-topic
'262397043224481792',"#GottaAceMySATexam : OH LORD: wish my cousin found this previously http://t.co/umUM2hzE ya better get this #Top10FavoriteSongs kvb",off-topic
'262938402587033602',"@victoriaaa0x haha I was gonna say how can u not wanna stay with Martha ?!",off-topic
'263014974266408961',"@jackmackenroth: I'm bored so I'm gonna go outside and get a blow job #HurricaneSandy",off-topic
'262700582928789504',"Yo ref his hand is outta bounds",off-topic
'263148068365533186',"Stop with this silly snow hoax. We all know this is a global warming hurricane... @slackadjuster @severestudios @reedtimmerTVN",on-topic
'262953803517657088',"This is what it look like out my window  @ WeedTopia ! =} http://t.co/ca1HBCtc",off-topic
'262891755366670338',"@Hayleyshammock shopping fun! ;)  it should be like this then start to gradually get worse..but will keep u up2date! @ see what goes on..",off-topic
'262992935581261824',"I'm debating if I should take you homeeee .",off-topic
'262646509324103681',"Emily's air mattress is our Noah's Ark. Two of every type (of boxed wine) #sandy",on-topic
'262932766411354113',"Checking the city here in Brooklyn  http://t.co/ESLzKZm7",off-topic
'262893005973897216',"Holy shit it must be the end of the world when not even best buy is opening. Day offf",off-topic
'262713321558507521',"just because you can't, doesn't mean i can't",off-topic
'262643581859266560',"When the lights in the elevator you're in go out and you're stuck in darkness #hurricanesandy",on-topic
'262388734526386177',"#SATstudyTime : WOW.. wish my boys found that earlier http://t.co/BmrBPwYv hurry before its unavailable Des Moines Register bwy",off-topic
'262923557485543424',"@TheFatLadyRaps but you love me... And u ugg",off-topic
'263001696836407298',"@judyrey Same thing in Queens, I have siding hanging from my house. Where r u?",off-topic
'263323977664053248',"@OredRocAnn holy shit, your block or the next one?",off-topic
'262980126306889729',"The Statue of Liberty as seen from near Battery Park. #sandy #hurricanesandy  @ Battery Park City http://t.co/0MZy2IXX",on-topic
